name,address,phone,:@computed_region_sbqj_enih,:@computed_region_yeji_bk3q
Mitchell-Linden,29-42 Union Street,(718) 539-2330,67.0,3.0
Pomonok,158-21 Jewel Avenue,(718) 591-4343,65.0,3.0
Laurelton,134-26 225 Street,(718) 528-2822,63.0,3.0
Queensbridge,Now a Family Literacy Center,By apptmt only,,
South Jamaica,108-41 Guy R. Brewer Boulevard,(718) 739-4088,61.0,3.0
Kew Gardens Hills,72-33 Vleigh Place,(718) 261-6654,65.0,3.0
Briarwood,85-12 Main Street,(718) 658-1680,65.0,3.0
Court Square,25-01 Jackson Avenue,(718) 937-2790,66.0,3.0
Glendale,78-60 73 Place,(718) 821-4980,62.0,3.0
Cambria Heights,218-13 Linden Boulevard,(718) 528-3535,63.0,3.0
Steinway,21-45 31 Street,(718) 728-1965,72.0,3.0
Langston Hughes,100-01 Northern Boulevard,(718) 651-1100,73.0,3.0
Lefferts,103-34 Lefferts Boulevard,(718) 843-5950,64.0,3.0
Douglaston/Little Neck,249-01 Northern Boulevard,(718) 225-8414,69.0,3.0
Arverne,312 Beach 54 Street,(718) 634-4784,59.0,3.0
East Flushing,196-36 Northern Boulevard,(718) 357-6643,69.0,3.0
Bay Terrace,18-36 Bell Boulevard,(718) 423-7004,67.0,3.0
Rosedale,144-20 243 Street,(718) 528-8490,63.0,3.0
Ridgewood,20-12 Madison Street,(718) 821-4770,62.0,3.0
South Hollis,204-01 Hollis Avenue,(718) 465-6779,61.0,3.0
Central Library- The Archives,89-11 Merrick Boulevard,(718) 990-0700,61.0,3.0
Central Library,89-11 Merrick Boulevard,(718) 990-0700,61.0,3.0
Woodhaven,85-41 Forest Parkway,(718) 849-1010,60.0,3.0
Poppenhusen,121-23 14 Avenue,(718) 359-1102,67.0,3.0
Glen Oaks,256-04 Union Turnpike,(718) 831-8636,63.0,3.0
Howard Beach,92-06 156 Avenue,(718) 641-7086,64.0,3.0
Astoria,14-01 Astoria Boulevard,(718) 278-2220,72.0,3.0
Rego Park,91-41 63 Drive,(718) 459-5140,70.0,3.0
Queensboro Hill,60-05 Main Street,(718) 359-8332,67.0,3.0
Corona,38-23 104 Street,(718) 426-2844,73.0,3.0
Rochdale Village,169-09 137 Avenue,(718) 723-4440,71.0,3.0
Queens Library for Teens,2002 Cornaga Ave,(718) 471-2573,,
Middle Village,72-31 Metropolitan Avenue,(718) 326-1390,62.0,3.0
Jackson Heights,35-51 81 Street,(718) 899-2500,73.0,3.0
Windsor Park,79-50 Bell Boulevard,(718) 468-8300,69.0,3.0
Baisley Park,117-11 Sutphin Boulevard,(718) 529-1590,71.0,3.0
Peninsula,92-25 Rockaway Beach Boulevard,(718) 634-1110,58.0,3.0
St. Albans,191-05 Linden Boulevard,(718) 528-8196,71.0,3.0
South Ozone Park,128-16 Rockaway Boulevard,(718) 529-1660,64.0,3.0
Cyber Center,89-11 Merrick Boulevard,(718) 990-0700,61.0,3.0
Auburndale,25-55 Francis Lewis Boulevard,(718) 352-2027,67.0,3.0
Seaside,116-15 Rockaway Beach Boulevard,(718) 634-1876,58.0,3.0
East Elmhurst,95-06 Astoria Boulevard,(718) 424-2619,73.0,3.0
Broadway,40-20 Broadway,(718) 721-2462,72.0,3.0
Ravenswood,Now a Family Literacy Center,By apptmt only,,
Hillcrest,187-05 Union Turnpike,(718) 454-2786,65.0,3.0
Fresh Meadows,193-20 Horace Harding Expressway,(718) 454-7272,65.0,3.0
North Forest Park,98-27 Metropolitan Avenue,(718) 261-5512,70.0,3.0
Far Rockaway,1637 Central Avenue,(718) 327-2549,59.0,3.0
North Hills,57-04 Marathon Parkway,(718) 225-3550,69.0,3.0
Job Information Center,89-11 Merrick Boulevard,(718) 990-0700,61.0,3.0
Flushing,41-17 Main Street,(718) 661-1200,67.0,3.0
Lefrak City,98-30 57 Avenue,(718) 592-7677,68.0,3.0
Richmond Hill,118-14 Hillside Avenue,(718) 849-7150,60.0,3.0
Bellerose,250-06 Hillside Avenue,(718) 831-8644,63.0,3.0
Woodside,54-22 Skillman Avenue,(718) 429-4700,66.0,3.0
Whitestone,151-10 14 Road,(718) 767-8010,67.0,3.0
Elmhurst,86-01 Broadway,(718) 271-1020,68.0,3.0
Bayside,214-20 Northern Boulevard,(718) 229-1834,69.0,3.0
Maspeth,69-70 Grand Avenue,(718) 639-5228,62.0,3.0
Forest Hills,108-19 71 Avenue,(718) 268-7934,70.0,3.0
McGoldrick,155-06 Roosevelt Av. (off Northern Blvd),(718) 461-1616,67.0,3.0
Sunnyside,43-06 Greenpoint Avenue,(718) 784-3033,66.0,3.0
Broad Channel,16-26 Cross Bay Boulevard,(718) 318-4943,58.0,3.0
Queens Village,94-11 217 Street,(718) 776-6800,63.0,3.0
Long Island City,37-44 21 Street,(718) 752-3700,72.0,3.0
Hollis,202-05 Hillside Avenue,(718) 465-7355,65.0,3.0
Ozone Park,92-24 Rockaway Boulevard,(718) 845-3127,64.0,3.0
