segmentid,the_geom,rw_type,street,boro
34656,"{'type': 'MultiLineString', 'coordinates': [[[-73.97670005824101, 40.73940973275981], [-73.97625126770241, 40.74002332691713]]]}",1,1 AVENUE,MAN
29245,"{'type': 'MultiLineString', 'coordinates': [[[-73.96796054798135, 40.68372681250015], [-73.9668896223823, 40.68348273118454]]]}",1,FULTON STREET,BK
40760,"{'type': 'MultiLineString', 'coordinates': [[[-73.9375085514554, 40.62209435800788], [-73.93663611331657, 40.62240150725439]]]}",1,KINGS HIGHWAY,BK
9009291,"{'type': 'MultiLineString', 'coordinates': [[[-73.88441234606373, 40.650305957593964], [-73.88411278150187, 40.64995648016788]]]}",1,PENNSYLVANIA AVENUE,BK
25220,"{'type': 'MultiLineString', 'coordinates': [[[-73.97319525262901, 40.60429754080573], [-73.97304934230117, 40.60428191864858]]]}",1,KINGS HIGHWAY,BK
46969,"{'type': 'MultiLineString', 'coordinates': [[[-73.87986846259751, 40.64615519760247], [-73.87926860751489, 40.6456120419835]]]}",1,PENNSYLVANIA AVENUE,BK
29080,"{'type': 'MultiLineString', 'coordinates': [[[-73.97231249591701, 40.685458234338135], [-73.97123922109166, 40.685027486769016]]]}",1,FULTON STREET,BK
27471,"{'type': 'MultiLineString', 'coordinates': [[[-73.94996296700171, 40.61231572693667], [-73.9491197020538, 40.61305321688293]]]}",1,KINGS HIGHWAY,BK
164508,"{'type': 'MultiLineString', 'coordinates': [[[-73.98041991325051, 40.73408982068397], [-73.98020496174176, 40.734385322553905]]]}",1,1 AVENUE,MAN
27590,"{'type': 'MultiLineString', 'coordinates': [[[-73.9448277094101, 40.61604620813896], [-73.94467599504382, 40.616165112956196]]]}",1,KINGS HIGHWAY,BK
9008706,"{'type': 'MultiLineString', 'coordinates': [[[-73.81728166350132, 40.58566001479198], [-73.81738194143561, 40.585613177592805]]]}",1,ROCKAWAY BEACH BOULEVARD,QNS
29176,"{'type': 'MultiLineString', 'coordinates': [[[-73.97123922109166, 40.685027486769016], [-73.97016463066427, 40.684591082599844]]]}",1,FULTON STREET,BK
32947,"{'type': 'MultiLineString', 'coordinates': [[[-73.98877931676213, 40.733965398800954], [-73.98718049621655, 40.73329214716906]]]}",1,EAST 14 STREET,MAN
33108,"{'type': 'MultiLineString', 'coordinates': [[[-73.98485763050714, 40.72817683325017], [-73.98443161455354, 40.72876843766964]]]}",1,1 AVENUE,MAN
9001108,"{'type': 'MultiLineString', 'coordinates': [[[-73.93229967513432, 40.80025779872384], [-73.9322369807902, 40.800343538054946]]]}",1,1 AVENUE,MAN
32802,"{'type': 'MultiLineString', 'coordinates': [[[-73.99171498742916, 40.73521530119412], [-73.99119899402012, 40.73501236768723]]]}",1,EAST 14 STREET,MAN
35887,"{'type': 'MultiLineString', 'coordinates': [[[-73.97401054833057, 40.74309850790579], [-73.97350834975836, 40.74378203397334]]]}",1,1 AVENUE,MAN
