shape_leng,shape_le_1,lane_color,facility,hours,year3
250.644583542,"{'type': 'MultiLineString', 'coordinates': [[[1034365.1379465908, 152308.82108850777], [1034153.0875176787, 152175.18979409337]]]}",Red,Rockaway Beach Boulevard,7AM-10PM/3PM-7PM,0
259.087694493,"{'type': 'MultiLineString', 'coordinates': [[[992222.2921143472, 211400.7508046776], [992346.2797272503, 211628.24477225542]]]}",Red,1st Avenue,24 Hours,0
277.568750247,"{'type': 'MultiLineString', 'coordinates': [[[991590.8025636673, 210257.59232984483], [991724.1910764277, 210501.00949391723]]]}",Red,1st Avenue,24 Hours,0
40.9140294306,"{'type': 'MultiLineString', 'coordinates': [[[991693.1117422581, 159439.42362517118], [991733.6297058463, 159433.7445026785]]]}",,Kings Highway,,0
19.1798369251,"{'type': 'MultiLineString', 'coordinates': [[[994866.3432566673, 216172.62183834612], [994875.9036050141, 216189.2491016686]]]}",Red,1st Avenue,"7AM - 10 AM, 2PM - 7 PM",0
121.262886602,"{'type': 'MultiLineString', 'coordinates': [[[989635.9931530952, 159777.7661243379], [989755.9437005967, 159759.97416517138]]]}",,Kings Highway,,0
245.19309611,"{'type': 'MultiLineString', 'coordinates': [[[992750.5699291676, 212347.39326833189], [992864.3023132533, 212563.5450670123], [992864.7426010966, 212564.38233567774]]]}",Red,1st Avenue,24 Hours,0
107.478461024,"{'type': 'MultiLineString', 'coordinates': [[[991996.3722905964, 174582.67352233827], [992091.1978883445, 174633.26725317538]]]}",Red,Church Avenue,7AM-7PM,0
36.9192813748,"{'type': 'MultiLineString', 'coordinates': [[[1002804.570162341, 230498.62566658854], [1002822.4779349267, 230530.91103509068]]]}",Red,1st Avenue,24 Hours,0
299.546385088,"{'type': 'MultiLineString', 'coordinates': [[[992869.4053214192, 188514.56462176144], [993136.0940925032, 188378.16397592425]]]}",,Fulton Street,2PM-7PM,0
259.925076353,"{'type': 'MultiLineString', 'coordinates': [[[982120.7631048411, 195478.04774200916], [982270.8441695124, 195602.51271617413], [982320.837507844, 195643.9732631743]]]}",None,FDR Drive,2PM-8PM,0
321.302682054,"{'type': 'MultiLineString', 'coordinates': [[[1017138.64713718, 175236.7995106727], [1017346.8586630076, 174992.08871400356]]]}",,Pennsylvania Avenue,24 Hours,0
310.046436532,"{'type': 'MultiLineString', 'coordinates': [[[993136.0940925032, 188378.16397592425], [993433.1473041773, 188289.34853675961]]]}",,Fulton Street,2PM-7PM,0
125.715568527,"{'type': 'MultiLineString', 'coordinates': [[[995967.948665008, 161138.8296751678], [996076.593460843, 161202.0808610022]]]}",,Kings Highway,,0
142.076253975,"{'type': 'MultiLineString', 'coordinates': [[[991803.4176240116, 189075.2134348452], [991928.8885016739, 189008.55969674885]]]}",,Fulton Street,2PM-7PM,0
142.076253975,"{'type': 'MultiLineString', 'coordinates': [[[991803.4176240116, 189075.2134348452], [991928.8885016739, 189008.55969674885]]]}",,Fulton Street,7AM-10AM,0
336.500125693,"{'type': 'MultiLineString', 'coordinates': [[[991928.8885016739, 189008.55969674885], [992226.6034574211, 188851.72175583243]]]}",,Fulton Street,7AM-10AM,0
129.149627927,"{'type': 'MultiLineString', 'coordinates': [[[1017753.8001063466, 174513.34295234084], [1017838.5112230033, 174415.8562706709]]]}",,Pennsylvania Avenue,24 Hours,0
138.54026676,"{'type': 'MultiLineString', 'coordinates': [[[986689.0686007589, 207061.5376983434], [986812.4075929224, 206998.4433363378]]]}",Red,14 Street (9 Avenue- 3 Avenue),6AM-10PM,0
547.757211431,"{'type': 'MultiLineString', 'coordinates': [[[988422.297089681, 206091.67021550238], [988902.3000666797, 205827.78557267785]]]}",Red,14 Street,24 Hours,0
40.2363380893,"{'type': 'MultiLineString', 'coordinates': [[[1002974.2535500079, 230804.54697075486], [1002993.7699151784, 230839.7332520932]]]}",Red,1st Avenue,24 Hours,0
123.042877831,"{'type': 'MultiLineString', 'coordinates': [[[989676.4064580947, 206725.90877641737], [989735.9535830915, 206833.58277367055]]]}",Red,1st Avenue,24 Hours,0
160.982338607,"{'type': 'MultiLineString', 'coordinates': [[[986546.0616689175, 207135.45881034434], [986689.0686007589, 207061.5376983434]]]}",Red,14 Street (9 Avenue- 3 Avenue),6AM-10PM,0
344.217700278,"{'type': 'MultiLineString', 'coordinates': [[[992524.6878350079, 188692.82673242688], [992830.5471314192, 188534.91563092172]]]}",,Fulton Street,7AM-10AM,0
169.972225301,"{'type': 'MultiLineString', 'coordinates': [[[1016578.963217169, 175895.65646067262], [1016688.195610255, 175765.430343166]]]}",,Pennsylvania Avenue,24 Hours,0
354.402722283,"{'type': 'MultiLineString', 'coordinates': [[[999315.2123116702, 163474.53333708644], [999567.4821483344, 163723.45344291627]]]}",,Kings Highway,24 Hours,0
236.474006741,"{'type': 'MultiLineString', 'coordinates': [[[982773.0252517611, 196019.74252475798], [982787.722728923, 196031.5768186748], [982952.4628850073, 196173.7468099296]]]}",None,FDR Drive,2PM-8PM,0
566.841150862,"{'type': 'MultiLineString', 'coordinates': [[[991951.6148341745, 212458.62368892133], [992448.2247333378, 212185.3335530907]]]}",Red,42nd Street,24 Hours,0
