pivot-metric,pivot-value,lane_width,chron_id_1,lane_type2,direction,bltrafdir
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1016783.4710102528, 175654.7678348422], [1016879.992798835, 175542.66175983846]]]}",Single,BK2018,,NB,T
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[988202.8628172576, 204133.31225559115], [988326.0515472591, 204358.5906764269]]]}",Single,MAN1982,,NB,W
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,BK2018,,NB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991330.6498687565, 212801.52162517607], [991596.2713847607, 212654.78143309057]]]}",Single,MAN2019,,EB,T
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991849.0133333355, 210726.13699641824], [991973.9783065021, 210949.6883865893]]]}",Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[989635.9931530952, 159777.7661243379], [989755.9437005967, 159759.97416517138]]]}",Single,BK2018,,WB,T
sbs_route2,M14 D,Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1002642.203361094, 167139.1060604155], [1002725.6874460876, 167226.63213208318]]]}",Single,BK2018,,WB,T
sbs_route2,,Single,BK2018,,EB,T
sbs_route2,,Single,QNS2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991634.2339072526, 189163.884189263], [991717.8938449174, 189119.5483199209]]]}",Single,BK2018,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1016578.963217169, 175895.65646067262], [1016688.195610255, 175765.430343166]]]}",Single,BK2018,,NB,T
sbs_route2,,Single,MAN2019,,WB,A
sbs_route2,,Single,QNS2019,,SB,T
sbs_route2,,Single,MAN2019,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[993500.3489414304, 175372.53414733708], [993744.7280458361, 175498.92168983817]]]}",Single,BK2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[983945.0268447548, 196950.22983700037], [984232.9540904164, 197146.3564132601]]]}",Single,MAN2019,,WB,A
sbs_route2,,Single,MAN1982,,NB,W
sbs_route2,,Single,BK2019,,EB,T
sbs_route2,,Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[983388.911487177, 208877.679079175], [982829.6583405882, 209188.36809033155]]]}",Single,MAN2019,,EB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1034365.1379465908, 152308.82108850777], [1034153.0875176787, 152175.18979409337]]]}",Single,QNS2019,,EB,T
sbs_route2,,Single,BK2018,,EB,T
sbs_route2,,Single,MAN2019,,WB,T
sbs_route2,,Single,BK2018,,NB,T
sbs_route2,,Single,BK2018,Contraflow,WB,W
sbs_route2,,Single,MAN1982,,NB,W
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[991803.4176240116, 189075.2134348452], [991928.8885016739, 189008.55969674885]]]}",Single,BK2018,,WB,T
shape_le_1,"{'type': 'MultiLineString', 'coordinates': [[[1018009.255632177, 174214.2884323448], [1018116.4863888472, 174088.35692566633]]]}",Single,BK2018,,SB,T
sbs_route2,,Single,BK2018,,NB,T
