segmentid,shape_leng,lane_type1,lane_type
9008706,32.6643541687,Bus Lane,Curbside
34650,259.868700267,Bus Lane,Offset
41389,339.831279567,Shared Lane,Curbside
9009265,146.025999715,Shared Lane,Offset
249269,348.378720227,Shared Lane,Bus lane on shoulder
36401,56.559098797,Bus Lane,Curbside
53567,81.061313558,Bus Lane,Curbside
32802,160.982338607,Bus Lane,Busway
164517,57.3181036878,Bus Lane,Offset
33750,487.040442805,Bus Lane,Offset
29181,299.546385088,Shared Lane,
25219,217.703126995,Shared Lane,Curbside
19367,121.262886602,Shared Lane,Curbside
29176,337.789763909,Shared Lane,
32627,899.751619974,Bus Lane,Busway
9001681,64.0247087631,Bus Lane,Offset
32901,246.227176403,Bus Lane,Offset
292894,318.722167572,Shared Lane,Offset
249270,14.9044569452,Shared Lane,Bus lane on shoulder
29245,310.046436532,Shared Lane,
301494,63.2106161903,Shared Lane,Bus lane on shoulder
46922,171.475757207,Shared Lane,Offset
29080,336.500125693,Shared Lane,
9017057,37.3919873033,Bus Lane,Curbside
27106,125.715568527,Shared Lane,Curbside
41370,323.593967143,Shared Lane,Curbside
53661,248.011593759,Bus Lane,Curbside
29251,294.901299049,Shared Lane,
27866,107.478461024,Bus Lane,Curbside
25220,40.9140294306,Shared Lane,Curbside
29255,312.450966006,Shared Lane,
127609,405.890166952,Bus Lane,Offset
29096,96.33223153,Shared Lane,
35888,277.568750247,Bus Lane,Offset
32044,74.9027417779,Bus Lane,Busway
165629,19.1798369251,Bus Lane,Curbside
35895,256.108314129,Bus Lane,Offset
35945,566.841150862,Bus Lane,Offset
19367,121.262886602,Shared Lane,Curbside
32792,1020.79270101,Bus Lane,Busway
46541,270.200768296,Shared Lane,Curbside
27106,125.715568527,Shared Lane,Curbside
195667,35.7729348118,Bus Lane,Curbside
29098,142.076253975,Shared Lane,
19358,148.439600954,Shared Lane,Curbside
34643,304.244339394,Bus Lane,Offset
240351,13.4923143896,Shared Lane,Bus lane on shoulder
29251,294.901299049,Shared Lane,
109300,94.681859267,Shared Lane,
46912,91.0111029891,Shared Lane,Offset
166971,46.3316045615,Shared Lane,Median
33106,244.717445956,Bus Lane,Offset
164495,52.1126188143,Bus Lane,Offset
35887,285.27428539,Bus Lane,Offset
25226,332.850570955,Shared Lane,Curbside
9001098,36.9192813748,Bus Lane,Offset
29181,299.546385088,Shared Lane,
9001685,37.5642934496,Bus Lane,Offset
32897,274.389986658,Bus Lane,Offset
9009249,191.230541974,Shared Lane,Offset
33119,265.314370206,Bus Lane,Offset
35892,257.415982795,Bus Lane,Offset
165449,139.151131461,Bus Lane,Offset
9001683,66.9531979201,Bus Lane,Offset
33095,240.781422262,Bus Lane,Offset
302256,26.0455063135,Shared Lane,Bus lane on shoulder
120766,254.186671494,Shared Lane,Median
165451,17.9319968056,Bus Lane,Offset
109300,94.681859267,Shared Lane,
301495,259.925076353,Shared Lane,Bus lane on shoulder
305540,520.104885354,Bus Lane,Offset
46409,269.607376822,Shared Lane,Curbside
28105,275.127166186,Bus Lane,Curbside
9001102,33.1870392476,Bus Lane,Offset
41387,318.833168109,Shared Lane,Curbside
29354,320.681181134,Shared Lane,
164368,106.072626249,Bus Lane,Offset
36661,260.288912777,Bus Lane,Offset
34667,261.979994198,Bus Lane,Offset
35945,566.841150862,Bus Lane,Offset
40760,266.794671171,Shared Lane,Median
164507,129.183134445,Bus Lane,Offset
9008707,89.9932766406,Bus Lane,Curbside
292895,499.108209278,Shared Lane,Offset
294717,78.8603412711,Bus Lane,Offset
127608,303.459179676,Bus Lane,Offset
9017058,289.536404249,Bus Lane,Curbside
27590,60.4215574125,Shared Lane,Median
32943,355.272976142,Bus Lane,Busway
265064,318.673902228,Shared Lane,Bus lane on shoulder
53653,250.644583542,Bus Lane,Curbside
32807,278.077420457,Bus Lane,Busway
29245,310.046436532,Shared Lane,Curbside
29080,336.500125693,Shared Lane,
29180,43.8648207811,Shared Lane,
109300,94.681859267,Shared Lane,
9009266,147.93318671,Shared Lane,Offset
305539,342.311309427,Bus Lane,Offset
40638,353.063913483,Shared Lane,Median
29255,312.450966006,Shared Lane,
46977,321.302682054,Shared Lane,Offset
34645,257.276120651,Bus Lane,Offset
9000991,15.5775758107,Bus Lane,Offset
32903,256.707153467,Bus Lane,Offset
32899,256.854816191,Bus Lane,Offset
127608,303.459179676,Bus Lane,Offset
9001101,49.6449203097,Bus Lane,Offset
165449,139.151131461,Bus Lane,Offset
29176,337.789763909,Shared Lane,
