the_geom,days,last_updat,streetwidt,sbs_route1,year1,open_dates,days_code,year2
"{'type': 'MultiLineString', 'coordinates': [[[-73.98485763050714, 40.72817683325017], [-73.98443161455354, 40.72876843766964]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.97165740650827, 40.74630369366359], [-73.9712280614582, 40.74691917072089]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.97944605950276, 40.73541451426949], [-73.97934819537566, 40.7355531119325]]]}",7 Days/Week,7/19/2017,0.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.97337475155688, 40.68588481525165], [-73.97307314902784, 40.68576305324776]]]}",Mon - Fri,2/25/2019,0.0,,2018,06/01/2018,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.90231269756666, 40.64513470474333], [-73.90143322579232, 40.64570373042063]]]}",7 Days/Week,2/25/2019,0.0,,2018,09/30/2018,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.9939365066282, 40.758979268725234], [-73.99547450245572, 40.759626856359056]]]}",7 Days/Week,12/19/2019,60.0,,2019,12/20/2019,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.8195743771321, 40.584586933655544], [-73.82033879034444, 40.58422133934803]]]}",Mon - Fri,12/19/2019,35.0,Q53,2019,09/16/2019,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.9866032195227, 40.72577807680726], [-73.98616358058538, 40.726398232372674]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.97078031731908, 40.74754347182471], [-73.97036560457762, 40.748094511746864]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.99119899402012, 40.73501236768723], [-73.99075396816592, 40.73483915434294]]]}",7 Days/Week,12/19/2019,50.0,M14 A,2019,10/03/2019,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96477852663547, 40.683039717827974], [-73.96366357791018, 40.68280663327991]]]}",Mon - Fri,2/25/2019,0.0,,2018,06/01/2018,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.82148089189349, 40.583679346225765], [-73.82172941304475, 40.58356270880368]]]}",Mon - Fri,12/19/2019,35.0,Q53,2019,09/16/2019,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.89855399316588, 40.64757243197118], [-73.8978318123787, 40.648069888286024]]]}",7 Days/Week,2/25/2019,0.0,,2018,09/30/2018,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.88569041981296, 40.65195806488846], [-73.88479047318656, 40.65077192203811]]]}",7 Days/Week,2/25/2019,0.0,B82,2018,6/30/2018,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.93433464774202, 40.62488277926051], [-73.93374351881353, 40.625415611116225]]]}",7 Days/Week,2/25/2019,0.0,B82,2018,10/05/2018,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.94619718761948, 40.78122601812342], [-73.94613091601796, 40.78131597792668]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82, 10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.97714764855252, 40.738795460283185], [-73.97670005824101, 40.73940973275981]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.98296440616376, 40.73152084218467], [-73.98255629299425, 40.73135013385498]]]}",7 Days/Week,12/19/2019,55.0,M14 A,2019,10/03/2019,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.9719611995544, 40.74590289943961], [-73.9718473913806, 40.746057459833025]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.9720857473401, 40.64586232437652], [-73.97174398206342, 40.64600110979099]]]}",Mon - Sat,12/19/2019,42.0,,2019,10/23/2019,6.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.98196782194567, 40.73198256024368], [-73.98180339274903, 40.73220479782567]]]}",7 Days/Week,7/19/2017,0.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.90069187746664, 40.646182016295185], [-73.89996186160548, 40.64666556445924]]]}",7 Days/Week,2/25/2019,0.0,,2018,09/30/2018,7.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.9830694696301, 40.73065522599053], [-73.98255629299425, 40.73135013385498]]]}",7 Days/Week,7/19/2017,70.0,M15,1982,"8/24/82,10/10/10",7.0,2010
"{'type': 'MultiLineString', 'coordinates': [[[-73.89985455660779, 40.7112645608967], [-73.89970877154698, 40.71098131320331]]]}",Mon - Fri,12/19/2019,44.0,,2019,09/13/2019,5.0,0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96959343188169, 40.749139320919994], [-73.96954460668508, 40.74920504496792]]]}",7 Days/Week,7/19/2017,0.0,M15,1982,"8/24/82, 10/10/10",7.0,2010
