case_number,filing_agency_case_id,original_conference,report_issued,type
251176,6043814,,2025-02-06T00:00:00.000,License
252026,5300738,,2025-04-30T00:00:00.000,License
192430,2030926,2019-06-19T00:00:00.000,2025-02-28T00:00:00.000,Regulatory
241679,No. 42328,2023-12-22T00:00:00.000,2025-07-30T00:00:00.000,Regulatory
252000,TWC-229706,,2025-08-22T00:00:00.000,License
201075,MES1709799,2020-02-03T00:00:00.000,2022-10-05T00:00:00.000,Discrimination
252219,5895449,,2025-05-29T00:00:00.000,License
251413,5592536,,2025-04-04T00:00:00.000,License
251612,,,2025-06-09T00:00:00.000,License
250440,LB-0201,,2025-06-25T00:00:00.000,Real Estate/Land Use
252415,5626779,,2025-08-11T00:00:00.000,License
251449,TWC-228791,,2025-07-23T00:00:00.000,License
260265,5594805,,2025-08-29T00:00:00.000,License
252080,TWC-229993,2025-05-01T00:00:00.000,2025-09-15T00:00:00.000,License
243293,DR#296/24-,2024-05-28T00:00:00.000,2024-10-21T00:00:00.000,Personnel
251558,TWC-229144,,2025-05-30T00:00:00.000,License
251904,D0009431,,2025-04-30T00:00:00.000,Personnel
243554,ADR2024LW007316,,2025-04-16T00:00:00.000,Contract
252330,6081750,,2025-06-20T00:00:00.000,License
220085,TA-0287,,2025-06-13T00:00:00.000,Real Estate/Land Use
251159,,,2025-03-19T00:00:00.000,License
250942,,,2025-03-20T00:00:00.000,License
252287,5043295,,2025-07-21T00:00:00.000,License
260125,6106205,,2025-08-05T00:00:00.000,License
251970,6009316,,2025-04-29T00:00:00.000,License
251805,6016706,,2025-04-21T00:00:00.000,License
241796,M-E-CNR-19-50623-E,2024-01-18T00:00:00.000,2025-05-22T00:00:00.000,Discrimination
250229,1445123,2024-08-14T00:00:00.000,2025-05-29T00:00:00.000,Personnel
240358,D0005965,2023-08-30T00:00:00.000,2024-12-05T00:00:00.000,Personnel
240138,0051-2022D,2023-08-23T00:00:00.000,2025-02-21T00:00:00.000,Personnel
251732,TWC-229533,,2025-07-02T00:00:00.000,License
251365,1405632-02,,2025-02-20T00:00:00.000,Personnel
250441,LC-0173,,2025-03-27T00:00:00.000,Real Estate/Land Use
251416,TWC-229163,,2025-06-17T00:00:00.000,License
201962,TR-1394,,2024-01-12T00:00:00.000,Real Estate/Land Use
251179,6023976,,2025-01-29T00:00:00.000,License
250500,TWC-228429,,2025-08-22T00:00:00.000,License
252386,TWC-230023,,2025-09-09T00:00:00.000,License
250559,TWC-228411,,2025-02-11T00:00:00.000,License
242125,"1320272, File # 1052542",2024-03-25T00:00:00.000,2025-02-11T00:00:00.000,Personnel
250790,TWC-228660,,2025-02-12T00:00:00.000,License
241879,DR#525/23,2024-01-08T00:00:00.000,2024-06-21T00:00:00.000,Personnel
250880,DR#782/24,2024-10-30T00:00:00.000,2024-12-19T00:00:00.000,Personnel
