filing_agency_case_id,agency_head_decision,opened,subcategory
,U - Recommendation upheld in full,2024-11-11T00:00:00.000,08 - Disc. Rev. Serious Misconduct
5737667,U - Recommendation upheld in full,2025-06-13T00:00:00.000,01 - Susp. Arrest
,,2025-02-25T00:00:00.000,N1 - Absent without official leave
PO-0239,,2024-04-19T00:00:00.000,PO - LFT - Protected Occupancy Status
6035708,U - Recommendation upheld in full,2025-01-31T00:00:00.000,04 - Fitness Drug Use
TWC-229145,,2024-11-22T00:00:00.000,BI - BIC
66056449-000,,2025-03-05T00:00:00.000,N1 - Absent without official leave
5771714,U - Recommendation upheld in full,2025-04-07T00:00:00.000,01 - Susp. Arrest
5810511,U - Recommendation upheld in full,2025-08-12T00:00:00.000,01 - Susp. Arrest
TWC-225277,,2023-10-24T00:00:00.000,BI - BIC
TWC-228842,,2024-07-02T00:00:00.000,BI - BIC
6002823,U - Recommendation upheld in full,2024-11-19T00:00:00.000,04 - Fitness Drug Use
TWC-225072,,2023-07-10T00:00:00.000,BI - BIC
TWC-230008,,2025-04-22T00:00:00.000,BI - BIC
TWC-228791,,2025-01-28T00:00:00.000,BI - BIC
TWC-229547,,2025-06-16T00:00:00.000,BI - BIC
2023-308b,U - Recommendation upheld in full,2024-10-01T00:00:00.000,Q7 - Other Conflicts of Interest Board cases (CIB)
TWC-228673,,2024-09-13T00:00:00.000,BI - BIC
5774517,U - Recommendation upheld in full,2025-07-03T00:00:00.000,04 - Fitness Drug Use
DR# 1470/23,R - Reversed,2024-04-08T00:00:00.000,J15 - Undue familiarity with inmate
MP 1-18-33418,,2021-03-22T00:00:00.000,Q5 - Discrimination Cases (CHR)
,U - Recommendation upheld in full,2024-10-10T00:00:00.000,ML - Marriage license
TWC-228965,,2024-11-22T00:00:00.000,BI - BIC
6016706,U - Recommendation upheld in full,2025-03-19T00:00:00.000,01 - Susp. Arrest
5650390,U - Recommendation upheld in full,2025-01-06T00:00:00.000,04 - Fitness Drug Use
TR-1426,,2021-08-27T00:00:00.000,TR - LFT - Coverage (Tenant)
2030926,,2019-05-17T00:00:00.000,Q17 - Licensing Law (DCA)
LS-0315,,2025-01-15T00:00:00.000,LS - LFT - Access
5974942,U - Recommendation upheld in full,2025-02-05T00:00:00.000,01 - Susp. Arrest
5895449,U - Recommendation upheld in full,2025-05-12T00:00:00.000,01 - Susp. Arrest
,U - Recommendation upheld in full,2023-08-18T00:00:00.000,N3 - Sick leave violations -- leaving residence without authorization
5591679,U - Recommendation upheld in full,2025-07-17T00:00:00.000,01 - Susp. Arrest
DR#1011/24,U - Recommendation upheld in full,2025-03-12T00:00:00.000,J1 - Use of force against inmate
5812163,,2025-01-30T00:00:00.000,01 - Susp. Arrest
DP #127/24,,2025-03-17T00:00:00.000,N1 - Absent without official leave
TA-0287,,2021-07-12T00:00:00.000,TA - LFT - Rent (Tenant)
1442373-07,,2024-12-20T00:00:00.000,N1 - Absent without official leave
5682513,U - Recommendation upheld in full,2025-06-27T00:00:00.000,01 - Susp. Arrest
TWC-228551,,2024-09-20T00:00:00.000,BI - BIC
TWC-229871,U - Recommendation upheld in full,2024-10-25T00:00:00.000,BI - BIC
,U - Recommendation upheld in full,2024-12-30T00:00:00.000,04 - Fitness Drug Use
6028490,U - Recommendation upheld in full,2024-09-05T00:00:00.000,04 - Fitness Drug Use
,,2023-02-09T00:00:00.000,M1 - Failure to perform work properly
,,2024-08-28T00:00:00.000,N1 - Absent without official leave
5043295,U - Recommendation upheld in full,2025-05-21T00:00:00.000,04 - Fitness Drug Use
ADR2022LW030942,U - Recommendation upheld in full,2023-10-05T00:00:00.000,
TR-1248,U - Recommendation upheld in full,2022-07-08T00:00:00.000,TR - LFT - Coverage (Tenant)
D0003926,U - Recommendation upheld in full,2024-01-11T00:00:00.000,F3 - Falsification of Records for personal gain (Fraud)
11077174,P - Upheld -- penalty modified upward,2023-07-26T00:00:00.000,K4 - Insubordination -- failure to obey orders or agency rules
INV 0025/23,P - Upheld -- penalty modified upward,2023-10-24T00:00:00.000,M1 - Failure to perform work properly
TWC-229374,,2025-02-11T00:00:00.000,BI - BIC
