the_geom,:@computed_region_sbqj_enih
"{'type': 'Point', 'coordinates': [-73.96335425728856, 40.72037718476372]}",57
"{'type': 'Point', 'coordinates': [-74.24233142727974, 40.52841590124415]}",77
"{'type': 'Point', 'coordinates': [-73.97270267859628, 40.73874731759721]}",7
"{'type': 'Point', 'coordinates': [-73.94028175599043, 40.76745223339446]}",72
"{'type': 'Point', 'coordinates': [-73.84403111660494, 40.79438181867614]}",67
"{'type': 'Point', 'coordinates': [-74.0101793262412, 40.668489142869795]}",48
"{'type': 'Point', 'coordinates': [-74.01716484126057, 40.673617555264606]}",48
"{'type': 'Point', 'coordinates': [-73.93907538325655, 40.57558923294776]}",36
"{'type': 'Point', 'coordinates': [-73.78274317526807, 40.84805240488531]}",28
"{'type': 'Point', 'coordinates': [-74.00806798716646, 40.74843401938669]}",6
"{'type': 'Point', 'coordinates': [-73.99602490972724, 40.673410808387075]}",50
"{'type': 'Point', 'coordinates': [-73.9636056448219, 40.71869496891493]}",57
"{'type': 'Point', 'coordinates': [-74.00952029798378, 40.66981987127419]}",48
"{'type': 'Point', 'coordinates': [-73.84258266376375, 40.794231082234596]}",67
"{'type': 'Point', 'coordinates': [-73.96412285883552, 40.719849938824154]}",57
"{'type': 'Point', 'coordinates': [-73.91855289276828, 40.87310683323402]}",22
"{'type': 'Point', 'coordinates': [-74.15733181344942, 40.52891604696246]}",77
"{'type': 'Point', 'coordinates': [-73.98777766994385, 40.580400326937536]}",35
"{'type': 'Point', 'coordinates': [-73.99669912896299, 40.67266732481565]}",50
"{'type': 'Point', 'coordinates': [-73.92995715946753, 40.775971284977885]}",72
"{'type': 'Point', 'coordinates': [-73.91793316145119, 40.612660725002286]}",38
"{'type': 'Point', 'coordinates': [-73.9685713286531, 40.71014215141895]}",56
