intersect_,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q
End of 40 rd off of College Point Blvd.,3,22,3
Shore Parkway and 24th Avenue,44,1,2
Barnell Street and Van Dyke Street,7,14,2
East 25 Street and F D R Drive,51,71,4
India Street and West Street,38,36,2
Bronx River Avenue and White Plains Road,31,58,5
Commercial Street and Blue Slip,38,36,2
East 34 Street and F D R Drive,51,71,4
Powells Cove Boulevard and Endeavor Place,20,22,3
157 Avenue and Cross Bay Boulevard,41,62,3
1st Street Street End Off of Bond,27,14,2
East 28 Street and F D R Drive,51,71,4
East 55 Street and Avenue U,8,5,2
2nd Street Street end Off of Bond,27,14,2
3 Street and 3 Avenue (W),27,14,2
S5 Street and River Street,38,36,2
Grand Street and River Street,38,36,2
Soundview Avenue and Cornell Avenue,31,58,5
3 Street and 3 Avenue (E),27,14,2
North 3 Street and River Street,38,36,2
Broadway and Vernon Boulevard,33,39,3
Victory Boulevard and Bay Street Landing,13,4,1
