the_geom,intersect_,wpaa_name,wpaa_id
"{'type': 'Point', 'coordinates': [-73.97246792352033, 40.7403110494591]}",East 30 Street and F D R Drive,The Water Club Esplanade,1060005
"{'type': 'Point', 'coordinates': [-73.96719420746189, 40.71393616735054]}",S3 Street and Kent Avenue,Domino Park,3010011
"{'type': 'Point', 'coordinates': [-74.00284833170268, 40.76084145214899]}",West 40 Street and 12 Avenue,West Midtown Ferry Terminal (Pier 79),1040008
"{'type': 'Point', 'coordinates': [-73.98864504329082, 40.67950756512374]}",Union Street and Bond Street,450 Union Street,3060010
"{'type': 'Point', 'coordinates': [-74.01293132414149, 40.673298409027026]}",Beard Street and Dwight Street,Ikea,3060002
"{'type': 'Point', 'coordinates': [-74.01192146386737, 40.67243869544964]}",Beard Street and Otsego Street,Ikea,3060002
"{'type': 'Point', 'coordinates': [-73.92819205638588, 40.77676974323566]}",Astoria Park South and Shore Boulevard,Shore Towers,4010003
"{'type': 'Point', 'coordinates': [-74.15991656287792, 40.527606736708904]}",Mayberry Promenade and Arden Avenue,Atlantic Village,5030012
"{'type': 'Point', 'coordinates': [-73.98686549961802, 40.58200434929656]}",Bay 54 Street and West 20 Street,The Home Depot,3130004
"{'type': 'Point', 'coordinates': [-74.14275732032223, 40.5377137931167]}",Tennyson Drive and Wiman Avenue,Port Regalle,5030011
"{'type': 'Point', 'coordinates': [-73.98432679209594, 40.71005022858737]}",South Street and Montgomery Street,Basketball City,1030001
"{'type': 'Point', 'coordinates': [-74.01766371036732, 40.67522474318702]}",Conover Street and Reed Street,Fairway (Red Hook Stores),3060001
"{'type': 'Point', 'coordinates': [-74.00352935415172, 40.75991035115086]}",West 39 Street and 12 Avenue,West Midtown Ferry Terminal (Pier 79),1040008
"{'type': 'Point', 'coordinates': [-74.00373972333499, 40.75962580394144]}",West 39 Street and 12 Avenue,West Midtown Ferry Terminal (Pier 78),1040009
"{'type': 'Point', 'coordinates': [-73.8483633002515, 40.79282862706495]}",College Place and 5 Avenue,Soundview Pointe,4070010
"{'type': 'Point', 'coordinates': [-73.8485127889411, 40.79445543626293]}",Park Crescent and Soundview Lane (N),Soundview Pointe,4070010
"{'type': 'Point', 'coordinates': [-73.95836756921749, 40.736421805225135]}",Commercial Street and Bell Slip,Greenpoint Landing,3010014
"{'type': 'Point', 'coordinates': [-73.96403859752246, 40.719947653870626]}",North 5 Street and Northside Piers,Williamsburg - The Edge,3010003
"{'type': 'Point', 'coordinates': [-73.96856699316619, 40.70862035590375]}",South 9 Street and Kent Avenue,Schaefer Landing,3010001
"{'type': 'Point', 'coordinates': [-73.8400487547482, 40.66096500438819]}",158 Avenue and Cross Bay Boulevard,Starbucks (157-41 Cross Bay Blvd),4100004
"{'type': 'Point', 'coordinates': [-74.0029471001488, 40.70606042206747]}",Fulton Street and South Street,South Street Seaport-Pier 17 Redevelopment,1010003
"{'type': 'Point', 'coordinates': [-73.84827911017884, 40.79310956909838]}",Park Crescent and Soundview Lane (S),Soundview Pointe,4070010
