annual_rate,mean_salary,agency_code
96066,48033,3
520036,173345,4
1410581,141058,2
177825,88913,2
1229430,175633,2
239377,79792,3
325430,65086,2
2213606,130212,2
1101319,84717,2
51035,51035,2
243853,243853,2
3793533,56620,3
499842,124961,3
196406,98203,3
227786,227786,2
9359913,89999,2
1015834,92349,3
180250,180250,2
369234,184617,2
87550,87550,2
236900,236900,2
84247,84247,2
233600,116800,2
753733,62811,4
60248,60248,2
56650,56650,2
218802,218802,2
972507,44205,2
115238,115238,4
1617869,147079,2
1685084,84254,2
12504126,145397,2
82234,82234,2
158881,158881,4
123745,123745,3
240543,120272,2
99640,49820,56
145332,145332,2
227786,227786,2
91311,91311,2
222924,222924,2
398616,132872,2
56650,56650,2
44039,44039,2
332497,110832,2
105639,105639,2
415017,103754,2
15101456,106348,2
423395,60485,2
54104,54104,8
5690592,45525,3
84643,84643,2
149968,74984,2
42000,42000,2
243171,243171,2
134280,134280,2
457422,228711,2
227786,227786,2
70900,70900,2
104675,104675,8
80000,80000,10
53705,53705,2
227786,227786,2
232615,232615,3
59263,59263,2
790815,60832,2
137795,68898,3
785092,60392,2
5664285,118006,2
856758,142793,3
148289,49430,2
47888,47888,2
80773,80773,2
4493928,67074,3
416575,138858,3
20886643,74863,2
244302,40717,2
51564,51564,2
193226,193226,4
67000,67000,2
329420,109807,3
135653,135653,2
120000,120000,2
124875,124875,3
56911,56911,8
1104142,92012,3
104990,104990,8
203996,203996,2
89364,89364,2
112795,112795,2
117217,117217,3
129343,64672,2
832219,166444,2
745854,93232,2
882858,110357,4
622859,77857,3
187991,187991,2
607304,67478,2
221240,110620,2
311885,311885,8
1388443,99175,3
1521810,69173,2
870203,66939,2
365551,182776,3
655678,131136,2
134281,134281,2
62684,62684,2
581421,145355,3
173216,173216,2
255770,63943,2
179795,29966,3
333378,166689,2
61239,61239,8
117915,58958,3
2650941,50018,3
243171,243171,2
4076655,119902,2
167270,167270,2
323250,161625,8
5197172,53032,3
164800,82400,2
318083,45440,2
105755,105755,2
86780,43390,2
1252465,54455,2
856064,122295,2
46966,46966,2
477746,79624,2
222924,222924,2
101097,101097,3
101987,101987,2
1007928,251982,2
163243,163243,2
156556,156556,2
407070,81414,2
238960,238960,2
779865,77987,3
117901,117901,2
87789,87789,2
362238,181119,3
46350,46350,2
180472,180472,2
4067662,86546,4
62696,62696,2
2459456,94594,2
148000,148000,2
94702,94702,8
72599,72599,2
243171,243171,2
51105,51105,2
291139,291139,2
114639,114639,10
697407,174352,2
348255,87064,2
227786,227786,2
732829,91604,2
50000,50000,2
1344956,56040,2
214190,214190,3
237033,237033,2
739261,67206,4
182634,45659,2
103000,103000,2
454902,151634,2
69826,69826,2
1923131,106841,2
455775,151925,2
721687,51549,2
3310420,110347,2
54343,54343,3
187991,187991,8
189972,94986,2
79389,79389,2
258750,258750,2
75643,75643,8
226773,75591,2
887179,110897,2
773463,154693,2
263017,263017,4
81800,81800,2
87550,87550,2
92679,92679,10
182304,182304,2
3091990,37253,3
214483,107242,2
220273,110137,8
1551292,172366,8
202910,101455,2
50000,50000,8
440328,220164,2
115000,57500,2
757406,126234,2
66463,66463,2
220652,220652,2
185400,92700,2
2361898,112471,4
3502418,39800,3
243171,243171,2
112700,112700,2
1528526,76426,8
