minmum_salary,publication_date
117901,20200630
75905,20200630
54912,20200630
62215,20200630
203996,20200630
105703,20200630
180250,20200630
238960,20200630
156556,20200630
44039,20200630
66950,20200630
237033,20200630
153348,20200630
33121,20200630
43219,20200630
227786,20200630
56911,20200630
62684,20200630
70397,20200630
101987,20200630
158881,20200630
91311,20200630
83785,20200630
68499,20200630
80568,20200630
103000,20200630
243171,20200630
52362,20200630
51564,20200630
82400,20200630
46856,20200630
227786,20200630
47380,20200630
222924,20200630
80000,20200630
103618,20200630
58127,20200630
243171,20200630
168508,20200630
53000,20200630
38110,20200630
80543,20200630
134281,20200630
151270,20200630
57548,20200630
56282,20200630
69525,20200630
63191,20200630
73722,20200630
60000,20200630
91878,20200630
67000,20200630
111121,20200630
220652,20200630
176232,20200630
54104,20200630
45000,20200630
63047,20200630
82190,20200630
81800,20200630
87789,20200630
193226,20200630
100000,20200630
148000,20200630
70856,20200630
87550,20200630
41200,20200630
112700,20200630
75190,20200630
88912,20200630
173216,20200630
180472,20200630
56650,20200630
135653,20200630
311885,20200630
227786,20200630
82400,20200630
120000,20200630
46350,20200630
139335,20200630
87550,20200630
83430,20200630
44290,20200630
37398,20200630
69826,20200630
46966,20200630
66702,20200630
104990,20200630
243171,20200630
94702,20200630
115000,20200630
124875,20200630
61854,20200630
168508,20200630
82234,20200630
48033,20200630
83791,20200630
145332,20200630
65847,20200630
227786,20200630
57548,20200630
123745,20200630
56650,20200630
40691,20200630
48341,20200630
243171,20200630
79310,20200630
42970,20200630
115238,20200630
222924,20200630
187991,20200630
75591,20200630
28227,20200630
70900,20200630
258750,20200630
48953,20200630
114639,20200630
51035,20200630
243853,20200630
101097,20200630
80773,20200630
101585,20200630
60000,20200630
187991,20200630
46423,20200630
84247,20200630
236900,20200630
84643,20200630
62696,20200630
203996,20200630
48186,20200630
53705,20200630
80000,20200630
170000,20200630
150100,20200630
116725,20200630
66463,20200630
50763,20200630
70555,20200630
102052,20200630
113882,20200630
55000,20200630
60000,20200630
232615,20200630
113300,20200630
75643,20200630
53089,20200630
142949,20200630
134969,20200630
60858,20200630
105755,20200630
83106,20200630
103000,20200630
104675,20200630
263017,20200630
54343,20200630
50000,20200630
112795,20200630
153378,20200630
91563,20200630
47888,20200630
50000,20200630
61239,20200630
59263,20200630
163243,20200630
134280,20200630
59180,20200630
110000,20200630
101611,20200630
36997,20200630
291139,20200630
50000,20200630
50367,20200630
57498,20200630
42000,20200630
227786,20200630
64454,20200630
219255,20200630
105639,20200630
97904,20200630
167270,20200630
51105,20200630
40403,20200630
251982,20200630
182304,20200630
38332,20200630
60248,20200630
40761,20200630
72599,20200630
42000,20200630
117217,20200630
79389,20200630
58700,20200630
54000,20200630
214190,20200630
92679,20200630
87550,20200630
89364,20200630
70519,20200630
218802,20200630
