annual_rate,maxmum_salary,positions,title_code,ua_name,ua_code
117901,117901,1,82976,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
655678,176232,5,0668A,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
4493928,107431,67,94206,PERSONAL SERVICES,1
1521810,88541,22,56058,OFF OF LABOR RELATIONS-PS,61
203996,203996,1,5454,OFFICE OF THE MAYOR-PS,20
499842,138310,4,94526,PERSONAL SERVICES,1
180250,180250,1,6814,OFFICE OF THE MAYOR-PS,20
238960,238960,1,6819,OFFICE OF THE MAYOR-PS,20
156556,156556,1,13209,OFFICE OF THE MAYOR-PS,20
44039,44039,1,6405,OFFICE OF OPERATIONS-PS,380
856064,190550,7,6087A,OFFICE OF THE MAYOR-PS,20
237033,237033,1,5395,OFFICE OF THE MAYOR-PS,20
1229430,219255,7,13365,OFF OF LABOR RELATIONS-PS,61
3091990,62932,83,94216,PERSONAL SERVICES,1
1252465,83695,23,6405,OFFICE OF THE MAYOR-PS,20
227786,227786,1,6810,OFFICE OF THE MAYOR-PS,20
56911,56911,1,12158,PERSONAL SERVICE,100
62684,62684,1,40235,OFF OF LABOR RELATIONS-PS,61
239377,98462,3,94208,PERSONAL SERVICES,1
101987,101987,1,13622,OFF OF LABOR RELATIONS-PS,61
158881,158881,1,6470,PERSONAL SERVICES,1
91311,91311,1,12913,OFF OF LABOR RELATIONS-PS,61
1015834,101993,11,94414,PERSONAL SERVICES,1
1101319,107770,13,21744,OFF OF LABOR RELATIONS-PS,61
882858,139804,8,6604,PERSONAL SERVICES,1
1410581,184401,10,95005,CRIMINAL JUSTICE PROGRAMS PS,50
243171,243171,1,6816,CRIMINAL JUSTICE PROGRAMS PS,50
3793533,65611,67,94524,PERSONAL SERVICES,1
51564,51564,1,6405,OFF FOR PEOPLE WITH DISAB-PS,260
1104142,119712,12,94201,PERSONAL SERVICES,1
20886643,107242,279,6088,OFFICE OF MGMT AND BUDGET-PS,40
227786,227786,1,13362,COMMUNITY AFFAIRS UNIT-PS,340
255770,92000,4,12851,OFFICE OF THE MAYOR-PS,20
222924,222924,1,95005,OFFICE OF MGMT AND BUDGET-PS,40
332497,139440,3,10025,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
329420,117003,3,94388,PERSONAL SERVICES,1
607304,85939,9,13368,OFF OF LABOR RELATIONS-PS,61
243171,243171,1,13367,OFF OF LABOR RELATIONS-PS,61
365551,197043,2,94372,PERSONAL SERVICES,1
423395,69525,7,5277,CRIMINAL JUSTICE PROGRAMS PS,50
739261,103000,11,6603,PERSONAL SERVICES,1
1388443,130854,14,94412,PERSONAL SERVICES,1
134281,134281,1,0668A,SPECIAL ENFORCEMENT-PS,560
697407,196950,4,10050,OFFICE OF MGMT AND BUDGET-PS,40
1923131,204696,18,0668A,CRIMINAL JUSTICE PROGRAMS PS,50
15101456,211150,142,0668A,OFFICE OF THE MAYOR-PS,20
455775,211150,3,5278,OFFICE OF THE MAYOR-PS,20
2459456,177904,26,0527A,CRIMINAL JUSTICE PROGRAMS PS,50
779865,86745,10,94202,PERSONAL SERVICES,1
9359913,176232,104,0527A,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
757406,156053,6,82994,OFF OF LABOR RELATIONS-PS,61
67000,67000,1,13272,NYC COMM TO THE UN-PS,70
12504126,222924,86,0608A,OFFICE OF MGMT AND BUDGET-PS,40
220652,220652,1,30072,OFFICE OF THE MAYOR-PS,20
369234,193002,2,10095,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
54104,54104,1,6770,PERSONAL SERVICE,100
5690592,85447,125,94210,PERSONAL SERVICES,1
2361898,176671,21,6602,PERSONAL SERVICES,1
221240,139050,2,0527A,COMMUNITY AFFAIRS UNIT-PS,340
81800,81800,1,8297A,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
87789,87789,1,6004,SPECIAL ENFORCEMENT-PS,560
193226,193226,1,95005,PERSONAL SERVICES,1
220273,120273,2,10026,PERSONAL SERVICE,100
148000,148000,1,51790,CRIMINAL JUSTICE PROGRAMS PS,50
149968,79112,2,40510,OFF OF LABOR RELATIONS-PS,61
185400,97850,2,0668A,COMMISSION ON GENDER EQUITY-PS,350
148289,62830,3,5277,OFFICE OF THE MAYOR-PS,20
112700,112700,1,21215,OFFICE OF MGMT AND BUDGET-PS,40
3310420,189763,30,0527A,OFFICE OF OPERATIONS-PS,380
177825,88913,2,5384,OFFICE OF THE MAYOR-PS,20
173216,173216,1,30106,OFFICE OF MGMT AND BUDGET-PS,40
180472,180472,1,6558,OFFICE OF THE MAYOR-PS,20
56650,56650,1,6689,OFFICE OF THE MAYOR-PS,20
135653,135653,1,54874,OFF OF LABOR RELATIONS-PS,61
311885,311885,1,40735,PERSONAL SERVICE,100
227786,227786,1,13361,NYC COMM TO THE UN-PS,70
164800,82400,2,13369,OFF OF LABOR RELATIONS-PS,61
120000,120000,1,1002C,OFF OF LABOR RELATIONS-PS,61
46350,46350,1,10246,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
454902,176232,3,95005,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,90
87550,87550,1,0527A,COMMISSION ON GENDER EQUITY-PS,350
