id,dateoccured,runtype
322456,2021-01-06,PM Run
322556,2021-01-08,AM Run
322641,2021-01-11,PM Run
322330,2021-01-04,AM Run
322540,2021-01-08,AM Run
322241,2021-01-04,AM Run
322221,2021-01-04,AM Run
322357,2021-01-05,PM Run
322332,2021-01-04,AM Run
322357,2021-01-05,PM Run
322652,2021-01-11,PM Run
322231,2021-01-04,AM Run
322640,2021-01-11,PM Run
322246,2021-01-04,AM Run
322286,2021-01-04,AM Run
322589,2021-01-11,AM Run
322566,2021-01-08,AM Run
322312,2021-01-04,AM Run
322532,2021-01-08,AM Run
322421,2021-01-06,AM Run
322627,2021-01-11,AM Run
322559,2021-01-08,AM Run
322553,2021-01-08,AM Run
322568,2021-01-11,AM Run
322430,2021-01-06,AM Run
322533,2021-01-08,AM Run
322535,2021-01-08,PM Run
322239,2021-01-04,AM Run
322556,2021-01-08,AM Run
322590,2021-01-11,PM Run
322336,2021-01-04,AM Run
322456,2021-01-06,PM Run
323146,2021-01-25,AM Run
322456,2021-01-06,PM Run
322539,2021-01-08,AM Run
322606,2021-01-11,AM Run
322558,2021-01-08,AM Run
322229,2021-01-04,AM Run
322630,2021-01-11,PM Run
322662,2021-01-12,PM Run
322539,2021-01-08,AM Run
322332,2021-01-04,AM Run
322573,2021-01-11,AM Run
322223,2021-01-04,AM Run
322357,2021-01-05,PM Run
322255,2021-01-04,AM Run
322425,2021-01-06,PM Run
322649,2021-01-11,AM Run
322563,2021-01-08,AM Run
322663,2021-01-12,AM Run
323211,2021-01-25,AM Run
322579,2021-01-11,AM Run
322606,2021-01-11,AM Run
322286,2021-01-04,AM Run
322306,2021-01-04,AM Run
322234,2021-01-04,AM Run
322569,2021-01-11,PM Run
322296,2021-01-04,AM Run
323169,2021-01-25,AM Run
322292,2021-01-04,AM Run
322569,2021-01-11,PM Run
322421,2021-01-06,AM Run
322555,2021-01-08,PM Run
322559,2021-01-08,AM Run
322440,2021-01-06,PM Run
322439,2021-01-06,AM Run
322322,2021-01-04,AM Run
323211,2021-01-25,AM Run
322437,2021-01-06,AM Run
322429,2021-01-06,AM Run
322244,2021-01-04,AM Run
322456,2021-01-06,PM Run
322667,2021-01-12,AM Run
322344,2021-01-04,AM Run
322246,2021-01-04,AM Run
322340,2021-01-04,AM Run
322667,2021-01-12,AM Run
322261,2021-01-04,AM Run
322570,2021-01-11,PM Run
322289,2021-01-04,AM Run
322221,2021-01-04,AM Run
322239,2021-01-04,AM Run
323200,2021-01-25,AM Run
322226,2021-01-04,AM Run
322437,2021-01-06,AM Run
322234,2021-01-04,AM Run
322429,2021-01-06,AM Run
322558,2021-01-08,AM Run
322641,2021-01-11,PM Run
322332,2021-01-04,AM Run
322305,2021-01-04,AM Run
322332,2021-01-04,AM Run
322533,2021-01-08,AM Run
322540,2021-01-08,AM Run
322249,2021-01-04,AM Run
322427,2021-01-06,AM Run
322286,2021-01-04,AM Run
322310,2021-01-04,PM Run
322294,2021-01-04,PM Run
322340,2021-01-04,AM Run
322435,2021-01-06,AM Run
322244,2021-01-04,AM Run
322226,2021-01-04,AM Run
323205,2021-01-25,AM Run
322255,2021-01-04,AM Run
322608,2021-01-11,PM Run
322340,2021-01-04,AM Run
323198,2021-01-25,AM Run
322252,2021-01-04,AM Run
322440,2021-01-06,PM Run
322344,2021-01-04,AM Run
322533,2021-01-08,AM Run
322629,2021-01-11,AM Run
322441,2021-01-06,AM Run
322433,2021-01-06,PM Run
322542,2021-01-08,AM Run
322656,2021-01-12,AM Run
322231,2021-01-04,AM Run
322652,2021-01-11,PM Run
322569,2021-01-11,PM Run
322660,2021-01-12,AM Run
322252,2021-01-04,AM Run
322356,2021-01-05,AM Run
322659,2021-01-12,AM Run
323198,2021-01-25,AM Run
322651,2021-01-11,AM Run
322540,2021-01-08,AM Run
322569,2021-01-11,PM Run
322608,2021-01-11,PM Run
322662,2021-01-12,PM Run
322601,2021-01-11,AM Run
322456,2021-01-06,PM Run
322340,2021-01-04,AM Run
323168,2021-01-25,AM Run
322635,2021-01-11,PM Run
322266,2021-01-04,AM Run
322559,2021-01-08,AM Run
323200,2021-01-25,AM Run
322281,2021-01-04,AM Run
322667,2021-01-12,AM Run
323215,2021-01-25,AM Run
322644,2021-01-11,PM Run
323198,2021-01-25,AM Run
322330,2021-01-04,AM Run
322449,2021-01-06,AM Run
322256,2021-01-04,AM Run
322651,2021-01-11,AM Run
322627,2021-01-11,AM Run
322272,2021-01-04,PM Run
322429,2021-01-06,AM Run
322612,2021-01-11,AM Run
322231,2021-01-04,AM Run
322332,2021-01-04,AM Run
