school_year,service_category_k_9_only
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,1899-12-31T12:01:00.000
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,1899-12-31T12:01:01.000
2010-2011,-
2010-2011,-
2010-2011,1899-12-31T08:01:01.000
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,1899-12-31T06:01:01.000
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,1899-12-31T12:01:00.000
2010-2011,1899-12-31T15:01:00.000
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,1899-12-31T12:01:01.000
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,1899-12-31T06:01:01.000
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
2010-2011,-
