core_course_ms_core_and_9,program_type,csd
English 12,GEN ED,
-,GEN ED,
Chemistry,SPEC ED,
English 12,SPEC ED,
-,GEN ED,
Geometry,SPEC ED,
Other Math,CTT,
-,G&T,
MS Math Core,CTT,
Other Science,SPEC ED,
Geometry,GEN ED,
MS Social Studies Core,CTT,
-,SPEC ED,
Math A,SPEC ED,
US History & Government,CTT,
Integrated Algebra,CTT,
MS Math Core,CTT,
Chemistry,GEN ED,
Other Social Studies,GEN ED,
Trigonometry,GEN ED,
-,CTT,
-,GEN ED,
MS English Core,SPEC ED,
English 10,CTT,
Economics,CTT,
Other Science,GEN ED,
-,GEN ED,
MS English Core,GEN ED,
-,G&T,
Chemistry,CTT,
English 9,SPEC ED,
-,CTT,
Economics,GEN ED,
-,CTT,
Other Science,GEN ED,
-,GEN ED,
Other Social Studies,GEN ED,
English 11,SPEC ED,
-,SPEC ED,
US History & Government,GEN ED,
-,G&T,
-,SPEC ED,
Math B,SPEC ED,
MS English Core,GEN ED,
-,CTT,
MS English Core,CTT,
MS Social Studies Core,GEN ED,
-,G&T,
-,GEN ED,
-,GEN ED,
Earth Science,GEN ED,
Living Environment,GEN ED,
-,CTT,
Math A,CTT,
Math B,GEN ED,
MS English Core,CTT,
Integrated Algebra,GEN ED,
Other English,GEN ED,
Other Science,CTT,
MS English Core,SPEC ED,
Living Environment,GEN ED,
MS Science Core,CTT,
Math A,CTT,
-,CTT,
-,SPEC ED,
Global History & Geography,GEN ED,
-,GEN ED,
Other Science,CTT,
-,G&T,
-,G&T,
Earth Science,GEN ED,
-,G&T,
Global History & Geography,CTT,
Chemistry,GEN ED,
-,CTT,
-,G&T,
English 10,SPEC ED,
Physics,GEN ED,
Participation in Government,GEN ED,
-,GEN ED,
-,G&T,
English 9,CTT,
MS Math Core,GEN ED,
-,G&T,
-,G&T,
US History & Government,CTT,
MS Social Studies Core,CTT,
Global History & Geography,SPEC ED,
-,GEN ED,
Integrated Algebra,SPEC ED,
Integrated Algebra,GEN ED,
Living Environment,SPEC ED,
-,CTT,
English 12,CTT,
Other Math,SPEC ED,
-,SPEC ED,
-,SPEC ED,
-,GEN ED,
US History & Government,SPEC ED,
Other Science,CTT,
Other Social Studies,CTT,
Earth Science,SPEC ED,
Trigonometry,GEN ED,
Math A,SPEC ED,
-,G&T,
Trigonometry,SPEC ED,
Living Environment,CTT,
Physics,CTT,
Math B,GEN ED,
MS Science Core,CTT,
Geometry,GEN ED,
-,GEN ED,
-,CTT,
-,SPEC ED,
Trigonometry,GEN ED,
-,G&T,
Other Science,SPEC ED,
-,GEN ED,
Integrated Algebra,CTT,
-,CTT,
Global History & Geography,SPEC ED,
-,GEN ED,
MS Math Core,SPEC ED,
English 11,GEN ED,
MS English Core,CTT,
Global History & Geography,CTT,
Global History & Geography,GEN ED,
-,GEN ED,
-,GEN ED,
Other Social Studies,SPEC ED,
Math A,GEN ED,
Integrated Algebra,GEN ED,
-,GEN ED,
Living Environment,CTT,
Other Social Studies,CTT,
Earth Science,SPEC ED,
Other English,SPEC ED,
US History & Government,CTT,
Math A,GEN ED,
Math B,CTT,
-,GEN ED,
Participation in Government,CTT,
-,GEN ED,
Other Social Studies,GEN ED,
MS English Core,GEN ED,
Geometry,SPEC ED,
Participation in Government,GEN ED,
-,G&T,
Physics,GEN ED,
English 10,GEN ED,
MS Science Core,GEN ED,
-,CTT,
Trigonometry,CTT,
Global History & Geography,CTT,
Integrated Algebra,CTT,
-,GEN ED,
Integrated Algebra,SPEC ED,
MS Social Studies Core,GEN ED,
MS Science Core,GEN ED,
Other Math,GEN ED,
English 9,GEN ED,
Math B,SPEC ED,
Geometry,GEN ED,
-,CTT,
-,G&T,
-,CTT,
-,G&T,
-,CTT,
Other Science,GEN ED,
Earth Science,GEN ED,
Global History & Geography,GEN ED,
Other Social Studies,SPEC ED,
-,CTT,
Geometry,CTT,
-,CTT,
-,CTT,
MS Social Studies Core,SPEC ED,
Math B,CTT,
-,G&T,
Trigonometry,CTT,
US History & Government,SPEC ED,
MS Science Core,SPEC ED,
Earth Science,CTT,
US History & Government,GEN ED,
Participation in Government,SPEC ED,
-,SPEC ED,
Living Environment,SPEC ED,
US History & Government,GEN ED,
Living Environment,GEN ED,
-,CTT,
-,G&T,
Other Math,CTT,
English 11,CTT,
MS Math Core,GEN ED,
Other English,CTT,
-,GEN ED,
Math A,GEN ED,
Earth Science,CTT,
Earth Science,CTT,
Living Environment,CTT,
