report_type,number_of_sections
Borough,525
Borough,327
Borough,2
Borough,29
Borough,768
Borough,16
Borough,7
Borough,80
Borough,148
Borough,11
Borough,714
Borough,274
Borough,95
Borough,2
Borough,5
Borough,263
Borough,288
Borough,720
Borough,376
Borough,12
Borough,63
Borough,823
Borough,33
Borough,120
Borough,9
Borough,597
Borough,10
Borough,686
Borough,17
Borough,34
Borough,50
Borough,66
Borough,136
Borough,118
Borough,108
Borough,267
Borough,11
Borough,39
Borough,304
Borough,35
Borough,39
Borough,1
Borough,5
Borough,1927
Borough,126
Borough,154
Borough,1563
Borough,22
Borough,245
Borough,674
Borough,64
Borough,1224
Borough,123
Borough,18
Borough,1
Borough,329
Borough,59
Borough,628
Borough,125
Borough,216
Borough,121
Borough,148
Borough,3
Borough,67
Borough,1
Borough,1404
Borough,652
Borough,29
Borough,9
Borough,72
Borough,39
Borough,17
Borough,3
Borough,1
Borough,127
Borough,12
Borough,42
Borough,357
Borough,1
Borough,737
Borough,17
Borough,132
Borough,644
Borough,19
Borough,10
Borough,124
Borough,128
Borough,1
Borough,278
Borough,1
Borough,992
Borough,2
Borough,69
Borough,60
Borough,12
Borough,276
Borough,2
Borough,335
Borough,51
Borough,5
Borough,11
Borough,2
Borough,396
Borough,7
Borough,21
Borough,5
Borough,271
Borough,14
Borough,16
Borough,288
Borough,4
Borough,557
Borough,120
Borough,815
Borough,1
Borough,21
Borough,65
Borough,783
Borough,5
Borough,69
Borough,89
Borough,306
Borough,198
Borough,638
Borough,33
Borough,5
Borough,26
Borough,784
Borough,552
Borough,15
Borough,166
Borough,111
Borough,27
Borough,7
Borough,69
Borough,35
Borough,44
Borough,6
Borough,47
Borough,1
Borough,253
Borough,47
Borough,576
Borough,84
Borough,187
Borough,1
Borough,349
Borough,40
Borough,3
Borough,617
Borough,603
Borough,61
Borough,19
Borough,260
Borough,3
Borough,256
Borough,92
Borough,564
Borough,1535
Borough,249
Borough,676
Borough,1
Borough,7
Borough,107
Borough,22
Borough,64
Borough,36
Borough,104
Borough,13
Borough,748
Borough,79
Borough,6
Borough,73
Borough,80
Borough,149
Borough,121
Borough,195
Borough,1
Borough,71
Borough,1
Borough,6
Borough,194
Borough,4
Borough,35
Borough,23
Borough,1
Borough,86
Borough,753
Borough,53
Borough,65
Borough,19
Borough,1
Borough,103
Borough,1572
Borough,134
Borough,251
Borough,13
Borough,140
Borough,3
Borough,6
