released,present
0,158
0,168
0,166
0,137
0,237
0,156
0,171
0,163
0,159
0,162
0,231
0,166
0,166
0,165
0,163
0,163
0,162
0,221
0,153
0,166
0,166
0,147
0,165
0,165
0,167
0,166
0,160
0,233
0,241
0,156
0,164
0,125
0,169
0,161
0,163
0,165
0,166
0,166
0,160
0,161
0,162
11,111
0,169
0,166
0,166
0,223
0,232
0,167
0,153
0,158
0,232
0,237
0,240
0,165
0,168
0,166
0,165
0,168
0,168
0,151
0,163
0,161
0,231
0,157
0,165
0,164
0,165
0,160
0,169
0,167
0,165
0,151
0,161
0,164
0,154
0,153
0,167
0,169
0,161
0,167
0,150
0,164
0,163
0,167
0,160
0,161
0,154
0,129
0,163
0,147
0,165
0,162
0,166
0,161
0,239
0,165
0,161
0,164
0,159
0,167
0,161
0,163
0,160
0,161
0,165
0,143
0,156
0,165
0,172
0,243
10,156
0,145
0,162
0,157
0,164
0,155
0,167
0,166
247,1
0,157
0,167
0,165
0,170
0,165
0,164
0,167
0,169
0,163
0,158
0,165
0,168
0,162
0,164
0,231
0,137
0,161
0,164
0,234
0,239
0,162
0,154
0,155
0,161
0,163
0,168
0,139
0,167
0,165
0,153
0,161
0,158
0,166
0,160
0,168
0,164
0,164
0,165
0,231
0,166
0,156
0,164
0,166
0,161
0,161
0,148
0,158
0,150
0,164
0,168
0,161
0,163
0,158
0,167
0,156
0,157
0,166
0,152
0,161
0,157
0,155
0,165
0,167
0,135
0,222
0,153
0,154
0,169
0,232
0,165
0,166
0,162
0,164
0,159
0,159
0,165
0,163
0,230
0,163
0,153
0,152
