bn,school_name,_2010_11_progress_report_grade,_2009_10_progress_report_grade,_2006_07_progress_report_grade
K116,P.S. 116 Elizabeth L Farrell,A,A,A
K649,La Cima Charter School,D,None,None
K045,P.S. 045 Horace E. Greene,B,A,A
K121,P.S. 121 Nelson A. Rockefeller,A,A,B
K021,P.S. 021 Crispus Attucks,A,A,B
K062,J.H.S. 062 Ditmas,B,A,B
K007,P.S. 007 Abraham Lincoln,A,B,D
X398,Bronx Community Charter School,C,None,None
X023,P.S. 023 The New Children's School,B,C,None
K049,J.H.S. 049 William J. Gaynor,None,None,None
K026,P.S. 026 Jesse Owens,A,C,A
K051,M.S. 51 William Alexander,A,A,B
K231,P.S. K231,B,C,None
K107,P.S. 107 John W. Kimball,B,A,A
K100,P.S. 100 The Coney Island School,C,B,B
X236,P.S. 236 Langston Hughes,C,B,None
X496,Icahn Charter School 4,A,None,None
X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,C,None,None
M094,P.S. M094,D,C,None
K023,P.S. 023 Carter G. Woodson,B,A,F
K058,P.S. 058 The Carroll,B,A,D
M185,P.S. 185 John M. Langston,C,C,None
K005,P.S. 005 Dr. Ronald Mcnair,C,B,F
K135,P.S. 135 Sheldon A. Brookner,B,B,C
K010,"Magnet School of Math, Science and Design Technolo",B,A,C
K626,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,B,None,None
Q307,Pioneer Academy,B,None,None
Q242,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,A,A,None
K013,P.S. 013 Roberto Clemente,C,C,B
Q009,P.S. 009,A,B,None
K072,P.S./I.S. 072 Annette P Goldman,None,None,C
K093,P.S. 093 William H. Prescott,B,C,A
M169,P.S. M169 - Robert F. Kennedy,B,D,None
K069,P.S. 69 Vincent D. Grippo School,A,A,B
Q023,P.S. Q023 @ Queens Children Center,B,B,None
K019,P.S. 019 Roberto Clemente,F,D,C
K036,P.S. 36,A,C,None
K038,P.S. 038 The Pacific,C,C,A
K652,Brooklyn Ascend Charter School,None,B,None
K034,P.S. 034 Oliver H. Perry,A,B,A
M811,P.S. M811 - Mickey Mantle School,C,F,None
R065,P.S. 65 The Academy of Innovative Learning,B,None,None
K119,P.S. 119 Amersfort,B,B,B
K006,P.S. 006,B,B,B
Q228,P.S. 228 Early Childhood Magnet School of the Arts,A,A,None
Q244,The Active Learning Elementary School,None,None,None
K249,P.S. 249 The Caton,A,A,None
K104,P.S./I.S. 104 The Fort Hamilton School,B,A,C
K009,P.S. 009 Teunis G. Bergen,C,C,B
M112,P.S. 112 Jose Celso Barbosa,A,B,None
K078,J.H.S. 078 Roy H. Mann,C,C,C
X382,"Elementary School for Math, Science, and Technolog",None,C,None
K782,Bedford Stuyvesant New Beginnings Charter School,None,None,None
K002,M.S. 002,B,B,B
X188,P.S. X188,D,C,None
K027,Agnes Y. Humphrey School for Leadership,None,None,C
K137,P.S./I.S. 137 Rachel Jean Mitchell,C,D,F
K059,P.S. 059 William Floyd,C,C,D
K106,P.S. 106 Edward Everett Hale,C,B,A
X017,P.S. X017,A,A,None
K025,P.S. 025 Eubie Blake School,C,C,B
M384,Harlem Success Academy 2 Charter School,A,None,None
X386,School for Environmental Citizenship,None,F,None
Q007,P.S. 007 Louis F. Simeone,B,B,None
X422,CARL C. ICAHN SOUTH BRONX CHARTER SCHOOL,None,A,None
X419,Bronx Academy of Promise Charter School,None,B,None
X333,P.S. 333 - The Museum School,None,C,None
