school_name,_2008_09_progress_report_grade,_2007_08_progress_report_grade
P.S. 092 Adrian Hegeman,A,B
P.S. 001 The Bergen,A,B
P.S. 114 Ryder Elementary,B,B
P.S. 90 Edna Cohen School,A,A
Bronx Global Learning Institute for Girls Charter,None,None
P.S. 127 Mckinley Park,B,B
P.S. 041 Francis White,A,C
P.S. Q222 - Fire Fighter Christopher A. Santora Sc,None,None
P.S. 056 Lewis H. Latimer,C,B
P.S. 086 The Irvington,A,A
I.S. 096 Seth Low,A,B
P.S. K771,None,None
RED HOOK NEIGHBORHOOD SCHOOL,None,None
I.S. 068 Isaac Bildersee,A,B
Harlem Success Academy 3 Charter School,None,None
P.S. 101 The Verrazano,A,A
P.S. K053,None,None
P.S. 031 Samuel F. Dupont,A,A
Learners and Leaders,None,None
I.S. 30 Mary White Ovington,A,A
P.S. 112 Lefferts Park,A,A
P.S. 123 Suydam,A,B
P.S. K369 - Coy L. Cox School,None,None
P.S. 017 Henry D. Woodworth,A,B
P.S. 036 Margaret Douglas,None,None
P.S. 97 The Highlawn,A,A
P.S. 089 Cypress Hills,A,A
P.S. 138,None,None
P.S. 054 Samuel C. Barnes,A,C
P.S. 022,A,B
URBAN SCHOLARS COMMUNITY SCHOOL,None,None
Explore Empower Charter School,None,None
P.S. 052 Sheepshead Bay,A,B
P.S. 099 Isaac Asimov,A,C
P.S. 130,None,None
J.H.S. 014 Shell Bank,A,B
P.S. 115 Daniel Mucatel School,A,A
M.S. 113 Ronald Edmonds Learning Center,A,B
P.S. 008 Robert Fulton,A,F
P.S. 147 Isaac Remsen,B,A
P.S. 102 The Bayview,A,A
P.S. 084 Jose De Diego,A,A
P.S. K140,None,None
P.S. 011 Purvis J. Behan,A,B
P.S. 209,None,None
P.S. 048 Mapleton,A,A
P.S. 015 Patrick F. Daly,A,A
P.S. 073 Thomas S. Boyland,B,D
P.S. 067 Charles A. Dorsey,A,D
P.S. 016 Leonard Dunkly,A,B
M.S. 035 Stephen Decatur,A,A
P.S. 207,None,None
P.S. 168,None,None
EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,None,None
P.S. 075 Mayda Cortiella,A,B
P.S. 046 Edward C. Blum,A,A
John Ericsson Middle School 126,B,D
P.S. 124 Silas B. Dutcher,A,A
P.S. 170,None,None
P.S. 138 Brooklyn,A,A
I.S. 98 Bay Academy,B,B
P.S. 110 The Monitor,A,A
P.S. 182 Samantha Smith,None,None
I.S. 055 Ocean Hill Brownsville,None,None
J.H.S. 050 John D. Wells,A,C
P.S. 081 Thaddeus Stevens,A,A
