maximum_class_size
21
21
21
16
19
16
20
20
25
22
28
<15
20
22
17
22
21
18
25
23
28
20
30
25
<15
30
18
21
25
16
21
24
20
26
24
22
28
20
<15
23
21
25
15
17
20
18
21
22
16
17
26
23
<15
20
25
29
22
19
<15
15
21
<15
17
<15
25
24
16
18
20
24
23
24
17
<15
15
<15
22
<15
25
16
25
<15
17
<15
28
28
17
22
24
15
28
16
17
22
23
19
<15
17
16
22
19
17
26
20
30
23
26
21
18
17
20
22
15
18
19
20
25
15
20
16
21
17
21
18
<15
25
24
29
22
20
22
26
16
16
<15
20
24
19
28
17
16
22
24
17
21
15
22
23
20
24
22
20
<15
90
29
26
17
19
28
<15
16
18
28
19
22
19
19
<15
23
<15
20
18
17
15
25
19
26
17
19
24
25
27
29
29
26
25
22
<15
21
28
17
16
17
21
20
26
<15
21
25
<15
