average_class_size
21.0
19.5
20.5
15.5
19.0
13.5
20.0
20.0
25.0
20.3
26.0
7.0
20.0
17.0
16.5
22.0
21.0
18.0
25.0
23.0
25.0
17.0
29.0
25.0
10.0
30.0
13.7
21.0
25.0
16.0
12.2
24.0
20.0
25.0
23.0
22.0
28.0
19.3
13.0
23.0
21.0
25.0
15.0
17.0
16.5
17.5
13.3
22.0
16.0
17.0
26.0
21.3
8.0
20.0
24.5
29.0
21.7
19.0
13.0
14.5
21.0
12.0
17.0
8.0
25.0
24.0
16.0
18.0
20.0
23.5
18.5
24.0
17.0
9.0
15.0
14.0
22.0
14.0
25.0
16.0
25.0
13.0
17.0
9.0
26.8
27.8
17.0
22.0
24.0
13.5
27.5
16.0
17.0
22.0
23.0
19.0
11.5
17.0
16.0
12.9
19.0
17.0
25.5
20.0
28.5
20.0
26.0
21.0
18.0
16.5
20.0
22.0
15.0
17.5
19.0
20.0
25.0
12.0
19.0
15.5
21.0
17.0
21.0
17.0
13.0
23.0
24.0
26.8
22.0
20.0
22.0
25.0
16.0
14.5
11.0
19.7
23.0
19.0
28.0
15.5
12.5
22.0
23.5
15.0
20.5
15.0
21.5
19.7
20.0
24.0
22.0
20.0
11.0
58.0
29.0
25.0
17.0
19.0
27.0
11.5
14.0
18.0
27.8
19.0
22.0
19.0
19.0
14.0
23.0
14.0
20.0
18.0
17.0
15.0
25.0
19.0
25.5
17.0
19.0
24.0
25.0
27.0
29.0
27.6
26.0
25.0
16.7
10.0
21.0
26.3
17.0
16.0
16.5
19.5
20.0
26.0
11.0
21.0
25.0
14.0
