program_type,number_of_students
ICT,21
ICT,39
Gen Ed,41
Gen Ed,31
Gen Ed,19
ICT,27
ICT,20
ICT,20
Gen Ed,25
ICT,61
G&T,52
G&T,7
ICT,20
ICT,51
Gen Ed,33
Gen Ed,22
Gen Ed,21
G&T,18
ICT,25
ICT,23
ICT,75
Gen Ed,34
ICT,87
ICT,25
ICT,20
ICT,30
ICT,41
ICT,21
ICT,25
Gen Ed,16
ICT,110
G&T,24
ICT,20
Gen Ed,50
Gen Ed,46
Gen Ed,22
Gen Ed,28
ICT,58
Gen Ed,13
ICT,23
ICT,21
G&T,100
Gen Ed,15
ICT,17
Gen Ed,33
Gen Ed,35
ICT,93
Gen Ed,22
Gen Ed,32
ICT,17
ICT,26
Gen Ed,64
G&T,8
ICT,20
ICT & G&T,49
Gen Ed,29
ICT,65
ICT,19
G&T,13
ICT,29
ICT,21
G&T,12
ICT,17
G&T,8
ICT,25
Gen Ed,24
ICT,16
ICT,18
ICT,20
ICT,47
Gen Ed,37
Gen Ed,24
ICT,17
Gen Ed,18
ICT,15
Gen Ed,14
ICT,22
ICT,28
ICT,25
Gen Ed,16
ICT,25
ICT,26
ICT,17
Gen Ed,9
ICT & G&T,107
ICT & G&T,111
ICT,17
Gen Ed,22
ICT,24
Gen Ed,27
ICT,55
ICT,16
ICT,17
ICT,22
Gen Ed,46
ICT,19
ICT,23
ICT,17
Gen Ed,16
ICT,90
Gen Ed,19
ICT,17
ICT,51
ICT,20
ICT,57
ICT,40
Gen Ed,26
ICT,21
Gen Ed,18
ICT,33
ICT,20
ICT,22
Gen Ed,15
Gen Ed,35
ICT,19
Gen Ed,20
ICT,25
ICT,36
ICT,38
Gen Ed,31
ICT,21
Gen Ed,17
Gen Ed,21
ICT,34
G&T,13
ICT,46
Gen Ed,48
ICT & G&T,107
ICT,22
Gen Ed,20
ICT,22
ICT,50
ICT,16
ICT,29
ICT,22
Gen Ed,59
Gen Ed,69
ICT,19
Gen Ed,28
ICT,31
Gen Ed,25
G&T,22
ICT,47
Gen Ed,30
ICT,41
ICT,15
ICT,43
Gen Ed,59
ICT,20
ICT,48
Gen Ed,22
ICT,20
G&T,11
ICT,116
ICT,29
ICT,75
ICT,17
ICT,57
ICT,54
ICT,23
Gen Ed,28
ICT,18
ICT & G&T,111
ICT,19
Gen Ed,22
Gen Ed,19
G&T,19
ICT,14
Gen Ed,23
ICT,14
G&T,20
Gen Ed,18
ICT,34
ICT,15
Gen Ed,25
Gen Ed,19
ICT,51
Gen Ed,17
ICT,19
Gen Ed,24
Gen Ed,25
ICT,27
Gen Ed,29
ICT,138
ICT,26
ICT,25
Gen Ed,50
Gen Ed,30
ICT,21
ICT,79
ICT,17
ICT,16
ICT,33
Gen Ed,39
ICT,20
ICT,26
ICT,22
ICT,21
ICT,25
ICT,14
