grade_level,minimum_class_size
K,21
7,18
1,20
1,15
4,19
2,<15
3,20
1,20
1,25
7,18
2,24
1,<15
4,20
6,<15
5,16
3,22
K,21
4,18
4,25
2,23
5,23
4,<15
7,28
5,25
1,<15
3,30
4,<15
5,21
4,25
5,16
6,<15
5,24
2,20
7,24
2,22
2,22
7,28
7,19
K,<15
2,23
4,21
K,25
3,15
1,17
K,<15
5,17
8,<15
K,22
K,16
4,17
1,26
K,19
3,<15
2,20
2,24
5,29
6,21
4,19
1,<15
3,<15
4,21
5,<15
3,17
2,<15
K,25
3,24
3,16
K,18
6,20
7,23
1,<15
5,24
2,17
4,<15
2,15
4,<15
K,22
6,<15
1,25
3,16
5,25
K,<15
K,17
1,<15
1,25
5,27
K,17
3,22
2,24
2,<15
8,27
K,16
4,17
1,22
8,23
K,19
K,<15
2,17
4,16
7,<15
4,19
5,17
6,25
K,20
6,27
8,17
6,26
5,21
2,18
5,16
2,20
4,22
1,15
2,17
4,19
7,20
3,25
5,<15
4,18
3,15
5,21
4,17
5,21
1,16
K,<15
7,21
1,24
4,22
8,22
3,20
K,22
8,24
K,16
K,<15
2,<15
K,19
6,21
1,19
8,28
4,<15
2,<15
K,22
8,23
3,<15
5,20
3,15
5,21
1,15
5,20
8,24
1,22
3,20
4,<15
7,26
4,29
6,24
3,17
8,19
4,26
3,<15
K,<15
4,18
3,27
1,19
3,22
3,19
2,19
1,<15
1,23
1,<15
3,20
K,18
2,17
K,15
4,25
5,19
3,25
5,17
1,19
2,24
3,25
3,27
4,29
6,27
1,26
2,25
2,<15
3,<15
1,21
8,25
7,17
K,16
5,16
4,18
3,20
5,26
K,<15
3,21
2,25
3,<15
