dfta_id,providertype,sponsorname
5M4,Case Management,"Community Agency for Senior Citizens, Inc."
3MA,Case Management,"Lenox Hill Neighborhood House, Inc."
4MF,Case Management,"Catholic Charities Neighborhood Services, Inc."
5M4,Case Management,"Community Agency for Senior Citizens, Inc."
3M8,Case Management,"New York Foundation for Senior Citizens, Inc."
5M4,Case Management,"Community Agency for Senior Citizens, Inc."
1K5,Caregiver Services,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
5M4,Case Management,"Community Agency for Senior Citizens, Inc."
5K1,Caregiver Services,"Jewish Community Center of Staten Island, Incorporated"
5K1,Caregiver Services,"Jewish Community Center of Staten Island, Incorporated"
4MF,Case Management,"Catholic Charities Neighborhood Services, Inc."
4MD,Case Management,"Queens Community House, Inc."
5M4,Case Management,"Community Agency for Senior Citizens, Inc."
3K4,Caregiver Services,"Hamilton-Madison House, Inc."
1K5,Caregiver Services,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
4MF,Case Management,"Catholic Charities Neighborhood Services, Inc."
4K3,Caregiver Services,"Services Now for Adult Persons, Inc."
4MF,Case Management,"Catholic Charities Neighborhood Services, Inc."
2MH,Case Management,"Catholic Charities Neighborhood Services, Inc."
3K3,Caregiver Services,"Lenox Hill Neighborhood House, Inc."
2MH,Case Management,"Catholic Charities Neighborhood Services, Inc."
3M8,Case Management,"New York Foundation for Senior Citizens, Inc."
3MA,Case Management,"Lenox Hill Neighborhood House, Inc."
3M8,Case Management,"New York Foundation for Senior Citizens, Inc."
2ME,Case Management,"Heights and Hills, Inc."
6K5,Caregiver Services,VISIONS/Services for the Blind and Visually Impaired
4K1,Caregiver Services,"Sunnyside Community Services, Inc."
4MD,Case Management,"Queens Community House, Inc."
6K3,Caregiver Services,"Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc."
3MA,Case Management,"Lenox Hill Neighborhood House, Inc."
4MF,Case Management,"Catholic Charities Neighborhood Services, Inc."
2ME,Case Management,"Heights and Hills, Inc."
5M4,Case Management,"Community Agency for Senior Citizens, Inc."
