agency_name,init_grp,fy2_amt,num_yrs_prsnt
Department of Social Services,Council Initiatives,250,5
Department of Social Services,Expenditure Increases/Re-estimates,-40,5
Fire Department,Expenditure Increases/Re-estimates,3496,5
Department of Youth and Community Development,Council Initiatives,2960,5
Department of Youth and Community Development,Expenditure Increases/Re-estimates,14800,5
Department of Youth and Community Development,Council Initiatives,250,5
Department of Correction,Citywide Savings Program,-2525,5
Department of Sanitation,Council Initiatives,5,5
Department of Correction,Council Initiatives,550,5
Department for the Aging,Council Initiatives,1506,5
Department of Health and Mental Hygiene,Council Initiatives,3000,5
Department of Social Services,Council Initiatives,5550,5
Police Department,Council Initiatives,85,5
Department of Youth and Community Development,Council Initiatives,145,5
Administration for Children's Services,Expenditure Increases/Re-estimates,500,5
Fire Department,Citywide Savings Program,-1686,5
Department of Social Services,Council Initiatives,300,5
Department of Homeless Services,Council Initiatives,1858,5
Department of Youth and Community Development,Council Initiatives,2100,5
Police Department,Council Initiatives,0,5
Department of Health and Mental Hygiene,Council Initiatives,350,5
Department of Youth and Community Development,Council Initiatives,120,5
Fire Department,Citywide Savings Program,-1686,5
Department of Youth and Community Development,Council Initiatives,285,5
Department for the Aging,Council Initiatives,1500,5
Department of Social Services,Expenditure Increases/Re-estimates,6,5
Department of Youth and Community Development,Expenditure Increases/Re-estimates,11900,5
Police Department,Expenditure Increases/Re-estimates,0,5
Department for the Aging,Expenditure Increases/Re-estimates,10000,5
Department of Social Services,Council Initiatives,0,5
Department of Social Services,Council Initiatives,559,5
Department of Youth and Community Development,Council Initiatives,850,5
Department of Health and Mental Hygiene,Council Initiatives,839,5
Fire Department,Council Initiatives,294,5
Fire Department,Expenditure Increases/Re-estimates,1478,5
Department of Social Services,Baseline Per April 2019 Plan,7920983,5
Department of Homeless Services,Expenditure Increases/Re-estimates,23,5
Police Department,Expenditure Increases/Re-estimates,2292,5
Department of Social Services,Expenditure Increases/Re-estimates,1000,5
Administration for Children's Services,Expenditure Increases/Re-estimates,2800,5
Department of Youth and Community Development,Council Initiatives,3373,5
Department of Sanitation,Expenditure Increases/Re-estimates,2539,5
Department for the Aging,Expenditure Increases/Re-estimates,2800,5
Department for the Aging,Council Initiatives,8636,5
Department of Youth and Community Development,Baseline Per April 2019 Plan,554371,5
Department for the Aging,Council Initiatives,5080,5
Department for the Aging,Expenditure Increases/Re-estimates,2840,5
Department of Health and Mental Hygiene,Citywide Savings Program,-20577,5
Department of Health and Mental Hygiene,Council Initiatives,7444,5
Department of Social Services,Expenditure Increases/Re-estimates,828,5
Department of Sanitation,Expenditure Increases/Re-estimates,0,5
Department of Sanitation,Council Initiatives,2524,5
Department of Youth and Community Development,Council Initiatives,1200,5
Department of Youth and Community Development,Expenditure Increases/Re-estimates,19700,5
Department for the Aging,Expenditure Increases/Re-estimates,45,5
Department of Youth and Community Development,Expenditure Increases/Re-estimates,69400,5
Police Department,Expenditure Increases/Re-estimates,6485,5
Department for the Aging,Expenditure Increases/Re-estimates,1772,5
Department of Health and Mental Hygiene,Council Initiatives,3400,5
Department for the Aging,Baseline Per April 2019 Plan,244570,5
Department of Sanitation,Expenditure Increases/Re-estimates,8600,5
Administration for Children's Services,Council Initiatives,295,5
Department of Social Services,Expenditure Increases/Re-estimates,11,5
Department of Sanitation,Citywide Savings Program,-1068,5
Department of Sanitation,Baseline Per April 2019 Plan,1740182,5
Department of Youth and Community Development,Council Initiatives,3482,5
Department of Youth and Community Development,Council Initiatives,6629,5
Department for the Aging,Council Initiatives,600,5
Police Department,Council Initiatives,73,5
Department of Youth and Community Development,Council Initiatives,860,5
Administration for Children's Services,Council Initiatives,600,5
Department for the Aging,Expenditure Increases/Re-estimates,1000,5
Department of Social Services,Council Initiatives,500,5
Department of Social Services,Expenditure Increases/Re-estimates,2000,5
Department of Social Services,Expenditure Increases/Re-estimates,937,5
Department of Health and Mental Hygiene,Council Initiatives,600,5
Department of Social Services,Expenditure Increases/Re-estimates,640,5
Department of Youth and Community Development,Council Initiatives,300,5
Department of Youth and Community Development,Council Initiatives,3700,5
Department of Health and Mental Hygiene,Council Initiatives,1175,5
Department of Youth and Community Development,Council Initiatives,850,5
Police Department,Council Initiatives,12,5
Department of Youth and Community Development,Council Initiatives,0,5
Department of Health and Mental Hygiene,Council Initiatives,75,5
Department of Health and Mental Hygiene,Council Initiatives,1131,5
Department of Correction,Expenditure Increases/Re-estimates,92,5
Department of Youth and Community Development,Council Initiatives,400,5
Department of Youth and Community Development,Council Initiatives,4069,5
Administration for Children's Services,Council Initiatives,54,5
Department of Sanitation,Expenditure Increases/Re-estimates,11779,5
Department of Social Services,Council Initiatives,3205,5
Department of Correction,Expenditure Increases/Re-estimates,92,5
Fire Department,Expenditure Increases/Re-estimates,1000,5
Department of Correction,Council Initiatives,550,5
Police Department,Expenditure Increases/Re-estimates,0,5
Fire Department,Baseline Per April 2019 Plan,1819717,5
Department of Social Services,Expenditure Increases/Re-estimates,5,5
Department of Youth and Community Development,Council Initiatives,174,5
Department of Health and Mental Hygiene,Council Initiatives,245,5
Department of Social Services,Expenditure Increases/Re-estimates,5,5
Department of Youth and Community Development,Council Initiatives,1259,5
Department of Youth and Community Development,Council Initiatives,106927,5
Department of Correction,Baseline Per April 2019 Plan,1350995,5
Department of Sanitation,Citywide Savings Program,864,5
Department of Social Services,Expenditure Increases/Re-estimates,2000,5
Department of Social Services,Council Initiatives,37891,5
Department of Health and Mental Hygiene,Council Initiatives,1924,5
Department for the Aging,Citywide Savings Program,-44,5
Fire Department,Expenditure Increases/Re-estimates,0,5
Department of Homeless Services,Expenditure Increases/Re-estimates,23,5
Department of Social Services,Council Initiatives,725,5
Department of Correction,Expenditure Increases/Re-estimates,4915,5
Department of Youth and Community Development,Expenditure Increases/Re-estimates,15000,5
Department of Youth and Community Development,Council Initiatives,10632,5
Department of Youth and Community Development,Council Initiatives,2052,5
Department of Sanitation,Council Initiatives,2683,5
Department of Youth and Community Development,Council Initiatives,610,5
Police Department,Expenditure Increases/Re-estimates,864,5
Department of Youth and Community Development,Citywide Savings Program,-66,5
Department of Youth and Community Development,Council Initiatives,1050,5
Department for the Aging,Council Initiatives,335,5
Department of Health and Mental Hygiene,Council Initiatives,649,5
Department of Correction,Citywide Savings Program,-2525,5
Administration for Children's Services,Expenditure Increases/Re-estimates,10000,5
Department of Health and Mental Hygiene,Council Initiatives,51444,5
Department of Health and Mental Hygiene,Council Initiatives,251,5
Department for the Aging,Council Initiatives,37645,5
Fire Department,Expenditure Increases/Re-estimates,0,5
Fire Department,Expenditure Increases/Re-estimates,669,5
Department of Health and Mental Hygiene,Council Initiatives,378,5
Department for the Aging,Council Initiatives,1000,5
Department of Sanitation,Citywide Savings Program,1695,5
Department for the Aging,Citywide Savings Program,-44,5
Department of Youth and Community Development,Expenditure Increases/Re-estimates,8000,5
Department of Health and Mental Hygiene,Expenditure Increases/Re-estimates,2267,5
Department of Youth and Community Development,Citywide Savings Program,-66,5
Department of Homeless Services,Council Initiatives,77,5
Police Department,Baseline Per April 2019 Plan,5245790,5
Department of Social Services,Council Initiatives,16600,5
Department of Social Services,Council Initiatives,2576,5
Department of Youth and Community Development,Council Initiatives,3675,5
Fire Department,Council Initiatives,364,5
Department for the Aging,Expenditure Increases/Re-estimates,18457,5
Department of Social Services,Citywide Savings Program,-481,5
Department of Sanitation,Council Initiatives,154,5
Department of Social Services,Expenditure Increases/Re-estimates,7392,5
Department for the Aging,Council Initiatives,408,5
Department of Youth and Community Development,Council Initiatives,23787,5
Department of Sanitation,Citywide Savings Program,1899,5
Fire Department,Expenditure Increases/Re-estimates,349,5
Department of Social Services,Citywide Savings Program,-481,5
Administration for Children's Services,Baseline Per April 2019 Plan,878238,5
Department of Youth and Community Development,Council Initiatives,500,5
Department of Youth and Community Development,Council Initiatives,250,5
