pub_date,init_desc,init_sav_grp_nm,fiscal_year,fy1_amt
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,32462
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,People and Space: Staffing,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,-7
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,-7
20190619,,,2019,0
20190619,,,2019,0
20190619,,People and Space: Staffing,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,3
20190619,,,2019,0
20190619,,,2019,10000
20190619,,,2019,0
20190619,,,2019,-13
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,7728803
20190619,,,2019,12
20190619,,,2019,-2292
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,-2539
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,632468
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,-425
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,45
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,270066
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,People and Space: Staffing,2019,0
20190619,,,2019,1749334
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,917
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,53
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,-2964
20190619,,,2019,0
20190619,,,2019,53
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,1508
20190619,,,2019,1822343
20190619,,,2019,3
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,3
20190619,,,2019,0
20190619,,,2019,917
20190619,,,2019,1367603
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,-13
20190619,,,2019,0
20190619,,People and Space: Staffing,2019,0
20190619,,,2019,275
20190619,,,2019,12
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,392
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,7
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,31421
20190619,,,2019,-669
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,34176
20190619,,People and Space: Staffing,2019,0
20190619,,,2019,0
20190619,,,2019,5311555
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,45
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,9
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,155
20190619,,People and Space: Staffing,2019,0
20190619,,,2019,1069376
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,1280
20200116,,,2020,5298816
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20200116,,,2020,-35800
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,825747
20190619,,,2019,1338543
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,9608
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
20190619,,,2019,0
