init_sav_type,agency_cd
,69
,69
,57
,260
,260
,260
Efficiency,72
,827
,72
,125
,816
,69
,56
,260
,68
,57
,69
,71
,260
,56
,816
,260
Efficiency,57
,260
,125
,69
,260
,56
,125
,69
,69
,260
,816
,57
,57
,69
,71
,56
,69
,68
,260
,827
,125
,125
,260
,125
,125
,816
,816
,69
,827
,827
,260
,260
,125
,260
,56
,125
,816
,125
,827
,68
,69
Efficiency,827
,827
,260
,260
,125
,56
,260
,68
,125
,69
,69
,69
,816
,69
,260
,260
,816
,260
,56
,260
,816
,816
,72
,260
,260
,68
,827
,69
,72
,57
,72
,56
,57
,69
,260
,816
,69
,260
,260
,72
Service Reduction,827
,69
,69
,816
Efficiency,125
,57
,71
,69
,72
,260
,260
,260
,827
,260
,56
,260
,260
,125
,816
,72
,68
,816
,816
,125
,57
,57
,816
,125
,827
,125
,260
,816
Efficiency,260
,71
,56
,69
,69
,260
,57
,125
,69
,827
,69
,125
,260
Service Reduction,827
,57
Efficiency,69
,68
,260
,260
,69
,816
,72
,68
,125
,57
,56
,68
,827
,260
,816
,68
,816
,816
,260
,69
,56
,260
,816
,260
,71
,125
,125
,816
,71
,125
,68
,125
,56
,69
,125
,260
,125
,125
,816
,69
,57
,816
,69
,260
,68
,260
,71
,260
,816
,816
