franchisee,actual_fee_revenue_collected_in_fy2015,doc_agency_code,franchise_type_specific_category,start_date,registration_value_for_fy_2015_transactions,solicitation_award_method,registration_date_or_date_sent_to_comptroller_for_registration
LIGHTOWER FIBER LONG ISLAND (fka KEYSPAN COMMUNICATIONS CORP. ,497241.0,858.0,Hi-CAP,7/22/2002,,"Change of Control to Lightower Fiber Long Island, LLC (no amendment to franchise agreement)",9/27/02
"CRESCENT STAR COMM., INC.",29581.0,858.0,Public Pay Telephone,10/16/1999,,RFP (CSP),11/16/99
PSE&G for LIPA,,,Historic Gas and Electric Franchises,3/9/1905,,Board of Estimate,NOT REGISTERED
PRIVATE TRANSPORTATION CORP.,27108.0,841.0,Bus Service,7/1/2011,,RFP,7/19/11
LIBERTY LINES TRANSIT,17840.0,,Bus Service,5/6/1905,,Board of Estimate,NOT REGISTERED
"TIME WARNER ENTERTAINMENT COMPANY, L.P.-Brooklyn(Western Brooklyn Franchise)",6211804.0,858.0,Cable Television,11/30/2011,,CSP/Renewal,10/20/11
"QWEST COMMUNICATIONS CORP, INC.",326455.0,858.0,Hi-CAP,8/6/2002,,CSP-Amendment of Franchise Agreement,10/4/02
TELEBEAM TELECOMMUNICATIONS CORPORATION,2943606.0,858.0,Public Pay Telephone,10/16/1999,,RFP (CSP),12/2/99
"ZENFI NETWORKS, INC.",0.0,858.0,Hi-CAP,8/10/2014,"$816,250.00",CSP,7/31/14
NORTHEASTERN TELEPHPHONE,109942.0,858.0,Public Pay Telephone,10/16/1999,,RFP (CSP),12/2/99
OPTICAL COMMUNCIATIONS ,300000.0,858.0,Hi-CAP,2/9/2006,,Proposal in ressponse to DoITT Solicitation,3/15/06
"CITYBRIDGE, LLC",3141058.0,858.0,Public Communications Structures (Wi-Fi),3/20/2015,"$543,129,000",RFP (CSP),3/10/15
TRANSIT WIRELESS,221296.0,858.0,Mobile,6/8/2012,,CSP,6/7/12
"TIME WARNER ENTERTAINMENT COMPANY. L.P.- QUEENS (Queens Inner Unity Cable - QUICS Franchise, Eastern Queens, and Western Queens)",16415978.0,858.0,Cable Television,11/30/2011,,CSP/Renewal,10/20/11
"RCN TELECOM SERVICES OF NEW YORK, LP",702131.0,858.0,Hi-CAP,1/5/1999,,CSP,3/17/99
XCHANGE TELECOM CORPORATION,59456.0,858.0,Mobile,4/2/2012,,CSP,3/23/12
EXTENET SYSTEMS INC. f/k/a CLEARNIX NETWORK CORPORATION,125663.0,858.0,Mobile,11/15/2004,,CSP,12/2/04
PORT AUTHORITY OF NY & NJ,140963.0,,Railroad,2/14/1907,,Board of Estimate,NOT REGISTERED
"NYC PAYPHONES, LLC fka PAYCO LLC(f/k/a METRO TELECOMM)  ",106720.0,858.0,Public Pay Telephone,10/16/1999,,RFP (CSP),8/7/00
"EAST HARLEM UNITY COMMUNICATIONS, INC.",42636.0,858.0,Public Pay Telephone,10/16/1999,,RFP (CSP),8/11/00
