borough,supervision_caseload_type,month,year,supervision_caseload_count
Citywide,NeON Neighborhood Opportunity Network,August,2022,2203
Citywide,Community Progression,August,2023,1189
Citywide,Client Development,February,2024,3237
Citywide,Special Program,August,2022,164
Citywide,ACE Anyone Can Excel,December,2016,1527
Citywide,NeON Neighborhood Opportunity Network,September,2022,2182
Citywide,Community Progression,September,2016,11891
Citywide,Special Program,January,2024,114
Citywide,Client Development,January,2017,3040
Citywide,Special Program,September,2022,159
Citywide,ACE Anyone Can Excel,September,2016,1137
Citywide,Client Development,December,2016,3138
Citywide,NeON Neighborhood Opportunity Network,August,2023,2239
Citywide,Client Development,May,2023,3081
Citywide,Central Interstate Unit,April,2024,528
Citywide,NeON Neighborhood Opportunity Network,October,2023,2314
Citywide,Client Development,November,2022,3149
Citywide,Central Interstate Unit,August,2023,563
Citywide,Special Program,May,2024,84
Citywide,NeON Neighborhood Opportunity Network,June,2023,2287
Citywide,Community Progression,October,2022,1462
Citywide,ACE Anyone Can Excel,November,2016,1421
Citywide,ACE Anyone Can Excel,August,2023,1164
Citywide,Client Development,November,2016,3089
Citywide,Central Interstate Unit,February,2024,516
Citywide,Client Development,July,2023,3117
Citywide,ACE Anyone Can Excel,July,2023,1102
Citywide,Community Progression,April,2024,929
Citywide,Intensive Engagement,August,2022,1257
Citywide,ACE Anyone Can Excel,February,2023,1174
Citywide,NeON Neighborhood Opportunity Network,November,2023,2320
Citywide,Special Program,March,2023,161
Citywide,Central Interstate Unit,October,2023,529
Citywide,Special Program,December,2022,158
Citywide,ACE Anyone Can Excel,August,2023,1164
Citywide,Community Progression,January,2024,1050
Citywide,Central Interstate Unit,March,2024,528
Citywide,Special Program,November,2022,154
Citywide,NeON Neighborhood Opportunity Network,December,2022,2208
Citywide,ACE Anyone Can Excel,January,2024,1018
Citywide,Community Progression,March,2023,1328
Citywide,Central Interstate Unit,November,2023,570
Citywide,Special Program,June,2023,143
Citywide,Special Program,December,2023,146
Citywide,NeON Neighborhood Opportunity Network,March,2024,2401
Citywide,Central Interstate Unit,July,2023,507
Citywide,ACE Anyone Can Excel,November,2022,1184
Citywide,ACE Anyone Can Excel,January,2017,1590
Citywide,ACE Anyone Can Excel,September,2022,1297
Citywide,Intensive Engagement,November,2016,1586
Citywide,Central Interstate Unit,June,2023,500
Citywide,Client Development,August,2023,3152
Citywide,ACE Anyone Can Excel,August,2022,1319
Citywide,Special Program,August,2023,156
Citywide,Central Interstate Unit,November,2022,518
Citywide,Central Interstate Unit,January,2017,822
