org_target_cap,organization_name
360.0,HAMILTON GRANGE MIDDLE SCHOOL
104.0,P.S. 241 - M
,WILLIAM F RYAN
642.0,RENNAISSANCE CHARTER HS - M
616.0,HUNTER SCIENCE HS - M
340.0,P.S. 178 - M
561.0,P.S. 108 - M
504.0,P.S. 163 - M
298.0,P.S. 363 - M
656.0,P.S. 36 - X
,INSTITUTE FOR FAMILY HEALTH
,COMMUNITY BASED ORGANIZATION - M
422.0,M.S./H.S. 250 - X
543.0,I.S. 328 - M
,WILLIAM F RYAN
,LYFE PROGRAM
515.0,MANHATTAN BUSINESS ACADEMY
172.0,THE FAMILY SCHOOL - X
112.0,NY CENTER FOR AUTISM CHARTER - M
,NYC H+H - RENAISSANCE
428.0,P.S. 198 - M
373.0,DOS PUENTES ELEMENTARY SCHOOL
838.0,P.S. 49 - X
72.0,M811 SPED - M
819.0,I.S. 339 - X
195.0,P.S. 77 - M
539.0,P.S. 75 - M
,SCHOOL SAFETY - M
819.0,WEST END SECONDARY SCHOOL - M
346.0,DEMOCRACY PREP 3
,COMMUNITY BASED ORGANIZATION - M
,SCHOOL SAFETY - M
260.0,I.S. 223 - M
529.0,THE HIGH SCHOOL FOR CLIMATE JUSTICE
,MONTEFIORE MEDICAL CENTER
317.0,P.S. 133 - M
,SCHOOL SAFETY - X
,CONTINUING EDUCATION PROGRAM - M
,NYC H+H - BELLEVUE
,COMMUNITY BASED ORGANIZATION - X
465.0,P.S. 130 - X
391.0,MANHATTAN CHARTER SCHOOL II
117.0,X017 SPED - X
,MONTEFIORE MEDICAL CENTER
417.0,P.S. 89 - M
,UFT - M
641.0,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX - X
,NYC H+H - RENAISSANCE
305.0,YOUNG LEADERS ELEM - X
366.0,LOWER MANHATTAN ARTS - M
,RESTART - CITYWIDE
361.0,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 5
534.0,I.S. 390 - X
632.0,P.S. 4 - X
,CHILDRENS AID - M
856.0,P.S. 130 - M
,INSTITUTE FOR FAMILY HEALTH
371.0,P.S. 83 - M
,BELLEVUE HOSPITAL
871.0,I.S. 372 - M
381.0,P.S. 34 - M
,THE CHILDREN'S AID SOCIETY HEAD START
84.0,M138 SPED - M
,UFT - X
,FOOD SERVICES - M
