data_as_of,bldg_name
2023-01-04T00:00:00.000,P.S. 192 - M
2023-01-04T00:00:00.000,P.S. 241 - M
2023-01-04T00:00:00.000,EDWARD A. REYNOLDS WEST SIDE HS - M
2023-01-04T00:00:00.000,I.S. 99 - M
2023-01-04T00:00:00.000,"MARTIN LUTHER KING, JR. HS - M"
2023-01-04T00:00:00.000,P.S. 178 - M
2023-01-04T00:00:00.000,P.S. 108 - M
2023-01-04T00:00:00.000,P.S. 163 - M
2023-01-04T00:00:00.000,P.S. 63 - M
2023-01-04T00:00:00.000,P.S. 36 - X
2023-01-04T00:00:00.000,MURRY BERGTRAUM HS (ECF) - M
2023-01-04T00:00:00.000,I.S. 10 (TANDEM M200) - M
2023-01-04T00:00:00.000,MORRISANIA SEC ED COMPLEX - X
2023-01-04T00:00:00.000,I.S. 164 - M
2023-01-04T00:00:00.000,I.S. 54 - M
2023-01-04T00:00:00.000,HS FOR ENVIRONMENTAL STUDIES - M
2023-01-04T00:00:00.000,BAYARD RUSTIN EDUCATIONAL COMPLEX - M
2023-01-04T00:00:00.000,P.S. 90 MINISCHOOL - X
2023-01-04T00:00:00.000,P.S. 50 (UDC) - M
2023-01-04T00:00:00.000,P.S. 200 (TANDEM M010) - M
2023-01-04T00:00:00.000,P.S. 198 - M
2023-01-04T00:00:00.000,P.S. 132 - M
2023-01-04T00:00:00.000,P.S. 49 - X
2023-01-04T00:00:00.000,I.S. 10 (TANDEM M200) - M
2023-01-04T00:00:00.000,I.S. 339 (OLD 147) - X
2023-01-04T00:00:00.000,P.S. 198 - M
2023-01-04T00:00:00.000,P.S. 75 - M
2023-01-04T00:00:00.000,HS FOR ENVIRONMENTAL STUDIES - M
2023-01-04T00:00:00.000,WEST END SECONDARY SCHOOL - M
2023-01-04T00:00:00.000,P.S. 154 - M
2023-01-04T00:00:00.000,P.S. 98 - M
2023-01-04T00:00:00.000,FASHION INDUSTRIES VOC HS - M
2023-01-04T00:00:00.000,I.S. 223 (MOTT HALL) - M
2023-01-04T00:00:00.000,OLD MANHATTAN VOC/TECH HS - M
2023-01-04T00:00:00.000,HERBERT H. LEHMAN HS - X
2023-01-04T00:00:00.000,P.S. 133 - M
2023-01-04T00:00:00.000,SAMUEL GOMPERS VOC HS - X
2023-01-04T00:00:00.000,P.S. 51 ELIAS HOWE - M
2023-01-04T00:00:00.000,NORMAN THOMAS HS (ECF) - M
2023-01-04T00:00:00.000,I.S. 232 - X
2023-01-04T00:00:00.000,P.S. 130 - X
2023-01-04T00:00:00.000,J.H.S. 56 - M
2023-01-04T00:00:00.000,P.S. 161 - X
2023-01-04T00:00:00.000,I.S. 145 - X
2023-01-04T00:00:00.000,P.S./I.S. 89 - M
2023-01-04T00:00:00.000,P.S. 153 - M
2023-01-04T00:00:00.000,I.S. 117 - X
2023-01-04T00:00:00.000,I.S. 10 (TANDEM M200) - M
2023-01-04T00:00:00.000,P.S. 220 - X
2023-01-04T00:00:00.000,SEWARD PARK HS - M
2023-01-04T00:00:00.000,HS FOR ENVIRONMENTAL STUDIES - M
2023-01-04T00:00:00.000,P.S. 175 - M
2023-01-04T00:00:00.000,P.S. 396 - X
2023-01-04T00:00:00.000,P.S. 4 - X
2023-01-04T00:00:00.000,P.S. 50 (UDC) - M
2023-01-04T00:00:00.000,P.S. 130 - M
2023-01-04T00:00:00.000,WASHINGTON IRVING HS - M
2023-01-04T00:00:00.000,P.S. 83 - M
2023-01-04T00:00:00.000,P.S. 51 ELIAS HOWE - M
2023-01-04T00:00:00.000,J.H.S. 117 - M
2023-01-04T00:00:00.000,P.S. 34 - M
2023-01-04T00:00:00.000,P.S. 5 - M
2023-01-04T00:00:00.000,I.S. 90 - M
2023-01-04T00:00:00.000,I.S. 125 - X
2023-01-04T00:00:00.000,I.S. 10 (TANDEM M200) - M
2023-01-04T00:00:00.000,I.S. 232 - X
2023-01-04T00:00:00.000,LOUIS D. BRANDEIS HS - M
2023-01-04T00:00:00.000,P.S. 125 - M
2023-01-04T00:00:00.000,TEACHER'S COLLEGE COMMUNITY SCHOOL ANNEX - M
2023-01-04T00:00:00.000,P.S. 15 - X
2023-01-04T00:00:00.000,I.S. 131 - X
2023-01-04T00:00:00.000,P.S. 161 - X
2023-01-04T00:00:00.000,P.S. 241 - M
2023-01-04T00:00:00.000,P.S. 28 - M
2023-01-04T00:00:00.000,I.S. 70 - M
2023-01-04T00:00:00.000,P.S. 43 - X
2023-01-04T00:00:00.000,I.S. 131 - X
2023-01-04T00:00:00.000,NORMAN THOMAS HS (ECF) - M
2023-01-04T00:00:00.000,PARK WEST HS (ECF) - M
2023-01-04T00:00:00.000,P.S. 63 - M
2023-01-04T00:00:00.000,WASHINGTON IRVING HS - M
2023-01-04T00:00:00.000,P.S. 20 - M
2023-01-04T00:00:00.000,HS OF GRAPHIC COMMUNICATION ARTS - M
2023-01-04T00:00:00.000,I.S. 45 - M
2023-01-04T00:00:00.000,P.S. 46 - X
2023-01-04T00:00:00.000,P.S. 140 - M
2023-01-04T00:00:00.000,HERBERT H. LEHMAN HS - X
2023-01-04T00:00:00.000,P.S. 116 - M
2023-01-04T00:00:00.000,P.S. 129 - M
2023-01-04T00:00:00.000,ARTHUR SCHOMBURG HS (IS 201) - M
2023-01-04T00:00:00.000,WASHINGTON IRVING HS - M
2023-01-04T00:00:00.000,DOE NEW SETTLEMENT COMMUNITY CAMPUS - X
2023-01-04T00:00:00.000,P.S. 170 (ECC) - X
2023-01-04T00:00:00.000,I.S. 90 - M
2023-01-04T00:00:00.000,G. WASHINGTON HS EDUC. CAMPUS - M
2023-01-04T00:00:00.000,THE RIVERSIDE SCHOOL - M
2023-01-04T00:00:00.000,WILLIAM H. TAFT HS - X
2023-01-04T00:00:00.000,HS FOR ENVIRONMENTAL STUDIES - M
2023-01-04T00:00:00.000,I.S. 201 - X
