no_of_cluster_spec_rms_reported,org_id
0.0,M209
1.0,M241
,MSBH
4.0,M433
3.0,M541
1.0,M178
2.0,M108
2.0,M163
2.0,M363
4.0,X036
,MSBH
,MCBO
1.0,X250
3.0,M328
,MSBH
,M984
2.0,M392
,X443
,M337
,MSBH
5.0,M198
5.0,M103
6.0,X049
,M811
4.0,X339
1.0,M077
4.0,M075
,MSST
10.0,M291
,M065
,MCBO
,MSST
1.0,M223
9.0,M655
,XSBH
2.0,M133
,XSST
,MCEP
,MSBH
,XCBO
2.0,X130
0.0,M080
,X017
,XSBH
4.0,M089
,MUFT
5.0,X568
,MSBH
2.0,X369
4.0,M308
,M973
4.0,M482
4.0,X390
4.0,X004
,MCBO
3.0,M130
,MSBH
1.0,M083
,MSBH
5.0,M372
3.0,M034
,MAZQ
,M138
,XUFT
,MSFS
5.0,X365
,MSBH
4.0,M362
,M517
2.0,X015
1.0,X448
5.0,X161
0.0,M279
,MSBH
,MSST
,X017
5.0,X131
2.0,M500
0.0,M303
,MCBO
,MSFS
5.0,M020
,MSST
,MCBO
,X469
,MCBO
,XSST
5.0,M116
,MCBO
4.0,M341
15.0,M374
,X010
0.0,X170
3.0,M068
,MCBO
,MCBO
3.0,X329
13.0,M400
4.0,X345
8.0,M167
,MADM
,MSST
3.0,M092
,MCBO
6.0,M152
2.0,M005
7.0,X527
,M721
,M811
,X109
2.0,X260
,MCBO
10.0,M542
10.0,M425
3.0,M432
,MSBH
,XCBO
,MCBO
4.0,M149
,MCBO
,X704
2.0,M234
3.0,X525
1.0,X313
4.0,M338
3.0,X045
,MCEP
5.0,X072
2.0,M038
3.0,X003
0.0,M033
4.0,X494
6.0,M206
0.0,X985
5.0,M157
5.0,M294
2.0,M175
,MCBO
6.0,M316
8.0,X371
7.0,M084
4.0,X046
1.0,X291
,M645
0.0,X993
,MSBH
6.0,M185
3.0,X379
,MCBO
1.0,M064
,MSST
0.0,M331
1.0,M544
5.0,M650
,XCBO
4.0,X043
,XSBH
,X362
4.0,M330
1.0,M861
4.0,M964
1.0,X327
4.0,M009
3.0,M305
6.0,M369
,MSST
7.0,M489
,M226
0.0,M168
,MCBO
0.0,M430
3.0,M267
,M138
3.0,M059
3.0,M225
5.0,M414
4.0,M192
1.0,M318
,MADM
,M984
,M551
,Q950
4.0,M527
7.0,M696
,X188
,MSST
,M351
2.0,M531
0.0,M250
,M973
3.0,X037
,MSST
,MSBH
,MCBO
2.0,M132
,MSBH
3.0,M188
1.0,M155
7.0,M529
,M351
