prek_cap,org_target_util,geo_dist
0.0,89.0,6
35.0,110.0,3
,,3
0.0,65.0,4
0.0,71.0,3
0.0,75.0,6
81.0,68.0,4
36.0,82.0,3
34.0,83.0,1
47.0,107.0,8
,,2
,,5
0.0,87.0,9
0.0,27.0,6
,,3
,,2
0.0,78.0,2
,87.0,9
0.0,0.0,4
,,5
51.0,97.0,2
0.0,108.0,6
90.0,67.0,7
,43.0,5
0.0,26.0,9
0.0,177.0,2
0.0,80.0,3
,,2
0.0,88.0,3
,75.0,5
,,6
,,2
0.0,95.0,5
0.0,63.0,2
,,8
72.0,63.0,5
,,7
,,2
,,2
,,9
54.0,67.0,8
0.0,28.0,1
,101.0,7
,,9
31.0,83.0,2
,,6
0.0,84.0,9
,,5
35.0,75.0,7
0.0,92.0,2
,,2
0.0,138.0,5
0.0,88.0,10
72.0,36.0,9
,,4
36.0,75.0,2
,,2
36.0,90.0,4
,,2
0.0,53.0,4
36.0,68.0,1
,,6
,82.0,6
,,8
,,5
0.0,69.0,9
,,3
0.0,93.0,5
,79.0,5
0.0,120.0,10
0.0,96.0,8
83.0,51.0,7
0.0,76.0,3
,,6
,,2
,74.0,7
0.0,66.0,8
0.0,81.0,2
0.0,68.0,2
,,1
,,2
54.0,51.0,1
,,2
,,4
,119.0,10
,,1
,,8
48.0,62.0,2
,,5
0.0,112.0,5
0.0,77.0,2
,88.0,9
0.0,114.0,9
0.0,129.0,6
,,6
,,3
0.0,76.0,9
0.0,98.0,2
0.0,137.0,8
0.0,72.0,2
,,1
,,6
36.0,69.0,5
,,3
108.0,77.0,6
102.0,93.0,6
0.0,96.0,7
,59.0,2
,98.0,3
,24.0,9
0.0,92.0,9
,,2
0.0,66.0,2
0.0,37.0,2
0.0,40.0,2
,,1
,,10
,,2
52.0,81.0,3
,,4
,108.0,7
0.0,92.0,2
0.0,61.0,9
0.0,54.0,9
0.0,68.0,6
0.0,46.0,10
,,2
72.0,81.0,8
50.0,55.0,4
34.0,76.0,10
36.0,94.0,2
0.0,148.0,9
0.0,69.0,4
0.0,,9
0.0,50.0,5
0.0,75.0,2
72.0,87.0,5
,,6
0.0,22.0,2
0.0,75.0,8
90.0,84.0,3
0.0,69.0,10
0.0,102.0,10
,9.0,5
0.0,0.0,8
,,2
78.0,57.0,3
0.0,64.0,7
,,3
36.0,66.0,1
,,3
0.0,68.0,4
0.0,84.0,2
0.0,38.0,1
,,8
81.0,74.0,7
,,10
,70.0,8
16.0,121.0,1
0.0,94.0,3
36.0,66.0,4
0.0,114.0,9
16.0,92.0,3
0.0,77.0,2
0.0,47.0,5
,,4
0.0,88.0,2
,0.0,2
36.0,121.0,4
,,2
0.0,,6
0.0,115.0,2
,62.0,2
0.0,107.0,2
18.0,118.0,2
0.0,88.0,2
36.0,65.0,6
0.0,114.0,5
,,5
,,1
,,2
,33.0,5
0.0,124.0,2
0.0,73.0,1
,93.0,7
,,5
,109.0,3
0.0,97.0,2
0.0,61.0,3
,,6
0.0,97.0,10
,,5
,,4
,,1
0.0,60.0,6
,,4
18.0,75.0,1
35.0,59.0,4
0.0,39.0,2
,39.0,3
