incl_class,bldg_id
,M192
,M113
,M506
,M099
,M490
,M178
,M108
,M163
,M063
,X036
,M520
,M010
,X002
,M164
,M054
,M834
,M440
,X890
,M050
,M200
,M198
,M132
,X049
*,M010
,X147
,M198
,M075
,M834
,M837
,M154
,M098
,M600
,M223
,M645
,X405
,M133
,X655
,M338
,M620
,X082
,X130
,M056
,X161
,X145
,M089
,M153
,X117
,M010
,X040
,M445
,M834
,M175
,X026
,X004
,M050
,M130
,M460
,M083
,M338
,M117
,M034
,M005
*,M090
,X125
,M010
,X082
,M470
,M125
,M484
,X015
,X131
,X161
,M113
,M028
,M070
*,X043
,X131
,M620
,M535
,M063
,M460
,M020
,M625
,M045
,X046
,M140
,X405
,M116
,M129
,M501
,M460
*,X240
,X170
,M090
,M465
,M342
,X410
,M834
,X074
,M167
,M510
,M052
,M092
,M149
,M152
,M005
,X790
,M047
*,M149
,X899
,X002
,M198
,M535
,M894
,M620
,M140
,X045
,M130
,M207
,M206
,X151
,M234
,X876
,X147
,M164
,X045
,M002
,X072
,M121
,X003
,M033
,X055
,M206
,X145
,M501
,M445
,M175
,M164
,M282
,X192
,M084
,X046
,X015
,M079
,X650
,M480
,M185
,X184
,M470
,M064
,M470
,M646
,M834
,M510
,X125
,X043
,X045
,X107
,M060
,M144
,M050
,X240
,M009
,M445
,M043
,M099
,M833
#,M660
,M013
,M486
,MBTN
,M267
,M033
,M488
,M480
,M070
,M192
,M371
,M133
,M510
,M871
,M911
,M816
,M097
*,X790
,M195
,M149
,M896
,M075
,M465
,X037
,M200
,M117
,M510
,M132
,M045
,M188
,M155
,M486
,M207
