bldg_enroll,no_of_cluster_rms_needed,target_bldg_util
612.0,0.0,75.0
831.0,2.0,82.0
213.0,,28.0
915.0,0.0,75.0
1947.0,0.0,57.0
256.0,3.0,75.0
424.0,3.0,68.0
412.0,3.0,82.0
433.0,2.0,78.0
704.0,3.0,107.0
1396.0,,62.0
908.0,,61.0
772.0,0.0,90.0
314.0,0.0,40.0
766.0,,78.0
1458.0,,94.0
2067.0,0.0,74.0
150.0,,87.0
388.0,0.0,55.0
393.0,,68.0
761.0,3.0,122.0
552.0,3.0,89.0
588.0,3.0,68.0
908.0,,61.0
564.0,0.0,45.0
761.0,3.0,122.0
527.0,3.0,76.0
1458.0,,94.0
720.0,0.0,88.0
485.0,,68.0
255.0,,45.0
1719.0,,80.0
247.0,0.0,95.0
639.0,0.0,79.0
3071.0,,81.0
200.0,2.0,63.0
1008.0,,70.0
467.0,,104.0
1500.0,,67.0
1014.0,,77.0
310.0,3.0,67.0
596.0,2.0,48.0
445.0,,59.0
1153.0,,92.0
583.0,3.0,86.0
621.0,,63.0
926.0,0.0,74.0
908.0,,61.0
482.0,2.0,65.0
1895.0,0.0,84.0
1458.0,,94.0
789.0,4.0,114.0
743.0,0.0,82.0
386.0,3.0,43.0
388.0,,55.0
638.0,3.0,75.0
2449.0,,82.0
572.0,3.0,83.0
467.0,,104.0
1077.0,0.0,78.0
258.0,3.0,68.0
465.0,,93.0
1077.0,,70.0
785.0,,66.0
908.0,,61.0
1014.0,0.0,77.0
1584.0,,71.0
1267.0,0.0,100.0
116.0,,79.0
957.0,3.0,106.0
1284.0,0.0,105.0
445.0,3.0,59.0
831.0,0.0,82.0
433.0,,56.0
1515.0,,85.0
458.0,,74.0
1284.0,0.0,105.0
1500.0,0.0,67.0
1799.0,0.0,54.0
433.0,,78.0
2449.0,,82.0
351.0,3.0,51.0
2228.0,,102.0
893.0,,79.0
770.0,,72.0
340.0,,63.0
3071.0,,81.0
381.0,3.0,62.0
378.0,,58.0
1116.0,4.0,83.0
2449.0,0.0,82.0
1141.0,,115.0
192.0,2.0,114.0
1077.0,4.0,70.0
1424.0,,63.0
508.0,,81.0
2055.0,0.0,73.0
1458.0,0.0,94.0
1048.0,4.0,97.0
1150.0,0.0,72.0
375.0,,36.0
758.0,,59.0
872.0,2.0,93.0
481.0,,109.0
483.0,3.0,77.0
465.0,3.0,93.0
1690.0,0.0,86.0
445.0,,58.0
481.0,,109.0
43.0,,24.0
772.0,0.0,90.0
761.0,,122.0
1799.0,0.0,54.0
283.0,0.0,37.0
1500.0,0.0,67.0
340.0,,63.0
563.0,,46.0
638.0,,75.0
340.0,3.0,61.0
451.0,,69.0
1127.0,,86.0
376.0,3.0,92.0
350.0,0.0,61.0
564.0,0.0,45.0
314.0,3.0,40.0
563.0,0.0,46.0
358.0,,44.0
633.0,3.0,81.0
447.0,2.0,71.0
316.0,3.0,76.0
562.0,3.0,90.0
1111.0,4.0,97.0
451.0,3.0,69.0
1153.0,0.0,92.0
1116.0,0.0,83.0
1895.0,0.0,84.0
789.0,3.0,114.0
314.0,,40.0
751.0,0.0,51.0
1103.0,0.0,79.0
573.0,3.0,84.0
770.0,3.0,72.0
957.0,3.0,106.0
256.0,,70.0
1004.0,0.0,77.0
1742.0,,74.0
281.0,3.0,57.0
716.0,0.0,58.0
1584.0,,71.0
776.0,2.0,77.0
1584.0,,71.0
645.0,0.0,71.0
1458.0,0.0,94.0
375.0,0.0,36.0
785.0,,66.0
458.0,3.0,74.0
563.0,,46.0
628.0,,97.0
947.0,3.0,87.0
473.0,3.0,74.0
388.0,3.0,55.0
1141.0,0.0,115.0
720.0,3.0,105.0
1895.0,0.0,84.0
533.0,0.0,35.0
915.0,,75.0
714.0,0.0,88.0
736.0,,93.0
1193.0,3.0,94.0
196.0,,39.0
485.0,4.0,0.0
387.0,3.0,115.0
562.0,,90.0
2088.0,3.0,100.0
1742.0,3.0,74.0
1515.0,0.0,85.0
612.0,3.0,75.0
180.0,2.0,114.0
200.0,,63.0
375.0,,36.0
0.0,,0.0
217.0,,52.0
436.0,3.0,124.0
614.0,0.0,73.0
1690.0,,86.0
1392.0,,95.0
481.0,,109.0
234.0,0.0,97.0
527.0,0.0,76.0
1424.0,,63.0
504.0,3.0,97.0
393.0,,68.0
1077.0,,78.0
375.0,,36.0
552.0,2.0,89.0
893.0,,79.0
669.0,3.0,67.0
404.0,2.0,63.0
196.0,0.0,39.0
340.0,,61.0
