circulation_juvenile,outreach_services_program,boro_central_library,juvenile_attendance
164065.0,3.0,CENTRAL LIBRARY UNITS,15226.0
236700.0,106.0,CENTRAL LIBRARY UNITS,15814.0
0.0,0.0,Manhattan,0.0
47820.0,40.0,Bronx,9849.0
13927.0,26.0,Bronx,2781.0
43537.0,19.0,Bronx,8399.0
133536.0,21.0,Manhattan,10626.0
134124.0,194.0,Bronx,16301.0
110765.0,158.0,Manhattan,8990.0
105718.0,28.0,Manhattan,8470.0
0.0,0.0,Bronx,0.0
24228.0,2.0,Bronx,2137.0
3.0,0.0,CENTRAL LIBRARY UNITS,0.0
1810755.0,137.0,Other,778.0
29588.0,3.0,Bronx,2953.0
47325.0,70.0,Bronx,3905.0
121739.0,113.0,Manhattan,6555.0
75200.0,368.0,Staten Island,3604.0
1865896.0,2706.0,Bronx,177667.0
3896.0,29.0,CENTRAL LIBRARY UNITS,411.0
70849.0,170.0,Manhattan,7469.0
27569.0,177.0,Manhattan,6877.0
45790.0,53.0,Manhattan,5101.0
45095.0,80.0,Bronx,4468.0
1093626.0,1206.0,Staten Island,44363.0
236700.0,106.0,CENTRAL LIBRARY UNITS,15814.0
98989.0,29.0,Manhattan,5647.0
33045.0,47.0,Bronx,2828.0
49439.0,5.0,Bronx,5567.0
42107.0,30.0,Manhattan,15140.0
24440.0,0.0,Bronx,844.0
141.0,0.0,Staten Island,0.0
209667.0,57.0,Manhattan,8717.0
60010.0,151.0,Manhattan,5732.0
48519.0,168.0,Bronx,4415.0
71248.0,255.0,Bronx,6150.0
36447.0,99.0,Bronx,5881.0
81507.0,10.0,Manhattan,2412.0
0.0,2.0,Staten Island,0.0
65517.0,12.0,Manhattan,5382.0
67330.0,15.0,Manhattan,6532.0
40587.0,10.0,Manhattan,228.0
85539.0,74.0,Staten Island,3809.0
100290.0,20.0,Staten Island,4701.0
55779.0,17.0,Bronx,3980.0
520.0,2.0,Manhattan,0.0
36775.0,18.0,Manhattan,120.0
47961.0,1.0,Bronx,4714.0
55036.0,183.0,Bronx,5398.0
200169.0,138.0,Manhattan,14941.0
38463.0,42.0,Manhattan,3607.0
69211.0,73.0,Staten Island,4580.0
112878.0,71.0,Manhattan,9004.0
0.0,0.0,Manhattan,0.0
51671.0,368.0,Bronx,8976.0
163.0,0.0,CENTRAL LIBRARY UNITS,0.0
45262.0,117.0,Bronx,2862.0
902335.0,1412.0,Bronx,99367.0
31248.0,29.0,Bronx,5084.0
59759.0,20.0,Manhattan,4053.0
89477.0,247.0,Manhattan,8143.0
38205.0,7.0,Bronx,2321.0
1552338.0,1151.0,Manhattan,111146.0
120204.0,30.0,Manhattan,5623.0
39223.0,9.0,Bronx,3235.0
176853.0,49.0,Manhattan,8249.0
1093626.0,1204.0,Staten Island,44363.0
84347.0,12.0,Manhattan,7812.0
42140.0,62.0,Bronx,6792.0
124491.0,10.0,Staten Island,3389.0
108050.0,217.0,Staten Island,4312.0
48129.0,144.0,Bronx,8952.0
35952.0,138.0,Staten Island,5298.0
1347884.0,970.0,Manhattan,109541.0
184508.0,303.0,Bronx,13069.0
35936.0,42.0,Manhattan,4979.0
37966.0,18.0,Bronx,3805.0
69906.0,79.0,Bronx,3397.0
2900222.0,2121.0,Manhattan,220687.0
16691.0,17.0,Manhattan,141.0
52125.0,20.0,Manhattan,2355.0
295016.0,52.0,Staten Island,3257.0
66888.0,57.0,Staten Island,5003.0
50707.0,124.0,Bronx,1971.0
57821.0,20.0,Manhattan,8633.0
963561.0,1294.0,Bronx,78300.0
20366.0,67.0,Manhattan,1311.0
70811.0,167.0,Staten Island,4105.0
12945.0,92.0,Bronx,3112.0
46814.0,31.0,Manhattan,3897.0
,,Manhattan,
45099.0,6.0,Bronx,1882.0
68037.0,34.0,Bronx,6170.0
7907199.0,6276.0,System,459309.0
108737.0,12.0,Manhattan,7787.0
33338.0,5.0,Bronx,2433.0
68563.0,74.0,CENTRAL LIBRARY UNITS,177.0
12021.0,6.0,Manhattan,1721.0
0.0,0.0,Bronx,0.0
74566.0,25.0,Manhattan,5767.0
90154.0,1.0,Bronx,3924.0
10.0,0.0,CENTRAL LIBRARY UNITS,0.0
86007.0,27.0,Manhattan,8614.0
73395.0,38.0,Manhattan,3037.0
114618.0,153.0,Manhattan,7015.0
62037.0,28.0,Staten Island,2305.0
0.0,2.0,Staten Island,0.0
62964.0,40.0,Bronx,3403.0
106836.0,59.0,Bronx,5709.0
