branch,_total_attendance,outreach_services_attendance,juvenile_program,adult_program
Children's Center,17553.0,91.0,355.0,37.0
Subtotal:,53715.0,2680.0,378.0,1304.0
Subtotal:,0.0,0.0,0.0,0.0
Soundview,15743.0,1333.0,545.0,209.0
City Island,5444.0,804.0,158.0,110.0
Throg's Neck,11702.0,597.0,289.0,120.0
Bloomingdale,13439.0,327.0,340.0,107.0
Parkchester ,25531.0,3325.0,620.0,188.0
Fort Washington,14832.0,2911.0,336.0,97.0
96th Street,13352.0,706.0,276.0,154.0
Bronx  Borough Office,0.0,0.0,0.0,0.0
Van Cortlandt,2531.0,44.0,133.0,17.0
Donnell Library Center** ** Closed for major renovation - effective 8/29/08,0.0,0.0,0.0,0.0
Other Systemwide Services,11509.0,7881.0,13.0,23.0
Woodstock,4929.0,233.0,130.0,15.0
Edenwald,6326.0,890.0,167.0,62.0
Riverside,11878.0,2354.0,228.0,116.0
St. George Library Center,11566.0,3801.0,207.0,112.0
BRONX TOTAL:,346773.0,61624.0,8238.0,3702.0
Braille & Talking Book Library,1613.0,389.0,20.0,94.0
Muhlenberg,13452.0,3132.0,273.0,103.0
Hudson Park,11671.0,2550.0,166.0,130.0
Tompkins Square,7824.0,869.0,296.0,89.0
Wakefield,11089.0,2061.0,330.0,99.0
STATEN ISLAND TOTAL:,98602.0,31612.0,1941.0,802.0
CENTRAL LIBRARY TOTAL:,53715.0,2680.0,378.0,1304.0
Mulberry Street,9574.0,113.0,199.0,56.0
Sedgwick,7281.0,1398.0,160.0,56.0
Pelham Bay,7618.0,59.0,260.0,70.0
Ottendorfer,17285.0,476.0,422.0,180.0
Woodlawn Heights,1168.0,0.0,61.0,38.0
Stapleton*  * Closed for major renovation - effective 4/15/10,0.0,0.0,0.0,0.0
Chatham Square,12322.0,1951.0,366.0,70.0
Hamilton Fish Park ,10267.0,2839.0,382.0,142.0
Hunt's Point,10609.0,4032.0,219.0,61.0
Clason's Point,24031.0,11370.0,239.0,246.0
Morrisania,13084.0,2202.0,316.0,84.0
New Amsterdam,3066.0,243.0,183.0,13.0
Staten Island Borough Office,89.0,89.0,0.0,0.0
115th Street ,7623.0,708.0,142.0,53.0
Epiphany,8067.0,293.0,178.0,83.0
Grand Central,3459.0,33.0,19.0,56.0
