event_id,name
62272,Dance
62279,History
62275,Festivals
62281,Northern Manhattan Parks
62271,Outdoor Fitness
62272,Food
62264,Waterfront
62237,Nature
62282,Tours
62310,Art
62273,Outdoor Fitness
62309,Art
62271,Concerts
62228,Birding
62250,Best for Kids
62282,Talks
62281,History
62314,Art
62290,Art
62286,Art
62282,Festivals
62262,Waterfront
62260,Waterfront
62270,Food
62278,Fort Tryon Park Trust
62238,Birding
62282,History
62278,Nature
62268,Waterfront
62244,Birding
62285,Art
62236,Birding
62273,Fitness
62265,Volunteer
62267,Waterfront
62233,Birding
62306,Art
62255,Volunteer
62270,Dance
62282,Fort Tryon Park Trust
62265,Waterfront
62232,Birding
62278,Education
62273,Food
62267,Volunteer
62230,Nature
62275,Free Summer Concerts
62281,Fort Tryon Park Trust
62280,History
62238,Nature
62261,Volunteer
62231,Birding
62291,Art
62268,Volunteer
62289,Art
62242,Nature
62225,Nature
62280,Northern Manhattan Parks
62301,Art
62299,Art
62224,Birding
62257,Volunteer
62249,Concerts
62274,Education
62284,Arts & Crafts
62288,Art
62305,Art
62259,Volunteer
62229,Nature
62281,Festivals
62253,Volunteer
62223,Birding
62270,Fitness
62287,Art
62275,Concerts
62239,Nature
62280,Nature
62269,Volunteer
62250,Arts & Crafts
62259,Waterfront
62236,Nature
62278,Tours
62284,Fall Festivals
62307,Art
62254,Waterfront
62249,Dance
62284,Games
62295,Art
62258,Volunteer
62273,Dance
62228,Nature
62252,Waterfront
62284,Festivals
62297,Art
62235,Birding
62226,Birding
62316,Art
62276,GreenThumb Events
62272,Outdoor Fitness
62241,Nature
62280,Talks
62226,Nature
62283,Best for Kids
62245,Birding
62283,Festivals
62271,Dance
62232,Nature
62279,Northern Manhattan Parks
62254,Volunteer
62258,Waterfront
62279,Talks
62255,Waterfront
62311,Art
62280,Tours
62249,Arts & Crafts
62279,Tours
62303,Art
62304,Art
62280,Fort Tryon Park Trust
62271,Food
62242,Birding
62269,Waterfront
62262,Volunteer
62294,Art
62263,Volunteer
62256,Waterfront
62247,Birding
62283,Games
62275,Fall Festivals
62273,Concerts
62276,GreenThumb Partner Events
62244,Nature
62227,Nature
62256,Volunteer
62239,Birding
62245,Nature
62240,Birding
62272,Fitness
62246,Nature
62251,Waterfront
62249,Free Summer Concerts
62263,Waterfront
62308,Art
62283,Arts & Crafts
62276,GreenThumb Workshops
62234,Birding
62235,Nature
62230,Birding
62298,Art
62293,Art
62270,Concerts
62249,Best for Kids
62257,Waterfront
62240,Nature
62233,Nature
62272,Concerts
62264,Volunteer
62260,Volunteer
62227,Birding
62270,Outdoor Fitness
62315,Art
62252,Volunteer
62313,Art
62281,Fall Festivals
62247,Nature
62251,Volunteer
62296,Art
62253,Waterfront
62261,Waterfront
62277,GreenThumb Events
62246,Birding
62278,Talks
62248,Nature
62266,Volunteer
62282,Arts & Crafts
62279,Nature
62225,Birding
62243,Birding
62284,Best for Kids
62278,Northern Manhattan Parks
62248,Birding
62224,Nature
62292,Art
62312,Art
62250,Games
62282,Northern Manhattan Parks
62271,Fitness
62229,Birding
62278,History
62231,Nature
62243,Nature
62237,Birding
62241,Birding
62234,Nature
62300,Art
62266,Waterfront
62277,GreenThumb Partner Events
62302,Art
62279,Fort Tryon Park Trust
62223,Nature
