transcom_id,data_as_of
4620332,2025-12-24T23:18:04.000
4616332,2025-12-24T23:18:03.000
4616355,2025-12-24T23:18:10.000
4616271,2025-12-24T23:14:11.000
4616353,2025-12-24T23:18:10.000
4620332,2025-12-24T23:14:04.000
4763652,2025-12-24T23:18:06.000
4362249,2025-12-24T23:18:04.000
4362314,2025-12-24T23:14:03.000
4616210,2025-12-24T23:18:03.000
4616337,2025-12-24T23:14:11.000
4616356,2025-12-24T23:14:11.000
4616225,2025-12-24T23:14:07.000
4616282,2025-12-24T23:14:11.000
4616220,2025-12-24T23:18:03.000
4329473,2025-12-24T23:18:06.000
4616271,2025-12-24T23:18:10.000
4456501,2025-12-24T23:14:07.000
4616324,2025-12-24T23:18:03.000
4616255,2025-12-24T23:14:11.000
4620330,2025-12-24T23:14:04.000
4620315,2025-12-24T23:14:04.000
4763657,2025-12-24T23:14:07.000
4329499,2025-12-24T23:14:06.000
4616194,2025-12-24T23:14:03.000
4763649,2025-12-24T23:18:06.000
4456496,2025-12-24T23:14:07.000
4616199,2025-12-24T23:18:10.000
4616212,2025-12-24T23:14:03.000
4616342,2025-12-24T23:18:03.000
4616299,2025-12-24T23:18:03.000
4763655,2025-12-24T23:18:06.000
4456497,2025-12-24T23:14:07.000
4620330,2025-12-24T23:18:04.000
4362342,2025-12-24T23:17:05.000
4362314,2025-12-24T23:18:03.000
4616337,2025-12-24T23:18:10.000
4616282,2025-12-24T23:18:10.000
4616203,2025-12-24T23:14:03.000
4456483,2025-12-24T23:18:06.000
4616241,2025-12-24T23:18:03.000
4456478,2025-12-24T23:14:07.000
4456481,2025-12-24T23:18:07.000
4620314,2025-12-24T23:18:04.000
4616257,2025-12-24T23:18:10.000
4616297,2025-12-24T23:18:03.000
4616328,2025-12-24T23:18:03.000
4616272,2025-12-24T23:14:11.000
4456497,2025-12-24T23:18:06.000
4620298,2025-12-24T23:14:04.000
4620343,2025-12-24T23:14:04.000
4620310,2025-12-24T23:18:04.000
4616276,2025-12-24T23:14:11.000
4616364,2025-12-24T23:14:11.000
4616298,2025-12-24T23:14:11.000
4616197,2025-12-24T23:14:11.000
4616209,2025-12-24T23:18:03.000
4616260,2025-12-24T23:18:03.000
4616198,2025-12-24T23:14:11.000
4763655,2025-12-24T23:14:07.000
4616310,2025-12-24T23:18:03.000
4616213,2025-12-24T23:18:03.000
4616272,2025-12-24T23:18:10.000
4362342,2025-12-24T23:14:05.000
4616214,2025-12-24T23:14:03.000
4616223,2025-12-24T23:18:03.000
4616352,2025-12-24T23:18:10.000
4616228,2025-12-24T23:18:03.000
4329507,2025-12-24T23:18:04.000
4329508,2025-12-24T23:14:04.000
4616312,2025-12-24T23:18:03.000
4456505,2025-12-24T23:18:06.000
4616340,2025-12-24T23:18:10.000
4616199,2025-12-24T23:14:11.000
4616193,2025-12-24T23:18:10.000
4616319,2025-12-24T23:18:03.000
4456452,2025-12-24T23:14:11.000
4456496,2025-12-24T23:18:06.000
4362251,2025-12-24T23:14:03.000
4616261,2025-12-24T23:18:03.000
4616356,2025-12-24T23:18:10.000
4616357,2025-12-24T23:14:11.000
4616355,2025-12-24T23:14:11.000
4763657,2025-12-24T23:18:06.000
4616226,2025-12-24T23:18:03.000
4616267,2025-12-24T23:18:03.000
4329473,2025-12-24T23:14:06.000
4456450,2025-12-24T23:14:08.000
4616252,2025-12-24T23:14:11.000
4616257,2025-12-24T23:14:11.000
4616300,2025-12-24T23:18:03.000
4456500,2025-12-24T23:18:06.000
4620343,2025-12-24T23:18:04.000
4616192,2025-12-24T23:18:10.000
4616211,2025-12-24T23:18:10.000
4456511,2025-12-24T23:14:07.000
4616201,2025-12-24T23:18:03.000
4616255,2025-12-24T23:18:10.000
4456478,2025-12-24T23:18:06.000
4616229,2025-12-24T23:18:03.000
4620314,2025-12-24T23:14:04.000
4616203,2025-12-24T23:18:03.000
4616202,2025-12-24T23:14:03.000
4616215,2025-12-24T23:18:03.000
4616216,2025-12-24T23:18:03.000
4616298,2025-12-24T23:18:10.000
4616192,2025-12-24T23:14:11.000
4620331,2025-12-24T23:14:04.000
4616200,2025-12-24T23:18:03.000
4616197,2025-12-24T23:18:10.000
4616208,2025-12-24T23:18:03.000
4616346,2025-12-24T23:18:03.000
4362250,2025-12-24T23:14:05.000
4362251,2025-12-24T23:18:03.000
4616193,2025-12-24T23:14:11.000
4456494,2025-12-24T23:18:06.000
4616320,2025-12-24T23:18:03.000
4456502,2025-12-24T23:18:06.000
4616354,2025-12-24T23:18:10.000
4329472,2025-12-24T23:14:04.000
4456477,2025-12-24T23:14:07.000
4456506,2025-12-24T23:18:06.000
4616259,2025-12-24T23:18:10.000
4616217,2025-12-24T23:18:03.000
4456498,2025-12-24T23:18:06.000
4362244,2025-12-24T23:18:03.000
4456505,2025-12-24T23:14:07.000
4616250,2025-12-24T23:18:03.000
4616350,2025-12-24T23:14:03.000
4616225,2025-12-24T23:18:06.000
4616246,2025-12-24T23:18:03.000
4616340,2025-12-24T23:14:11.000
4616357,2025-12-24T23:18:10.000
4616276,2025-12-24T23:18:10.000
