link_name,travel_time
WSE S ARDEN AVENUE - BLOOMINGDALE ROAD,84
WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD,0
SIE E-MLK N RICHMOND AVENUE - WALKER STREET,148
VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave),211
SIE E CLOVE ROAD - FINGERBOARD ROAD,0
CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL),96
WSE S SOUTH AVENUE - VICTORY BOULEVARD,54
SIE E SOUTH AVENUE - RICHMOND AVENUE,48
SIE W BRADLEY AVENUE - WOOLEY AVENUE,28
Westside Hwy S GWB - 57th St,0
CVE NB GCP - WILLETS PT BLVD,298
LIE WB LITTLE NECK PKWY - NB CVE,187
SIE E BRADLEY AVENUE - CLOVE ROAD,0
West St S Spring St - BBT Manhattan Portal outbound,307
CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl),204
BBT E Manhattan Portal - Toll Plaza,166
Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St,742
LINCOLN TUNNEL E SOUTH TUBE - NJ - NY,0
MDE S TBB EXIT RAMP - QUEENS ANCHORAGE,152
TNB S Toll Plaza - Queens Anchorage,128
VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave),0
SIE W - MLK N WOOLEY AVENUE - WLAKER STREET,179
HRP S Lafayette Ave - BWB S Toll Plaza,0
CVE NB LIE - WILLETS PT BLVD,193
TNB N Queens Anchorage - Toll Plaza,121
HRP N LAFAYETTE AVENUE - E TREMONT AVENUE,1326
CIP S LIE - Hempstead Tpk,201
TBB N QUEENS ANCHORAGE - BE N,136
BE N STRATFORD AVENUE - CASTLE HILL AVE,76
BQE N Atlantic Ave - MAN Bridge Manhattan Side,2495
Belt Pkwy W JFK Expressway - VWE N Jamaica Ave,2137
VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St,1114
Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk,184
CVE NB GCP - WILLETS PT BLVD,285
SIE E RICHMOND AVENUE - WOOLEY AVENUE,70
CIP S LIE - Hempstead Tpk,202
BRP N WATSON AVENUE - FORDHAM ROAD,174
LINCOLN TUNNEL E SOUTH TUBE - NJ - NY,0
TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN,174
BBT W Toll Plaza - Manhattan Portal,379
LINCOLN TUNNEL W CENTER TUBE NY - NJ,0
WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE,111
CIP S Hempstead Tpk - Laurelton Pkwy @ SSP,361
VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL,0
SIE W FINGERBOARD ROAD - CLOVE ROAD,107
TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE,177
CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS,0
QMT E Manhattan Side - Toll Plaza,168
MLK S - SIE W WALKER STREET - RICHMOND AVENUE,106
VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave),0
SIE W FINGERBOARD ROAD - CLOVE ROAD,107
SIE W RICHMOND AVENUE - SOUTH AVENUE,53
SIE E WOOLEY AVENUE - BRADLEY AVENUE,0
TNB S Toll Plaza - Queens Anchorage,128
FDR S Catherine Slip - BKN Bridge Manhattan Side,93
GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE,156
Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St,438
TBB W - FDR S MANHATTAN TRUSS - E116TH STREET,273
TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN,195
HRP S Lafayette Ave - BWB S Toll Plaza,0
