of_students_within_grade,program_type
1.5,Gen Ed/ICT/G&T
8.4,SC 12:1
5.2,Gen Ed/ICT/G&T
6.9,Gen Ed/ICT/G&T
0.9,Gen Ed/ICT/G&T
4.2,Gen Ed/ICT/G&T
19.6,SC 12:1
2.5,Gen Ed/ICT/G&T
8.6,Gen Ed/ICT/G&T
3.6,SC 12:1
1.2,Gen Ed/ICT/G&T
8.3,Gen Ed/ICT/G&T
9.3,Gen Ed/ICT/G&T
5.6,Gen Ed/ICT/G&T
7.1,Gen Ed/ICT/G&T
0.1,Gen Ed/ICT/G&T
0.6,Gen Ed/ICT/G&T
8.6,Gen Ed/ICT/G&T
0.9,Gen Ed/ICT/G&T
6.3,Gen Ed/ICT/G&T
0.1,Gen Ed/ICT/G&T
1.9,Gen Ed/ICT/G&T
3.0,Gen Ed/ICT/G&T
0.1,Gen Ed/ICT/G&T
1.2,Gen Ed/ICT/G&T
0.4,Gen Ed/ICT/G&T
1.2,SC 12:1
4.8,Gen Ed/ICT/G&T
1.6,Gen Ed/ICT/G&T
5.0,Gen Ed/ICT/G&T
3.3,Gen Ed/ICT/G&T
1.5,Gen Ed/ICT/G&T
0.1,Gen Ed/ICT/G&T
0.6,Gen Ed/ICT/G&T
3.3,Gen Ed/ICT/G&T
10.5,Gen Ed/ICT/G&T
8.6,Gen Ed/ICT/G&T
10.4,Gen Ed/ICT/G&T
1.4,Gen Ed/ICT/G&T
0.5,SC 12:1
3.3,Gen Ed/ICT/G&T
3.4,Gen Ed/ICT/G&T
1.3,Gen Ed/ICT/G&T
3.2,Gen Ed/ICT/G&T
1.6,Gen Ed/ICT/G&T
0.5,Gen Ed/ICT/G&T
8.4,Gen Ed/ICT/G&T
10.0,Gen Ed/ICT/G&T
3.4,Gen Ed/ICT/G&T
7.0,Gen Ed/ICT/G&T
4.6,Gen Ed/ICT/G&T
17.8,SC 12:1
3.2,Gen Ed/ICT/G&T
2.2,Gen Ed/ICT/G&T
8.6,Gen Ed/ICT/G&T
7.8,Gen Ed/ICT/G&T
2.7,Gen Ed/ICT/G&T
2.6,Gen Ed/ICT/G&T
0.9,Gen Ed/ICT/G&T
0.2,Gen Ed/ICT/G&T
1.2,Gen Ed/ICT/G&T
0.1,Gen Ed/ICT/G&T
4.3,Gen Ed/ICT/G&T
0.4,Gen Ed/ICT/G&T
4.8,Gen Ed/ICT/G&T
4.6,SC 12:1:1
1.5,Gen Ed/ICT/G&T
2.6,Gen Ed/ICT/G&T
10.0,Gen Ed/ICT/G&T
5.0,Gen Ed/ICT/G&T
8.8,SC 12:1
6.2,Gen Ed/ICT/G&T
0.3,Gen Ed/ICT/G&T
2.0,Gen Ed/ICT/G&T
9.1,Gen Ed/ICT/G&T
5.0,Gen Ed/ICT/G&T
0.3,Gen Ed/ICT/G&T
4.4,Gen Ed/ICT/G&T
3.4,Gen Ed/ICT/G&T
6.8,Gen Ed/ICT/G&T
4.7,SC 12:1
10.7,Gen Ed/ICT/G&T
5.2,Gen Ed/ICT/G&T
