class_size,number_of_classes
19,47
8,86
18,152
28,135
32,15
21,108
11,146
29,45
26,179
13,23
33,20
27,166
24,214
22,139
26,143
33,2
>34,5
23,195
15,32
24,154
>34,1
15,65
30,53
33,1
31,20
27,7
14,7
28,90
18,53
17,155
17,102
32,26
34,1
16,21
32,60
24,229
29,161
27,224
30,24
15,3
29,60
28,64
31,22
17,102
<15,79
15,20
21,209
23,229
29,61
25,145
<15,200
10,146
16,106
17,69
28,167
24,177
30,49
32,45
32,14
34,3
18,39
34,1
20,118
>34,5
28,94
6,162
16,52
15,91
24,227
23,127
7,103
26,124
33,5
16,70
25,213
31,95
33,5
22,116
30,62
20,185
< 6,99
29,207
20,142
30,213
31,66
19,194
16,75
25,188
33,3
18,210
<15,123
29,70
21,83
22,225
25,183
31,26
<15,129
21,246
25,237
28,198
26,194
27,143
22,248
19,96
21,173
20,179
<15,167
27,92
26,170
30,146
15,16
18,65
24,169
24,204
23,219
6,69
22,239
7,196
18,101
19,139
<15,179
15,54
27,135
19,154
20,158
23,223
30,30
28,4
16,101
<15,96
26,207
23,237
20,59
12,120
31,35
31,67
34,1
20,87
22,198
25,183
30,218
25,178
8,278
28,243
15,55
33,37
17,26
31,20
<15,65
16,104
20,188
21,102
21,289
21,201
23,226
34,3
>34,7
22,133
16,82
27,104
21,175
< 6,278
17,87
22,281
17,124
26,197
24,226
27,163
20,292
18,132
16,21
9,116
19,167
19,160
24,218
22,198
29,211
19,71
28,69
32,48
23,126
25,240
29,84
32,22
19,241
27,214
26,31
23,151
18,108
>34,1
17,42
<15,115
17,104
33,35
25,159
15,69
18,151
15,73
26,163
32,13
