program_site_name,bin,nta
GED Plus at Brooklyn Job Corps Academy  ,3049016.0,Bedford                                                                    
GED Plus at Jamaica Hospital Dental Assistant Program,4196414.0,Richmond Hill                                                              
"Bronx GED Plus Hub/Referral Center at Bronx Regional High School  
",2005366.0,Longwood                                                                   
GED Plus at Queens Youth Build ,4113292.0,Flushing                                                                   
GED Plus at Bronx Community College Future Now,2014731.0,Kingsbridge Heights                                                        
GED Plus at Project Ready   ,2115885.0,Mount Hope                                                                 
GED Plus at South Bronx Job Corps  ,2094551.0,University Heights-Morris Heights                                          
GED Plus at Fannie Barnes Urban Strategies Inc.  ,3082035.0,Brownsville                                                                
GED Plus at New Settlement Apartments I  ,2008130.0,West Concourse                                                             
GED Plus at Opportunities for a Better Tomorrow I  ,3009757.0,Sunset Park West                                                           
GED Plus at St. George Referral Center/Hub ,5000161.0,West New Brighton-New Brighton-St. George                                  
GED Plus at Manhattan Youth Build ,1053467.0,Central Harlem South                                                       
GED Plus at 29,1016915.0,Midtown-Midtown South                                                      
GED Plus at North Central Bronx Hospital  ,2017787.0,Norwood                                                                    
GED Plus at Alternative Education Complex Referral Center/HUB,1014421.0,Midtown-Midtown South                                                      
GED Plus Evening at Monroe Academy ,2027459.0,West Farms-Bronx River                                                     
GED Plus at St. Albans V.A. Medical Center ,,
GED Plus Evening at Kennedy High School ,1064532.0,Marble Hill-Inwood                                                         
GED Plus at Jamaica Learning Referral Center/Hub,4209031.0,Jamaica                                                                    
GED Plus at Ocean Bay ,4436449.0,Hammels-Arverne-Edgemere                                                   
GED Plus at The Door  ,,
GED Plus at Harlem Renaissance High School ,1054159.0,Central Harlem North-Polo Grounds                                          
GED Plus at Port Richmond High School  ,5026076.0,Port Richmond                                                              
"GED Plus at PHASE: Piggy Back, Inc.  ",1060467.0,Central Harlem North-Polo Grounds                                          
GED Plus at George Gershwin Middle School ,3097675.0,East New York                                                              
GED Plus at New Settlement Apartments II  ,2008021.0,Mount Hope                                                                 
GED Plus at D.R.E.A.M.S.  ,3389801.0,Crown Heights North                                                        
GED Plus at Ridgewood Bushwick  ,3387654.0,Bushwick North                                                             
GED Plus at LaGuardia Community College : CUNY CATCH,4003516.0,Hunters Point-Sunnyside-West Maspeth                                       
GED Plus at Davidson Avenue  ,2008362.0,University Heights-Morris Heights                                          
GED Plus at Youth Action and Homes Program  ,1079303.0,East Harlem North                                                          
GED Plus at Co-op Tech  ,1083927.0,East Harlem South                                                          
GED Plus at York College  ,4215630.0,Jamaica                                                                    
GED Plus at LaGuardia Community College:Workforce Educational Center,4003516.0,Hunters Point-Sunnyside-West Maspeth                                       
GED Plus at Mary Mitchell Family & Children's Center,2012934.0,East Tremont                                                               
GED Plus at Susan Smith McKinney Nursing and Rehab Center,3327674.0,Prospect Lefferts Gardens-Wingate                                          
GED Plus at 29,1016915.0,Midtown-Midtown South                                                      
GED Plus at Schermerhorn Street ,3002643.0,Brooklyn Heights-Cobble Hill                                               
"GED Plus at Elmcor Youth & Adult Activities, Inc.  ",4311969.0,North Corona                                                               
GED Plus at Bronx VA Medical Center ,2095229.0,Kingsbridge Heights                                                        
GED Plus Evening at Boys & Girls High School ,3047996.0,Crown Heights North                                                        
GED Plus Evening at Lehman High School  ,2074045.0,Schuylerville-Throgs Neck-Edgewater Park                                   
GED Plus at DeWitt Clinton High School ,2095215.0,Van Cortlandt Village                                                      
GED Plus at Linden Learning Center  ,3380772.0,East New York                                                              
GED Plus at Jeffrey C. Tenzer ,1005626.0,Chinatown                                                                  
GED Plus Evening at John Adams High School ,4202849.0,South Ozone Park                                                           
"GED Plus at Sanitation, Staten Island   ",5013317.0,Stapleton-Rosebank                                                         
GED Plus at Adams Academy  ,4202849.0,South Ozone Park                                                           
GED Plus at Bedford Stuyvesant Complex Referral Center Hub,3051641.0,Bedford                                                                    
GED Plus Evening at Lincoln High School  ,3196293.0,West Brighton                                                              
GED Plus at Manhattan Learning Center ,1025241.0,Clinton                                                                    
GED Plus at Red Hook Community Justice Center  ,3331865.0,Carroll Gardens-Columbia Street-Red Hook                                   
GED Plus at Astoria Community Center ,4439576.0,Old Astoria                                                                
GED Plus at Medgar Evers College ,3337869.0,Crown Heights South                                                        
GED Plus at Sunset GED Center  ,3337060.0,Sunset Park West                                                           
GED Plus at Stanley Isaacs Neighborhood ,1076333.0,Yorkville                                                                  
GED Plus at Visiting Nurse Service of NY  ,4303596.0,Hammels-Arverne-Edgemere                                                   
GED Plus at South Shore Educational Complex ,3224139.0,Canarsie                                                                   
GED Plus at Chelsea Hudson Guild  ,1012827.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
GED Plus at Opportunities for a Better Tomorrow II  ,3061498.0,Bedford                                                                    
GED Plus at Alpha School-Center for Progressive Living Inc.,3098799.0,East New York                                                              
GED Plus at The LaGuardia Marriott  ,4040899.0,East Elmhurst                                                              
GED Plus at Wagner High School  ,5146639.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
