address,bbl
585 DeKalb Avenue ,3017640001.0
134-20 Jamaica Avenue,4093420007.0
1010 Rev. James Polite Avenue,2026980012.0
138-46 Northern Boulevard ,4050100038.0
2155 University Avenue ,2032170060.0
55 East 175th Street  ,2028500034.0
1771 Andrews Avenue  ,2028780150.0
829 Saratoga Avenue  ,3035830006.0
1525 Walton Avenue  ,2028450070.0
783 Fourth Avenue,3006610005.0
450 St. Marks Place ,5000160007.0
4 West 125th Street,1017220040.0
40 East 29th Street,1008580049.0
"3424 Kossuth Avenue, 14",2033270200.0
500 8th Avenue,1007850001.0
1300 Boynton Avenue ,2038640001.0
179th Street & Linden Boulevard ,
99 Terrace View Avenue ,1022150080.0
162-02 Hillside Avenue,4097680022.0
57-10 Beach Channel Drive  ,4160020001.0
55 Broome Street,
22 East 128th Street,1017520059.0
85 St. Joseph's Avenue  ,5011210001.0
262 West 145th Street,1020300057.0
800 Van Siclen Avenue ,3043490050.0
1614 Walton Avenue ,2028380004.0
1615 St. John's Place  ,3013810062.0
1474 Gates Avenue  ,3033440016.0
29-10 Thompson Avenue ,4002730001.0
1732 Davidson Avenue ,2028610063.0
206 East 118th Street,1016670043.0
321 East 96th Street,1016680001.0
94-20 Guy Brewer Boulevard ,4101040043.0
29-10 Thompson Avenue  ,4002730001.0
2007 Mapes Avenue  ,2031060028.0
594 Albany Avenue ,3048120001.0
40 East 29th Street,1008580049.0
67-69 Schermerhorn Street ,3002690014.0
107-20 Northern Boulevard  ,4017220005.0
"130 West Kingsbridge Road Bronx, ",2032260100.0
1700 Fulton Street,3017010001.0
3000 East Tremont Avenue ,2053680001.0
100 West Mosholu Parkway South,2032510201.0
1965 Linden Boulevard ,3043240001.0
198 Forsyth Street,1004220072.0
101-01 Rockaway Boulevard,4095400002.0
66 Swan Street  ,5005040049.0
101-02 Rockaway Boulevard  ,4095400002.0
832 Marcy Avenue  ,3018230038.0
2800 Ocean Parkway ,3072540001.0
317 West 52nd Street,1010430022.0
88 Visitation Place  ,3005300013.0
23-40 Astoria Boulevard ,4005420008.0
1150 Carroll Street  ,3012890025.0
"360 36th Street, PS 371  ",3006960031.0
1792 First Avenue,1015730020.0
86-01 Rockaway Beach Boulevard,4161310010.0
6565 Flatlands Avenue ,3079980005.0
441 West 26th Street,1007240010.0
25 Thornton Street  ,3022750021.0
2400 Linden Boulevard ,3045010002.0
102-05 Ditmars Boulevard  ,4016410001.0
1200 Manor Road  ,5009550100.0
