bbl,census_tract
3017640001.0,241.0
4093420007.0,14202.0
2026980012.0,12901.0
4050100038.0,865.0
2032170060.0,255.0
2028500034.0,22701.0
2028780150.0,21501.0
3035830006.0,894.0
2028450070.0,209.0
3006610005.0,101.0
5000160007.0,3.0
1017220040.0,200.0
1008580049.0,74.0
2033270200.0,421.0
1007850001.0,109.0
2038640001.0,56.0
,
1022150080.0,309.0
4097680022.0,44602.0
4160020001.0,97203.0
,
1017520059.0,206.0
5011210001.0,213.0
1020300057.0,232.0
3043490050.0,1104.0
2028380004.0,22702.0
3013810062.0,359.0
3033440016.0,433.0
4002730001.0,1.0
2028610063.0,217.0
1016670043.0,188.0
1016680001.0,15602.0
4101040043.0,246.0
4002730001.0,1.0
2031060028.0,371.0
3048120001.0,808.0
1008580049.0,74.0
3002690014.0,9.0
4017220005.0,381.0
2032260100.0,261.0
3017010001.0,271.0
2053680001.0,194.0
2032510201.0,409.0
3043240001.0,1104.0
1004220072.0,3601.0
4095400002.0,864.0
5005040049.0,21.0
4095400002.0,864.0
3018230038.0,249.0
3072540001.0,354.0
1010430022.0,133.0
3005300013.0,59.0
4005420008.0,69.0
3012890025.0,321.0
3006960031.0,84.0
1015730020.0,152.0
4161310010.0,94203.0
3079980005.0,950.0
1007240010.0,97.0
3022750021.0,507.0
3045010002.0,1116.0
4016410001.0,357.0
5009550100.0,181.0
