latitude,bbl,center,employee_witnessed_nypd_1
40.808451,1019090012.0,JOB CENTER 18,0
40.592902,4159000008.0,JOB CENTER 79,0
40.636992,5004970009.0,JOB CENTER 99,0
40.73626,1005770034.0,SNAP CENTER 19,0
40.701103,3022760012.0,JOB CENTER 66,0
40.735681,1008720013.0,SPECIAL PROJECTS CENTER 80,0
40.578507,3072790162.0,SNAP CENTER 22,0
40.870388,1022130001.0,JOB CENTER 35,0
40.846932,2030600032.0,SNAP CENTER 46,0
,,REFUGEE & IMMIGRANT JC 47,0
40.804465,1017750033.0,JOB CENTER 23,0
40.700282,3031560001.0,JOB CENTER 66,0
40.735681,1008720013.0,JOB CENTER 39,0
40.870388,1022130001.0,JOB CENTER 35,0
40.683419,3009280001.0,JOB CENTER 70,0
40.804465,1017750033.0,JOB CENTER 23,0
40.636992,5004970009.0,SNAP CENTER 99,0
40.700282,3031560001.0,SNAP CENTER 21,0
40.592902,4159000008.0,SNAP CENTER 79,0
40.813153,2023400072.0,JOB CENTER 38,0
40.592902,4159000008.0,JOB CENTER 79,0
,,SNAP CENTER 40,0
,,JOB CENTER 40,0
40.735681,1008720013.0,RESIDENTIAL TREATMENT CENTER 52,0
40.682851,3020090001.0,JOB CENTER 67,0
40.683749,3001970028.0,JOB CENTER 64,0
40.682851,3020090001.0,JOB CENTER 67,0
40.735681,1008720013.0,SPECIAL PROJECTS CENTER 80,0
40.708661,4098150056.0,SNAP CENTER 54,0
40.73626,1005770034.0,JOB CENTER 13,0
40.682851,3020090001.0,JOB CENTER 67,0
40.636992,5004970009.0,JOB CENTER 99,0
40.735681,1008720013.0,RAR / HVN 90,0
40.689121,3001650022.0,SNAP CENTER 15,0
40.592902,4159000008.0,JOB CENTER 79,0
40.573829,3070710100.0,JOB CENTER 63,0
40.683749,3001970028.0,JOB CENTER 64,0
40.735681,1008720013.0,SPECIAL PROJECTS CENTER 80,0
40.735681,1008720013.0,JOB CENTER 39,0
40.573829,3070710100.0,JOB CENTER 63,0
40.689121,3001650022.0,SNAP CENTER 15,0
40.636992,5004970009.0,JOB CENTER 99,0
40.846932,2030600032.0,JOB CENTER 46,0
40.578507,3072790162.0,SNAP CENTER 22,0
40.592902,4159000008.0,SNAP CENTER 79,0
40.846932,2030600032.0,JOB CENTER 46,0
40.839604,2028560020.0,SNAP CENTER 45,0
40.735681,1008720013.0,RAR / HVN 90,0
40.839604,2028560020.0,JOB CENTER 45,0
40.735681,1008720013.0,RAR / HVN 90,0
40.735681,1008720013.0,RESIDENTIAL TREATMENT CENTER 52,0
40.708661,4098150056.0,JOB CENTER 54,0
40.697254,3001180006.0,VETERANS JOB CENTER 62,0
40.839604,2028560020.0,SNAP CENTER 45,0
,,REFUGEE & IMMIGRANT JC 47,0
40.73626,1005770034.0,SNAP CENTER 19,0
40.592902,4159000008.0,JOB CENTER 79,0
40.73626,1005770034.0,JOB CENTER 13,0
,,JOB CENTER 53,0
40.813153,2023400072.0,JOB CENTER 38,0
,,JOB CENTER 53,0
40.689121,3001650022.0,SNAP CENTER 15,0
40.708661,4098150056.0,JOB CENTER 54,0
,,SNAP CENTER 53,0
40.870388,1022130001.0,SNAP CENTER 13,0
40.735681,1008720013.0,RESIDENTIAL TREATMENT CENTER 52,0
40.862905,2032930083.0,JOB CENTER 44,0
40.813153,2023400072.0,JOB CENTER 38,0
40.592902,4159000008.0,SNAP CENTER 79,0
40.592902,4159000008.0,SNAP CENTER 79,0
40.839604,2028560020.0,SNAP CENTER 45,0
40.708661,4098150056.0,SNAP CENTER 54,0
40.689121,3001650022.0,SNAP CENTER 15,0
40.735681,1008720013.0,RESIDENTIAL TREATMENT CENTER 52,0
40.804465,1017750033.0,JOB CENTER 23,0
40.67588,3042140001.0,SNAP CENTER 28,0
40.735681,1008720013.0,RESIDENTIAL TREATMENT CENTER 52,0
40.708661,4098150056.0,SNAP CENTER 54,0
40.689121,3001650022.0,SNAP CENTER 61,0
,,REFUGEE & IMMIGRANT     JC 47,0
40.870388,1022130001.0,SNAP CENTER 13,0
40.697254,3001180006.0,VETERANS JOB CENTER 62,0
,,JOB CENTER 40,0
40.573829,3070710100.0,JOB CENTER 63,0
40.708661,4098150056.0,SNAP CENTER 54,0
40.700282,3031560001.0,SNAP CENTER 21,0
,,REFUGEE & IMMIGRANT JC 47,0
40.870388,1022130001.0,JOB CENTER 35,0
40.808451,1019090012.0,JOB CENTER 18,0
40.813153,2023400072.0,JOB CENTER 38,0
40.862905,2032930083.0,JOB CENTER 44,0
40.846932,2030600032.0,JOB CENTER 46,0
40.804465,1017750033.0,SNAP CENTER 02,0
40.708661,4098150056.0,JOB CENTER 54,0
40.735681,1008720013.0,SPECIAL PROJECTS      CENTER 80,0
40.735681,1008720013.0,JOB CENTER 39,0
40.73626,1005770034.0,JOB CENTER 13,0
40.804465,1017750033.0,SNAP CENTER 02,0
40.735681,1008720013.0,JOB CENTER 39,0
40.683749,3001970028.0,JOB CENTER 64,0
,,SNAP CENTER 53,0
40.683749,3001970028.0,JOB CENTER 64,0
40.870388,1022130001.0,SNAP CENTER 13,0
40.578507,3072790162.0,SNAP CENTER 22,0
40.735681,1008720013.0,RAR / HVN 90,0
40.862905,2032930083.0,JOB CENTER 44,0
40.708661,4098150056.0,JOB CENTER 54,0
40.67588,3042140001.0,JOB CENTER 50,0
40.67588,3042140001.0,SNAP CENTER 28,0
40.700282,3031560001.0,SNAP CENTER 21,0
40.689121,3001650022.0,SNAP CENTER 61,0
40.870388,1022130001.0,JOB CENTER 35,0
40.839604,2028560020.0,SNAP CENTER 45,0
,,JOB CENTER 53,0
40.804465,1017750033.0,JOB CENTER 23,0
40.683749,3001970028.0,JOB CENTER 64,0
40.73626,1005770034.0,JOB CENTER 13,0
40.67588,3042140001.0,SNAP CENTER 28,0
40.73626,1005770034.0,SNAP CENTER 19,0
40.839604,2028560020.0,SNAP CENTER 45,0
40.700282,3031560001.0,SNAP CENTER 21,0
40.573829,3070710100.0,JOB CENTER 63,0
,,SNAP CENTER 40,0
,,SNAP CENTER 53,0
40.846932,2030600032.0,JOB CENTER 46,0
40.636992,5004970009.0,SNAP CENTER 99,0
,,SNAP CENTER 40,0
,,SNAP CENTER 53,0
40.808451,1019090012.0,JOB CENTER 18,0
40.870388,1022130001.0,SNAP CENTER 13,0
40.708661,4098150056.0,JOB CENTER 54,0
40.839604,2028560020.0,JOB CENTER 45,0
40.73626,1005770034.0,JOB CENTER 13,0
,,SNAP CENTER 53,0
40.697254,3001180006.0,VETERANS JOB CENTER 62,0
40.700282,3031560001.0,JOB CENTER 66,0
40.846932,2030600032.0,SNAP CENTER 46,0
40.804465,1017750033.0,SNAP CENTER 02,0
40.870388,1022130001.0,SNAP CENTER 13,0
40.636992,5004970009.0,JOB CENTER 99,0
,,JOB CENTER 40,0
40.67588,3042140001.0,SNAP CENTER 28,0
40.592902,4159000008.0,SNAP CENTER 79,0
40.682851,3020090001.0,JOB CENTER 67,0
40.846932,2030600032.0,SNAP CENTER 46,0
40.700282,3031560001.0,JOB CENTER 66,0
40.804465,1017750033.0,SNAP CENTER 02,0
40.689121,3001650022.0,SNAP CENTER 61,0
,,SNAP CENTER 40,0
40.578507,3072790162.0,SNAP CENTER 22,0
40.700282,3031560001.0,JOB CENTER 66,0
40.636992,5004970009.0,SNAP CENTER 99,0
40.67588,3042140001.0,SNAP CENTER 28,0
40.573829,3070710100.0,JOB CENTER 63,0
40.862905,2032930083.0,JOB CENTER 44,0
40.804465,1017750033.0,SNAP CENTER 02,0
40.708661,4098150056.0,SNAP CENTER 54,0
40.862905,2032930083.0,JOB CENTER 44,0
40.813153,2023400072.0,JOB CENTER 38,0
40.808451,1019090012.0,JOB CENTER 18,0
40.682851,3020090001.0,JOB CENTER 67,0
40.683419,3009280001.0,JOB CENTER 70,0
40.689121,3001650022.0,SNAP CENTER 61,0
40.846932,2030600032.0,SNAP CENTER 46,0
40.73626,1005770034.0,JOB CENTER 13,0
40.839604,2028560020.0,JOB CENTER 45,0
40.682851,3020090001.0,JOB CENTER 67,0
40.735681,1008720013.0,RAR / HVN 90,0
40.578507,3072790162.0,SNAP CENTER 22,0
40.689121,3001650022.0,SNAP CENTER 61,0
,,JOB CENTER 53,0
40.573829,3070710100.0,JOB CENTER 63,0
40.701103,3022760012.0,SNAP CENTER 21,0
40.735681,1008720013.0,SPECIAL PROJECTS           CENTER 80,0
40.683419,3009280001.0,JOB CENTER 70,0
,,JOB CENTER 40,0
40.804465,1017750033.0,JOB CENTER 23,0
40.636992,5004970009.0,SNAP CENTER 99,0
40.870388,1022130001.0,SNAP CENTER 13,0
40.689121,3001650022.0,SNAP CENTER 15,0
40.592902,4159000008.0,JOB CENTER 79,0
40.735681,1008720013.0,JOB CENTER 39,0
40.697254,3001180006.0,VETERANS JOB CENTER 62,0
40.73626,1005770034.0,SNAP CENTER 19,0
40.700282,3031560001.0,JOB CENTER 66,0
40.636992,5004970009.0,JOB CENTER 99,0
40.846932,2030600032.0,SNAP CENTER 46,0
40.839604,2028560020.0,JOB CENTER 45,0
40.846932,2030600032.0,JOB CENTER 46,0
40.73626,1005770034.0,SNAP CENTER 19,0
40.700282,3031560001.0,SNAP CENTER 21,0
,,REFUGEE & IMMIGRANT    JC 47,0
40.808451,1019090012.0,JOB CENTER 18,0
40.697254,3001180006.0,VETERANS JOB CENTER 62,0
40.67588,3042140001.0,SNAP CENTER 28,0
,,JOB CENTER 53,0
40.636992,5004970009.0,SNAP CENTER 99,0
40.870388,1022130001.0,JOB CENTER 35,0
40.870388,1022130001.0,JOB CENTER 35,0
40.839604,2028560020.0,JOB CENTER 45,0
