employee_witnessed_nypd,bin
0,1057820.0
0,4301932.0
0,5013238.0
0,1009716.0
0,3061504.0
0,1017821.0
0,3345783.0
0,1064513.0
0,2011826.0
0,
0,1054497.0
0,3071940.0
0,1017821.0
0,1064513.0
0,3000000.0
0,1054497.0
0,5013238.0
0,3071940.0
0,4301932.0
0,2000978.0
0,4301932.0
0,
0,
0,1017821.0
0,3335094.0
0,3335918.0
0,3335094.0
0,1017821.0
0,4210062.0
0,1009716.0
0,3335094.0
0,5013238.0
0,1017821.0
0,3329443.0
0,4301932.0
0,3000000.0
0,3335918.0
0,1017821.0
0,1017821.0
0,3000000.0
0,3329443.0
0,5013238.0
0,2011826.0
0,3345783.0
0,4301932.0
0,2011826.0
0,2008289.0
0,1017821.0
0,2008289.0
0,1017821.0
0,1017821.0
0,4210062.0
0,3335884.0
0,2008289.0
0,
0,1009716.0
0,4301932.0
0,1009716.0
0,
0,2000978.0
0,
0,3329443.0
0,4210062.0
0,
0,1064513.0
0,1017821.0
0,2016813.0
0,2000978.0
0,4301932.0
0,4301932.0
0,2008289.0
0,4210062.0
0,3329443.0
0,1017821.0
0,1054497.0
0,3094690.0
0,1017821.0
0,4210062.0
0,3329443.0
0,
0,1064513.0
0,3335884.0
0,
0,3000000.0
0,4210062.0
0,3071940.0
0,
0,1064513.0
0,1057820.0
0,2000978.0
0,2016813.0
0,2011826.0
0,1054497.0
0,4210062.0
0,1017821.0
0,1017821.0
0,1009716.0
0,1054497.0
0,1017821.0
0,3335918.0
0,
0,3335918.0
0,1064513.0
0,3345783.0
0,1017821.0
0,2016813.0
0,4210062.0
0,3094690.0
0,3094690.0
0,3071940.0
0,3329443.0
0,1064513.0
0,2008289.0
0,
0,1054497.0
0,3335918.0
0,1009716.0
0,3094690.0
0,1009716.0
0,2008289.0
0,3071940.0
0,3000000.0
0,
0,
0,2011826.0
0,5013238.0
0,
0,
0,1057820.0
0,1064513.0
0,4210062.0
0,2008289.0
0,1009716.0
0,
0,3335884.0
0,3071940.0
0,2011826.0
0,1054497.0
0,1064513.0
0,5013238.0
0,
0,3094690.0
0,4301932.0
0,3335094.0
0,2011826.0
0,3071940.0
0,1054497.0
0,3329443.0
0,
0,3345783.0
0,3071940.0
0,5013238.0
0,3094690.0
0,3000000.0
0,2016813.0
0,1054497.0
0,4210062.0
0,2016813.0
0,2000978.0
0,1057820.0
0,3335094.0
0,3000000.0
0,3329443.0
0,2011826.0
0,1009716.0
0,2008289.0
0,3335094.0
0,1017821.0
0,3345783.0
0,3329443.0
0,
0,3000000.0
0,3061504.0
0,1017821.0
0,3000000.0
0,
0,1054497.0
0,5013238.0
0,1064513.0
0,3329443.0
0,4301932.0
0,1017821.0
0,3335884.0
0,1009716.0
0,3071940.0
0,5013238.0
0,2011826.0
0,2008289.0
0,2011826.0
0,1009716.0
0,3071940.0
0,
0,1057820.0
0,3335884.0
0,3094690.0
0,
0,5013238.0
0,1064513.0
0,1064513.0
0,2008289.0
