building_id,borough,census_tract_2010,of_dwelling_units,community_board,infested_dwelling_unit_count,postcode
810355,QUEENS,113,36,1,0,11105
10532,MANHATTAN,3602,8,3,0,10003
511937,QUEENS,42,6,9,0,11416
112,MANHATTAN,116,43,8,0,10065
81542,BRONX,253,52,7,0,10468
648510,QUEENS,559,4,5,0,11385
806595,BRONX,460,22,12,0,10466
973171,QUEENS,1902,168,2,0,11101
811440,QUEENS,99705,3,7,0,11360
16162,MANHATTAN,128,23,8,0,10021
877716,BROOKLYN,922,3,16,0,11212
205719,BROOKLYN,517,6,1,0,11249
945618,BROOKLYN,261,8,3,0,11206
900123,BROOKLYN,503,14,1,0,11211
218025,BROOKLYN,133,3,6,0,11215
284392,BROOKLYN,892,4,17,0,11212
907105,QUEENS,6502,8,1,0,11103
16365,MANHATTAN,140,20,8,0,10075
340965,BROOKLYN,241,6,3,0,11205
10822,MANHATTAN,38,24,3,0,10003
381015,BROOKLYN,453,8,1,0,11237
925592,BRONX,30701,65,8,0,10463
76560,BRONX,39902,15,5,0,10458
259,MANHATTAN,13604,8,8,0,10028
101992,BRONX,370,4,12,0,10469
230646,BROOKLYN,221,4,8,0,11216
320071,BROOKLYN,424,4,11,0,11223
139978,BROOKLYN,236,48,12,0,11219
15598,MANHATTAN,12602,16,8,0,10021
886324,BROOKLYN,375,3,3,0,11221
381223,BROOKLYN,275,4,3,0,11221
27780,MANHATTAN,43,6,2,0,10012
34571,MANHATTAN,15301,10,7,0,10023
352062,BROOKLYN,31701,8,8,0,11216
232005,BROOKLYN,381,2,3,0,11233
235236,BROOKLYN,56301,8,1,0,11222
16642,MANHATTAN,142,10,8,0,10075
29568,MANHATTAN,73,16,2,0,10014
943151,BROOKLYN,57901,6,1,0,11222
30006,MANHATTAN,71,1,2,0,10011
839985,BROOKLYN,908,6,16,0,11212
23246,MANHATTAN,1502,150,1,0,10038
9460,MANHATTAN,73,36,2,0,10014
350376,BROOKLYN,203,3,8,0,11238
35642,MANHATTAN,165,4,7,0,10024
741614,STATEN ISLAND,18703,3,2,0,10314
733380,STATEN ISLAND,6,11,1,0,10305
110164,BRONX,83,10,2,10,10455
234736,BROOKLYN,1501,3,2,0,11201
97804,BRONX,220,2,11,0,10460
808843,BROOKLYN,553,8,1,0,11211
105963,BRONX,423,3,7,0,10467
892264,BROOKLYN,964,3,18,0,11236
896060,BRONX,389,8,6,0,10458
9016,MANHATTAN,67,14,2,0,10014
81954,BRONX,51,28,1,0,10451
793625,STATEN ISLAND,9,7,1,0,10301
979083,BROOKLYN,261,3,3,0,11206
894054,BROOKLYN,304,21,11,0,11214
96335,BRONX,264,3,10,0,10461
233155,BROOKLYN,571,6,1,0,11222
983115,QUEENS,427,2,4,0,11368
437113,QUEENS,147,6,1,0,11103
110117,BRONX,393,3,6,0,10460
85603,BRONX,387,32,6,0,10458
928702,BROOKLYN,236,10,12,0,11219
930015,QUEENS,105,9,1,0,11105
885382,BRONX,395,3,6,0,10457
382683,BROOKLYN,872,6,17,0,11203
345448,BROOKLYN,519,3,1,0,11211
198281,BROOKLYN,297,4,3,0,11233
44886,BRONX,39,14,1,0,10454
17206,MANHATTAN,140,20,8,0,10028
59476,BRONX,64,1,9,0,10472
117022,BRONX,379,68,5,0,10457
320755,BROOKLYN,591,6,1,0,11222
92441,BRONX,157,19,3,0,10460
138439,BROOKLYN,196,4,10,0,11219
147210,BROOKLYN,101,3,7,0,11232
340820,BROOKLYN,191,3,2,0,11205
338936,BROOKLYN,265,4,3,0,11221
985050,BRONX,348,56,11,0,10469
420550,QUEENS,63,17,1,0,11102
122135,BRONX,421,66,7,0,10467
1004920,BRONX,1901,22,1,0,10454
110117,BRONX,393,3,6,0,10460
119030,BRONX,197,49,4,1,10452
68799,BRONX,388,3,12,0,10469
1007206,BROOKLYN,69601,4,18,0,11234
165327,BROOKLYN,436,14,11,0,11204
939480,BROOKLYN,235,8,3,0,11205
358122,BROOKLYN,267,3,3,0,11216
35792,MANHATTAN,167,20,7,0,10024
65449,BRONX,54,4,9,0,10472
705906,QUEENS,549,3,5,0,11385
930536,BRONX,386,10,12,0,10469
889798,QUEENS,120701,3,7,0,11358
421982,QUEENS,379,6,3,0,11368
304728,BROOKLYN,565,32,1,0,11222
992243,BROOKLYN,340,425,13,0,11224
354644,BROOKLYN,336,30,13,0,11224
321302,BROOKLYN,431,4,4,0,11237
88728,BRONX,153,3,3,0,10459
317288,BROOKLYN,275,3,3,0,11221
378922,BROOKLYN,295,16,3,0,11233
63315,BRONX,41,24,1,0,10454
967645,BROOKLYN,393,3,4,0,11221
358057,BROOKLYN,231,20,2,0,11238
810238,QUEENS,459,6,4,0,11373
12130,MANHATTAN,48,4,6,0,10003
947169,BROOKLYN,511,14,1,0,11206
22881,MANHATTAN,79,8,2,0,10014
128574,BROOKLYN,77,3,6,0,11231
223094,BROOKLYN,67,3,6,0,11231
380389,BROOKLYN,429,5,4,0,11237
661202,QUEENS,547,3,5,0,11385
501428,QUEENS,14,3,9,0,11421
38171,MANHATTAN,19702,25,10,0,10026
344320,BROOKLYN,51601,16,14,0,11226
45560,BRONX,24501,3,5,0,10453
11000,MANHATTAN,32,21,3,0,10009
994203,BRONX,125,3,3,0,10459
92621,BRONX,387,13,6,0,10458
47492,BRONX,228,56,11,0,10462
315532,BROOKLYN,575,16,1,0,11222
686266,QUEENS,439,3,4,0,11368
221799,BROOKLYN,215,8,8,0,11238
854599,QUEENS,99802,3,14,0,11691
42079,MANHATTAN,229,20,9,1,10031
18147,MANHATTAN,152,78,8,0,10128
890968,BROOKLYN,1116,3,5,0,11208
505105,QUEENS,208,3,12,0,11435
933820,QUEENS,40102,30,3,0,11368
302915,BROOKLYN,481,5,1,0,11211
164031,BROOKLYN,436,4,11,0,11204
315217,BROOKLYN,65,3,6,0,11231
711942,STATEN ISLAND,17,18,1,0,10301
344156,BROOKLYN,573,6,1,0,11222
95694,BRONX,201,112,4,0,10452
226367,BROOKLYN,399,3,4,0,11221
284441,BROOKLYN,890,4,17,0,11212
29583,MANHATTAN,73,2,2,0,10014
44880,BRONX,39,10,1,0,10454
90956,BRONX,11502,38,2,0,10474
37289,MANHATTAN,183,3,7,0,10025
355173,BROOKLYN,51,4,6,0,11231
705843,QUEENS,585,4,5,0,11385
943814,QUEENS,279,84,3,0,11372
453564,QUEENS,567,3,5,0,11385
131466,BROOKLYN,12901,6,6,0,11217
158603,BROOKLYN,240,38,12,0,11219
86461,BRONX,135,21,3,0,10459
36219,MANHATTAN,171,5,7,0,10024
208313,BROOKLYN,311,8,8,0,11213
335504,BROOKLYN,591,5,1,0,11222
804843,MANHATTAN,64,8,6,0,10010
397227,BROOKLYN,171,3,7,0,11215
121235,BRONX,253,5,7,0,10453
296385,BROOKLYN,497,3,1,0,11211
359838,BROOKLYN,375,4,3,0,11221
875592,BROOKLYN,481,6,1,0,11211
1003792,BRONX,33,8,1,0,10454
907347,BRONX,389,3,6,0,10458
997876,BRONX,201,35,4,0,10452
772658,STATEN ISLAND,27702,3,2,0,10314
924358,BROOKLYN,155,6,6,0,11215
488094,QUEENS,452,3,8,0,11432
371916,BROOKLYN,551,4,1,0,11249
320727,BROOKLYN,591,8,1,0,11222
661298,QUEENS,589,4,5,0,11385
445052,QUEENS,799,3,7,0,11355
27763,MANHATTAN,43,10,2,0,10012
148288,BROOKLYN,110,3,12,0,11219
33080,MANHATTAN,12102,8,4,0,10036
17404,MANHATTAN,14601,30,8,0,10028
948232,BRONX,46203,2,10,0,10475
387006,BROOKLYN,25901,22,3,0,11206
3997,MANHATTAN,220,8,10,0,10026
84284,BRONX,273,35,8,0,10463
194075,BROOKLYN,406,12,11,0,11223
871112,QUEENS,379,4,3,0,11368
878678,QUEENS,99802,3,14,0,11691
19514,MANHATTAN,182,12,11,0,10029
94895,BRONX,228,134,11,0,10462
1416,MANHATTAN,3602,5,3,0,10003
676505,QUEENS,46901,294,4,5,11373
338562,BROOKLYN,58901,3,1,0,11222
52764,BRONX,141,20,3,0,10451
358827,BROOKLYN,644,3,18,0,11234
139985,BROOKLYN,238,47,12,0,11219
