longitude,filing_date,latitude-re_infested_dwelling_unit
-73.940084,2024-01-08T00:00:00.000,40.713916-0
-73.981908,2025-08-19T00:00:00.000,40.600755-0
-73.894506,2023-12-18T00:00:00.000,40.860765-0
-73.984067,2023-12-29T00:00:00.000,40.697015-0
-73.84514,2024-10-23T00:00:00.000,40.882519-0
-73.975798,2023-12-21T00:00:00.000,40.787115-0
-73.827978,2023-06-20T00:00:00.000,40.880689-0
-73.995956,2023-12-28T00:00:00.000,40.721831-0
-73.854098,2023-12-29T00:00:00.000,40.742503-0
-73.940202,2024-04-23T00:00:00.000,40.675558-0
-74.006886,2023-12-19T00:00:00.000,40.708445-0
-73.913222,2024-05-13T00:00:00.000,40.768802-0
-73.990306,2021-02-23T00:00:00.000,40.627537-0
-73.830737,2024-05-03T00:00:00.000,40.747208-0
-73.886499,2021-12-22T00:00:00.000,40.832405-0
-73.95394,2023-07-03T00:00:00.000,40.677266-0
-73.880089,2024-01-02T00:00:00.000,40.742327-0
-73.982975,2019-12-06T00:00:00.000,40.725066-0
-73.939079,2025-08-18T00:00:00.000,40.684552-0
-73.914316,2024-06-23T00:00:00.000,40.853025-0
-73.940983,2023-07-12T00:00:00.000,40.611945-0
-73.941521,2021-06-10T00:00:00.000,40.724816-0
-73.9568,2023-12-28T00:00:00.000,40.803309-0
-73.926233,2021-02-15T00:00:00.000,40.840531-0
-74.004788,2023-12-20T00:00:00.000,40.733304-0
-73.908444,2024-04-21T00:00:00.000,40.762464-0
-74.000087,2023-07-10T00:00:00.000,40.676153-0
-73.924797,2025-08-18T00:00:00.000,40.70104-0
-73.947142,2023-12-21T00:00:00.000,40.779272-0
-73.864011,2024-04-22T00:00:00.000,40.754979-0
-73.903448,2024-05-12T00:00:00.000,40.812343-10
-73.95679,2023-12-16T00:00:00.000,40.718719-0
-73.98808,2019-01-29T00:00:00.000,40.726406-0
-73.956063,2023-12-29T00:00:00.000,40.694128-0
-73.847802,2021-12-08T00:00:00.000,40.877653-0
-74.000811,2024-03-11T00:00:00.000,40.655762-0
-73.902286,2021-05-05T00:00:00.000,40.702903-0
-73.916022,2024-04-21T00:00:00.000,40.68967-0
-73.879907,2025-08-20T00:00:00.000,40.831119-0
-73.941627,2025-08-18T00:00:00.000,40.797744-0
-73.978919,2024-09-26T00:00:00.000,40.612329-0
-73.911938,2023-12-20T00:00:00.000,40.888224-0
-74.004391,2021-12-13T00:00:00.000,40.72972-0
-73.914261,2023-07-11T00:00:00.000,40.808843-0
-73.871928,2025-08-29T00:00:00.000,40.834934-0
-73.988511,2021-12-08T00:00:00.000,40.631036-0
-73.945291,2023-06-22T00:00:00.000,40.695079-0
-73.955249,2023-07-10T00:00:00.000,40.639411-0
-74.002842,2020-12-29T00:00:00.000,40.624702-0
-73.910711,2023-12-18T00:00:00.000,40.780795-0
-73.978363,2024-01-04T00:00:00.000,40.784047-0
-73.918282,2023-12-27T00:00:00.000,40.658253-0
-73.858409,2024-04-27T00:00:00.000,40.873926-0
-73.886302,2019-12-30T00:00:00.000,40.816916-0
-73.923285,2025-09-02T00:00:00.000,40.685838-0
-73.893167,2025-08-27T00:00:00.000,40.699533-0
-73.945667,2023-07-10T00:00:00.000,40.684545-0
-73.898764,2024-11-07T00:00:00.000,40.827824-0
-73.977812,2025-08-17T00:00:00.000,40.604871-0
-73.946068,2019-02-07T00:00:00.000,40.724204-0
-74.083843,2025-08-26T00:00:00.000,40.64305-0
-73.928446,2021-04-29T00:00:00.000,40.839404-0
-73.921897,2024-04-22T00:00:00.000,40.688758-0
-73.985906,2024-01-01T00:00:00.000,40.73366-0
-73.976931,2023-06-22T00:00:00.000,40.613029-0
-73.977587,2023-06-15T00:00:00.000,40.781955-0
-73.856918,2024-01-03T00:00:00.000,40.753708-0
-73.962677,2019-06-17T00:00:00.000,40.679904-0
-73.871579,2024-01-02T00:00:00.000,40.740773-0
-73.919483,2025-08-29T00:00:00.000,40.699463-0
-73.895777,2024-06-20T00:00:00.000,40.852529-0
-73.960969,2025-08-26T00:00:00.000,40.672438-0
-73.965107,2024-04-29T00:00:00.000,40.693514-0
-73.998643,2021-02-23T00:00:00.000,40.736378-0
-73.94896,2023-12-18T00:00:00.000,40.612147-0
-73.959662,2021-01-05T00:00:00.000,40.771891-0
-74.007058,2019-01-21T00:00:00.000,40.738747-0
-73.96535,2022-02-03T00:00:00.000,40.580805-0
-73.955503,2025-09-10T00:00:00.000,40.716462-0
-73.989559,2022-01-26T00:00:00.000,40.630608-0
-73.93623,2023-12-21T00:00:00.000,40.652063-0
-73.78871,2023-12-27T00:00:00.000,40.590198-0
-73.854745,2023-12-18T00:00:00.000,40.697155-0
-73.873802,2025-08-14T00:00:00.000,40.666381-0
-73.988377,2023-12-19T00:00:00.000,40.631717-0
-73.800059,2024-04-21T00:00:00.000,40.715419-0
-73.988348,2021-07-13T00:00:00.000,40.633652-0
-73.929074,2024-04-26T00:00:00.000,40.694513-0
-73.961396,2024-04-16T00:00:00.000,40.682731-0
-73.947636,2024-04-27T00:00:00.000,40.693312-0
-73.985619,2024-01-05T00:00:00.000,40.727125-0
-73.787016,2023-12-27T00:00:00.000,40.787149-0
-73.863335,2024-04-18T00:00:00.000,40.755689-0
-74.003388,2019-12-20T00:00:00.000,40.735736-0
-74.0633,2024-02-16T00:00:00.000,40.615778-0
-73.88831,2019-12-05T00:00:00.000,40.856198-0
-73.761973,2021-12-01T00:00:00.000,40.595188-0
-74.082788,2023-06-22T00:00:00.000,40.634907-0
-74.163912,2023-06-30T00:00:00.000,40.586372-0
-73.893694,2025-09-12T00:00:00.000,40.832283-0
-73.95322,2021-12-01T00:00:00.000,40.732449-0
-73.942727,2023-10-04T00:00:00.000,40.686363-0
-73.76117,2020-12-10T00:00:00.000,40.59529-0
-73.988314,2021-11-29T00:00:00.000,40.724065-0
-73.906102,2023-12-29T00:00:00.000,40.859137-0
-73.889956,2021-12-08T00:00:00.000,40.855601-0
-73.909211,2025-08-26T00:00:00.000,40.641944-0
-73.910772,2021-08-03T00:00:00.000,40.703275-0
-73.94851,2023-12-29T00:00:00.000,40.826485-0
-73.941448,2023-12-28T00:00:00.000,40.722044-0
-73.934075,2023-10-05T00:00:00.000,40.68063-0
-73.903403,2023-07-06T00:00:00.000,40.656147-0
-73.927843,2023-12-27T00:00:00.000,40.682081-0
-74.006617,2023-12-15T00:00:00.000,40.579989-0
-73.932352,2023-07-11T00:00:00.000,40.684389-0
-73.990104,2022-03-03T00:00:00.000,40.725267-0
-73.868606,2025-08-18T00:00:00.000,40.844556-0
-73.884582,2024-01-01T00:00:00.000,40.881799-0
-73.924894,2018-12-23T00:00:00.000,40.81041-0
-73.959047,2019-12-26T00:00:00.000,40.77331-0
-74.129874,2025-08-21T00:00:00.000,40.60483-0
-73.951213,2023-07-03T00:00:00.000,40.673469-0
-74.002174,2024-04-19T00:00:00.000,40.68341-0
-73.948894,2021-12-20T00:00:00.000,40.707533-0
-73.927104,2023-07-11T00:00:00.000,40.70568-0
-73.916655,2024-04-25T00:00:00.000,40.62816-0
-73.976595,2023-09-27T00:00:00.000,40.657736-0
-73.921735,2023-12-19T00:00:00.000,40.661351-0
-73.832419,2023-09-25T00:00:00.000,40.843573-0
-73.977744,2023-12-30T00:00:00.000,40.680438-0
-73.955235,2021-04-12T00:00:00.000,40.730114-0
-73.8638,2023-12-31T00:00:00.000,40.856328-0
-73.946857,2025-08-18T00:00:00.000,40.6934-0
-73.805956,2024-04-23T00:00:00.000,40.752914-0
-73.941396,2021-12-23T00:00:00.000,40.724182-0
-73.960617,2025-08-26T00:00:00.000,40.768027-0
-73.94903,2021-02-16T00:00:00.000,40.72768-0
-73.882736,2023-12-21T00:00:00.000,40.855706-0
-73.908924,2024-01-03T00:00:00.000,40.775924-0
-73.862887,2023-12-27T00:00:00.000,40.855583-0
-73.924764,2023-12-18T00:00:00.000,40.810555-0
-74.003045,2021-12-28T00:00:00.000,40.734476-0
-73.95756,2019-01-16T00:00:00.000,40.777786-0
-73.920202,2023-12-31T00:00:00.000,40.833844-0
-73.953666,2024-01-08T00:00:00.000,40.806739-0
-73.941272,2024-04-23T00:00:00.000,40.684696-0
-73.911631,2024-04-22T00:00:00.000,40.699856-0
-73.979492,2024-04-29T00:00:00.000,40.774369-0
-73.978995,2023-12-26T00:00:00.000,40.670005-0
-73.954156,2023-12-19T00:00:00.000,40.777184-0
-73.808738,2024-02-14T00:00:00.000,40.697628-0
-73.879427,2022-12-26T00:00:00.000,40.748889-0
-73.910507,2023-12-19T00:00:00.000,40.82269-0
-73.963199,2024-07-03T00:00:00.000,40.713668-0
-73.948767,2023-06-25T00:00:00.000,40.652687-0
-73.957568,2023-12-27T00:00:00.000,40.765641-0
-73.980172,2024-05-01T00:00:00.000,40.674707-0
-73.882503,2023-07-06T00:00:00.000,40.850455-0
-73.973802,2023-12-26T00:00:00.000,40.747187-0
-73.954094,2023-06-20T00:00:00.000,40.657597-0
-73.906286,2019-12-30T00:00:00.000,40.707666-0
-73.903001,2025-09-04T00:00:00.000,40.876022-0
-73.954595,2023-12-28T00:00:00.000,40.737355-0
-73.995618,2023-07-06T00:00:00.000,40.595571-0
-73.921043,2023-12-30T00:00:00.000,40.764587-0
-73.972609,2021-12-07T00:00:00.000,40.796702-0
-73.937838,2024-01-03T00:00:00.000,40.71265-0
-73.856074,2023-12-27T00:00:00.000,40.68141-0
-73.94564,2025-08-20T00:00:00.000,40.718011-0
-73.905496,2019-01-22T00:00:00.000,40.674604-0
-73.918195,2019-12-04T00:00:00.000,40.811322-0
-73.95744,2024-12-04T00:00:00.000,40.734943-0
-73.958971,2023-10-03T00:00:00.000,40.714874-0
-73.853567,2022-03-25T00:00:00.000,40.880622-0
-73.894658,2023-06-23T00:00:00.000,40.828795-0
-73.942245,2023-10-05T00:00:00.000,40.746942-0
-73.882503,2023-07-06T00:00:00.000,40.850455-0
-73.992977,2025-09-07T00:00:00.000,40.643764-0
-74.002317,2019-01-29T00:00:00.000,40.737649-0
-73.942736,2024-04-29T00:00:00.000,40.726478-0
-73.963685,2021-04-22T00:00:00.000,40.776092-0
-73.886579,2024-01-11T00:00:00.000,40.857662-0
-74.00059,2021-07-16T00:00:00.000,40.572968-0
-73.905038,2023-12-27T00:00:00.000,40.860138-0
-73.99733,2023-12-28T00:00:00.000,40.722399-0
-73.899157,2025-08-25T00:00:00.000,40.854426-0
