registration_id,filing_period_start_date,city_council_district,house_number,nta
403301,2022-11-01T00:00:00.000,22,21-77,Astoria (North)-Ditmars-Steinway
124422,2019-11-01T00:00:00.000,2,84,East Village
410890,2022-11-01T00:00:00.000,32,83-01,Ozone Park (North)
106411,2022-11-01T00:00:00.000,5,1278,Upper East Side-Lenox Hill-Roosevelt Island
207203,2022-11-01T00:00:00.000,14,2305,University Heights (North)-Fordham
401319,2019-11-01T00:00:00.000,34,1108,Ridgewood
714657,2022-11-01T00:00:00.000,12,1230,Eastchester-Edenwald-Baychester
432448,2021-11-01T00:00:00.000,26,27-19,Long Island City-Hunters Point
422746,2022-11-01T00:00:00.000,19,13-17,Bay Terrace-Clearview
110619,2019-11-01T00:00:00.000,4,188,Upper East Side-Carnegie Hill
379778,2021-11-01T00:00:00.000,42,912,Brownsville
338495,2022-11-01T00:00:00.000,33,152,Williamsburg
384254,2023-11-01T00:00:00.000,36,119,Bedford-Stuyvesant (West)
383460,2020-11-01T00:00:00.000,34,275,East Williamsburg
311807,2022-11-01T00:00:00.000,39,639,Park Slope
317423,2022-11-01T00:00:00.000,41,217,East Flatbush-Remsen Village
428844,2022-11-01T00:00:00.000,22,24-54,Astoria (Central)
133549,2018-11-01T00:00:00.000,4,167,Upper East Side-Carnegie Hill
343193,2022-11-01T00:00:00.000,33,740,Bedford-Stuyvesant (West)
114728,2017-11-01T00:00:00.000,2,333,East Village
329673,2021-11-01T00:00:00.000,34,141,East Williamsburg
226081,2022-11-01T00:00:00.000,11,640,Riverdale-Spuyten Duyvil
206300,2022-11-01T00:00:00.000,15,2461,Fordham Heights
107728,2022-11-01T00:00:00.000,5,1590,Upper East Side-Yorkville
218665,2022-11-01T00:00:00.000,12,3333,Williamsbridge-Olinville
373447,2021-11-01T00:00:00.000,35,1090,Crown Heights (North)
377053,2023-11-01T00:00:00.000,44,336,Gravesend (West)
308539,2022-11-01T00:00:00.000,44,5001,Borough Park
134145,2023-11-01T00:00:00.000,5,212,Upper East Side-Lenox Hill-Roosevelt Island
380553,2022-11-01T00:00:00.000,41,860,Bedford-Stuyvesant (East)
359322,2022-11-01T00:00:00.000,36,513,Bedford-Stuyvesant (East)
134950,2022-11-01T00:00:00.000,1,65,SoHo-Little Italy-Hudson Square
104418,2022-11-01T00:00:00.000,6,49,Upper West Side-Lincoln Square
370698,2021-11-01T00:00:00.000,36,804,Crown Heights (North)
816837,2022-11-01T00:00:00.000,36,384,Bedford-Stuyvesant (East)
336492,2023-11-01T00:00:00.000,33,85,Greenpoint
105636,2019-11-01T00:00:00.000,4,9,Upper East Side-Carnegie Hill
107234,2020-11-01T00:00:00.000,3,238,West Village
384709,2022-11-01T00:00:00.000,33,48,Greenpoint
132996,2019-11-01T00:00:00.000,3,120,West Village
814889,2017-11-01T00:00:00.000,37,1704,Brownsville
141223,2022-11-01T00:00:00.000,1,80,Financial District-Battery Park City
126426,2022-11-01T00:00:00.000,3,100,West Village
341881,2017-11-01T00:00:00.000,35,934,Prospect Heights
109267,2021-11-01T00:00:00.000,6,159,Upper West Side (Central)
500813,2023-11-01T00:00:00.000,49,36,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
500790,2022-11-01T00:00:00.000,49,300,Rosebank-Shore Acres-Park Hill
206384,2022-11-01T00:00:00.000,17,551,Longwood
365723,2022-11-01T00:00:00.000,33,45,Downtown Brooklyn-DUMBO-Boerum Hill
218083,2023-11-01T00:00:00.000,13,627,West Farms
342328,2021-11-01T00:00:00.000,34,251,Williamsburg
218816,2022-11-01T00:00:00.000,11,3250,Norwood
381309,2023-11-01T00:00:00.000,46,636,Canarsie
225618,2022-11-01T00:00:00.000,15,2475,Belmont
119756,2020-11-01T00:00:00.000,3,65,West Village
214414,2017-11-01T00:00:00.000,17,424,Mott Haven-Port Morris
500797,2023-11-01T00:00:00.000,49,195,St. George-New Brighton
387479,2022-11-01T00:00:00.000,36,97,Bedford-Stuyvesant (West)
385836,2021-11-01T00:00:00.000,47,233,Gravesend (West)
221797,2021-11-01T00:00:00.000,13,2914,Throgs Neck-Schuylerville
302281,2017-11-01T00:00:00.000,33,45,Greenpoint
432462,2022-11-01T00:00:00.000,21,108-37,Corona
405969,2022-11-01T00:00:00.000,22,28-12,Astoria (East)-Woodside (North)
219580,2021-11-01T00:00:00.000,15,2295,Belmont
