bin,eradicated_unit_count,filling_period_end_date
4311899,0,2023-10-31T00:00:00.000
1006137,0,2020-10-31T00:00:00.000
4188250,0,2023-10-31T00:00:00.000
1045579,0,2023-10-31T00:00:00.000
2014565,0,2023-10-31T00:00:00.000
4085814,0,2020-10-31T00:00:00.000
2093731,0,2023-10-31T00:00:00.000
4617818,0,2022-10-31T00:00:00.000
4450949,0,2023-10-31T00:00:00.000
1043092,0,2020-10-31T00:00:00.000
3388522,0,2022-10-31T00:00:00.000
3061788,0,2023-10-31T00:00:00.000
3391827,0,2024-10-31T00:00:00.000
3397072,0,2021-10-31T00:00:00.000
3020345,0,2023-10-31T00:00:00.000
3100723,0,2023-10-31T00:00:00.000
4538608,0,2023-10-31T00:00:00.000
1043198,0,2019-10-31T00:00:00.000
3048580,0,2023-10-31T00:00:00.000
1006249,0,2018-11-30T00:00:00.000
3070712,0,2022-10-31T00:00:00.000
2114608,0,2023-10-31T00:00:00.000
2011049,0,2023-10-31T00:00:00.000
1050444,8,2023-10-31T00:00:00.000
2057172,0,2023-10-31T00:00:00.000
3030266,0,2022-10-31T00:00:00.000
3338852,0,2024-10-31T00:00:00.000
3129335,0,2023-10-31T00:00:00.000
1043916,0,2024-10-31T00:00:00.000
3391233,0,2023-10-31T00:00:00.000
3052123,0,2023-10-31T00:00:00.000
1007555,0,2023-10-31T00:00:00.000
1028448,0,2023-10-31T00:00:00.000
3031501,0,2022-10-31T00:00:00.000
3047564,0,2023-10-31T00:00:00.000
3321391,0,2024-10-31T00:00:00.000
1041860,0,2020-10-31T00:00:00.000
1078179,0,2021-10-31T00:00:00.000
3407383,0,2023-10-31T00:00:00.000
1010575,0,2020-10-31T00:00:00.000
3338551,0,2018-11-30T00:00:00.000
1001115,0,2023-10-31T00:00:00.000
1010039,0,2023-10-31T00:00:00.000
3027706,0,2018-11-30T00:00:00.000
1030239,0,2022-10-31T00:00:00.000
5019708,0,2024-10-31T00:00:00.000
5042152,0,2023-10-31T00:00:00.000
2005087,10,2023-10-31T00:00:00.000
3000229,0,2023-10-31T00:00:00.000
2042499,0,2024-10-31T00:00:00.000
3321243,0,2022-10-31T00:00:00.000
2018158,0,2023-10-31T00:00:00.000
3389744,0,2024-10-31T00:00:00.000
2116433,0,2023-10-31T00:00:00.000
1009770,0,2021-10-31T00:00:00.000
2001012,0,2018-11-30T00:00:00.000
5000518,0,2024-10-31T00:00:00.000
3390088,0,2023-10-31T00:00:00.000
3395397,0,2022-10-31T00:00:00.000
2074663,0,2022-10-31T00:00:00.000
3066934,0,2018-11-30T00:00:00.000
4443008,0,2023-10-31T00:00:00.000
4012952,0,2023-10-31T00:00:00.000
2013029,0,2022-10-31T00:00:00.000
2011721,0,2019-10-31T00:00:00.000
3397632,0,2021-10-31T00:00:00.000
4620061,0,2023-10-31T00:00:00.000
2113784,0,2023-10-31T00:00:00.000
3109125,0,2023-10-31T00:00:00.000
3061975,0,2024-10-31T00:00:00.000
3047474,0,2022-10-31T00:00:00.000
2000583,0,2023-10-31T00:00:00.000
1047646,0,2018-11-30T00:00:00.000
2028091,0,2024-10-31T00:00:00.000
2013375,0,2024-10-31T00:00:00.000
3067127,0,2020-10-31T00:00:00.000
2010920,0,2021-10-31T00:00:00.000
3142894,0,2020-10-31T00:00:00.000
3010102,0,2023-10-31T00:00:00.000
3054520,0,2023-10-31T00:00:00.000
3051494,0,2022-10-31T00:00:00.000
2093497,0,2024-10-31T00:00:00.000
4009013,0,2023-10-31T00:00:00.000
2017681,0,2023-10-31T00:00:00.000
2130461,0,2024-10-31T00:00:00.000
2013029,0,2022-10-31T00:00:00.000
2002961,1,2023-10-31T00:00:00.000
2090766,0,2021-10-31T00:00:00.000
3345526,0,2023-10-31T00:00:00.000
3172522,0,2023-10-31T00:00:00.000
3394610,0,2023-10-31T00:00:00.000
3051701,0,2022-10-31T00:00:00.000
1032641,0,2023-10-31T00:00:00.000
2025131,0,2024-10-31T00:00:00.000
4082324,0,2023-10-31T00:00:00.000
2093622,0,2021-10-31T00:00:00.000
4523386,0,2023-10-31T00:00:00.000
4043365,0,2023-10-31T00:00:00.000
3064722,0,2020-10-31T00:00:00.000
3426734,0,2020-10-31T00:00:00.000
3188042,0,2023-10-31T00:00:00.000
3074794,0,2024-10-31T00:00:00.000
2101905,0,2024-10-31T00:00:00.000
3052167,0,2024-10-31T00:00:00.000
3046080,0,2022-10-31T00:00:00.000
2000432,0,2019-10-31T00:00:00.000
3392616,0,2023-10-31T00:00:00.000
3056864,0,2023-10-31T00:00:00.000
4454795,0,2023-10-31T00:00:00.000
1019525,0,2023-10-31T00:00:00.000
3425485,0,2021-10-31T00:00:00.000
1077830,0,2018-11-30T00:00:00.000
3007970,0,2023-10-31T00:00:00.000
3003940,0,2023-10-31T00:00:00.000
3072961,0,2024-10-31T00:00:00.000
4082197,0,2020-10-31T00:00:00.000
4182359,0,2023-10-31T00:00:00.000
1055820,0,2023-10-31T00:00:00.000
3120306,0,2022-10-31T00:00:00.000
2009124,0,2023-10-31T00:00:00.000
1081918,0,2019-10-31T00:00:00.000
2114247,0,2022-10-31T00:00:00.000
2011693,0,2021-10-31T00:00:00.000
2049434,0,2023-10-31T00:00:00.000
3064480,0,2021-10-31T00:00:00.000
4048101,0,2023-10-31T00:00:00.000
3029559,0,2024-10-31T00:00:00.000
4518619,0,2021-10-31T00:00:00.000
1061954,1,2023-10-31T00:00:00.000
1050638,0,2023-10-31T00:00:00.000
3390997,0,2024-10-31T00:00:00.000
4213938,0,2023-10-31T00:00:00.000
4540130,0,2023-10-31T00:00:00.000
3070466,0,2023-10-31T00:00:00.000
3172416,0,2022-10-31T00:00:00.000
3005653,0,2022-10-31T00:00:00.000
5014724,0,2022-10-31T00:00:00.000
3065755,0,2020-10-31T00:00:00.000
2003530,0,2020-10-31T00:00:00.000
3077498,0,2023-10-31T00:00:00.000
3101938,0,2023-10-31T00:00:00.000
1010901,0,2019-10-31T00:00:00.000
2000699,0,2018-11-30T00:00:00.000
2006470,0,2019-10-31T00:00:00.000
1057075,0,2021-10-31T00:00:00.000
3004456,0,2023-10-31T00:00:00.000
4083378,0,2020-10-31T00:00:00.000
4445458,0,2022-10-31T00:00:00.000
4086855,0,2024-10-31T00:00:00.000
3018670,0,2023-10-31T00:00:00.000
3130783,0,2020-10-31T00:00:00.000
2005053,0,2023-10-31T00:00:00.000
1033114,0,2023-10-31T00:00:00.000
3030823,0,2023-10-31T00:00:00.000
3067764,0,2023-10-31T00:00:00.000
1078819,0,2023-10-31T00:00:00.000
3027042,0,2022-10-31T00:00:00.000
2014541,0,2023-10-31T00:00:00.000
3068092,0,2024-10-31T00:00:00.000
3039837,0,2024-10-31T00:00:00.000
3391338,0,2023-10-31T00:00:00.000
2129134,0,2022-10-31T00:00:00.000
2116902,0,2023-10-31T00:00:00.000
2128886,0,2020-10-31T00:00:00.000
5117021,0,2022-10-31T00:00:00.000
3320092,0,2023-10-31T00:00:00.000
4210856,0,2023-10-31T00:00:00.000
3063088,0,2023-10-31T00:00:00.000
3067230,0,2021-10-31T00:00:00.000
4080684,0,2019-10-31T00:00:00.000
4139158,0,2023-10-31T00:00:00.000
1077745,0,2023-10-31T00:00:00.000
3135272,0,2024-10-31T00:00:00.000
1026434,0,2023-10-31T00:00:00.000
1048733,0,2023-10-31T00:00:00.000
2119020,0,2022-10-31T00:00:00.000
3048692,0,2022-10-31T00:00:00.000
1058458,0,2023-10-31T00:00:00.000
2015736,0,2024-10-31T00:00:00.000
3189913,0,2024-10-31T00:00:00.000
4534443,0,2023-10-31T00:00:00.000
4533125,0,2020-10-31T00:00:00.000
1052277,0,2024-10-31T00:00:00.000
2049449,0,2023-10-31T00:00:00.000
1006551,0,2021-10-31T00:00:00.000
4039027,5,2023-10-31T00:00:00.000
3066627,0,2023-10-31T00:00:00.000
2001202,0,2023-10-31T00:00:00.000
3212090,0,2022-10-31T00:00:00.000
3138771,0,2021-10-31T00:00:00.000
3108504,0,2022-10-31T00:00:00.000
1011050,0,2018-11-30T00:00:00.000
3137503,0,2020-10-31T00:00:00.000
4618749,0,2023-10-31T00:00:00.000
1078848,0,2023-10-31T00:00:00.000
3244336,0,2021-10-31T00:00:00.000
3115704,0,2022-10-31T00:00:00.000
1052802,0,2023-10-31T00:00:00.000
1083478,0,2023-10-31T00:00:00.000
3396874,0,2023-10-31T00:00:00.000
