building_id,registration_id,bin,latitude,longitude,bbl,street_name
661298,405791,4080684,40.707666,-73.906286,4033850034,GROVE STREET
445052,416766,4139158,40.747208,-73.830737,4063610009,57 AVENUE
27763,131759,1077745,40.721831,-73.995956,1004940041,SPRING STREET
148288,324634,3135272,40.643764,-73.992977,3055840071,40 STREET
33080,128649,1026434,40.759934,-73.992145,1010540128,WEST 44 STREET
17404,100801,1048733,40.777184,-73.954156,1015300013,EAST 84 STREET
948232,710573,2119020,40.880689,-73.827978,2051410361,ROMBOUTS AVENUE
387006,339136,3048692,40.695079,-73.945291,3017560070,VERNON AVENUE
3997,115320,1058458,40.806739,-73.953666,1019250063,FREDERICK DOUGLASS BOULEVARD
84284,206281,2015736,40.876022,-73.903001,2032560172,HEATH AVENUE
194075,351988,3189913,40.600755,-73.981908,3070790003,AVENUE S
871112,432461,4534443,40.755689,-73.863335,4017470090,105 STREET
878678,427260,4533125,40.59529,-73.76117,4158040022,BEACH 28 STREET
19514,133866,1052277,40.797744,-73.941627,1016430123,EAST 115 STREET
94895,221499,2049449,40.855583,-73.862887,2043230018,MATTHEWS AVENUE
1416,141110,1006551,40.725267,-73.990104,1004580029,2 AVENUE
676505,402234,4039027,40.742327,-73.880089,4015610012,MACNISH STREET
338562,322752,3066627,40.726478,-73.942736,3026570051,MONITOR STREET
52764,213946,2001202,40.82269,-73.910507,2023650026,BROOK AVENUE
358827,351393,3212090,40.611945,-73.940983,3077030005,QUENTIN ROAD
139985,308540,3138771,40.630608,-73.989559,3056640035,15 AVENUE
327238,305226,3108504,40.652687,-73.948767,3048680024,LINDEN BOULEVARD
30032,114215,1011050,40.737649,-74.002317,1006150083,WEST 12 STREET
152866,303752,3137503,40.633652,-73.988348,3056360022,48 STREET
985030,432615,4618749,40.590198,-73.78871,4159260001,BEACH 59 STREET
13539,122083,1078848,40.747187,-73.973802,1009430057,EAST 38 STREET
993227,388943,3244336,40.580805,-73.96535,3086630246,NEPTUNE AVENUE
309224,304070,3115704,40.657597,-73.954094,3050460043,HAWTHORNE STREET
19191,116793,1052802,40.791563,-73.940664,1016800011,EAST 108 STREET
84,119604,1083478,40.727125,-73.985619,1004350002,1 AVENUE
923607,382915,3396874,40.612147,-73.94896,3067710037,BEDFORD AVENUE
