school_year,route_number,opt_code
2015-2016,K016,13537
2015-2016,K043,22286
2015-2016,K045,22286
2015-2016,J800,75565
2015-2016,K017,22207
2015-2016,K018,22255
2015-2016,K040,22361
2015-2016,J737,75003
2015-2016,J707,75140
2015-2016,K018,22206
2015-2016,K000,21703
2015-2016,J719,75003
2015-2016,K021,17456
2015-2016,K013,13054
2015-2016,K005,13369
2015-2016,J700,75003
2015-2016,K032,21907
2015-2016,K047,13414
2015-2016,K030,21723
2015-2016,K003,21470
2015-2016,J707,75003
2015-2016,J788,75437
2015-2016,J719,75140
2015-2016,J702,75003
2015-2016,K006,13369
2015-2016,K022,17434
2015-2016,J720,75140
2015-2016,J714,75003
2015-2016,K038,21506
2015-2016,K006,13555
2015-2016,J714,75140
2015-2016,K014,13463
2015-2016,K002,21199
2015-2016,K024,17465
2015-2016,K047,13282
2015-2016,K039,21907
2015-2016,K024,17460
2015-2016,K035,21560
2015-2016,K032,21468
2015-2016,K009,13674
2015-2016,K001,21199
2015-2016,K021,17403
2015-2016,K008,13469
2015-2016,K020,21153
2015-2016,K016,13669
2015-2016,K018,22234
2015-2016,J706,75140
2015-2016,J710,75003
2015-2016,K042,22286
2015-2016,K033,21907
2015-2016,K011,13595
2015-2016,J724,75565
2015-2016,J729,75003
2015-2016,K012,13422
2015-2016,K023,17456
2015-2016,K017,22278
2015-2016,K032,21572
2015-2016,K038,21212
2015-2016,K012,13446
2015-2016,J722,75003
2015-2016,J715,75140
2015-2016,K002,21424
2015-2016,K005,13469
2015-2016,K048,14023
2015-2016,J717,75140
2015-2016,K046,21209
2015-2016,K036,21907
2015-2016,J713,75003
2015-2016,K034,21907
2015-2016,J720,75003
2015-2016,K029,21096
2015-2016,K003,20868
2015-2016,K031,21348
2015-2016,K040,22198
2015-2016,K015,13669
2015-2016,K006,13688
2015-2016,K023,17434
2015-2016,K007,13688
2015-2016,K048,14257
2015-2016,K019,21894
2015-2016,J698,75004
2015-2016,J728,75565
2015-2016,K046,21801
2015-2016,K004,15854
2015-2016,K022,17397
2015-2016,J722,75140
2015-2016,K044,22286
2015-2016,J705,75003
2015-2016,K025,17465
2015-2016,J703,75003
2015-2016,K007,13469
2015-2016,K004,21226
2015-2016,J712,75140
2015-2016,J701,75003
2015-2016,K000,21199
2015-2016,K037,21461
2015-2016,J704,75140
2015-2016,J729,75140
2015-2016,K024,17221
2015-2016,J725,75760
2015-2016,K014,13537
2015-2016,K026,17006
2015-2016,K019,13758
2015-2016,K025,17091
2015-2016,K037,21506
2015-2016,K011,13270
2015-2016,J717,75003
2015-2016,K042,22194
2015-2016,K004,20729
2015-2016,J713,75140
2015-2016,K011,13422
2015-2016,K014,13669
2015-2016,J726,75800
2015-2016,K043,22460
2015-2016,K005,13487
2015-2016,K024,17091
2015-2016,K025,17460
2015-2016,K015,13463
2015-2016,K037,21907
2015-2016,K031,21907
2015-2016,K010,13020
2015-2016,J700,75140
2015-2016,J718,75140
2015-2016,K040,22109
2015-2016,K022,17456
2015-2016,J788,75580
2015-2016,J702,75140
2015-2016,J704,75003
2015-2016,K002,21565
2015-2016,K004,21805
2015-2016,K000,21424
2015-2016,K010,13113
2015-2016,J723,75760
2015-2016,K001,21565
2015-2016,K029,21682
2015-2016,J699,75580
2015-2016,J711,75140
2015-2016,K030,21893
2015-2016,J701,75140
2015-2016,K021,17246
2015-2016,K008,14416
2015-2016,K006,13483
2015-2016,K035,21348
2015-2016,K032,21216
2015-2016,J721,75565
2015-2016,K015,13418
2015-2016,K031,21468
2015-2016,K035,21907
2015-2016,K046,21225
2015-2016,K000,21225
2015-2016,J709,75140
2015-2016,K001,21215
2015-2016,J708,75003
2015-2016,K026,17012
2015-2016,K031,21506
2015-2016,J706,75003
2015-2016,K001,22809
2015-2016,J703,75140
2015-2016,K008,13369
2015-2016,K009,13113
2015-2016,K011,13561
2015-2016,K038,21907
2015-2016,J727,75800
2015-2016,K000,21565
2015-2016,K032,21212
2015-2016,J708,75140
2015-2016,J710,75140
2015-2016,J705,75140
2015-2016,K026,17005
2015-2016,K031,21461
2015-2016,K016,13463
2015-2016,K037,21216
2015-2016,J709,75003
2015-2016,K010,13674
2015-2016,K013,13422
2015-2016,K007,13369
2015-2016,K019,21002
2015-2016,K026,17403
2015-2016,K046,21465
2015-2016,K013,13595
2015-2016,J715,75003
2015-2016,J711,75003
2015-2016,J716,75003
2015-2016,J760,75760
2015-2016,K047,13133
2015-2016,K018,22715
2015-2016,K035,21506
2015-2016,J716,75140
2015-2016,K002,22616
2015-2016,K036,21097
2015-2016,K020,21703
2015-2016,K020,21238
2015-2016,J718,75003
2015-2016,K011,13054
2015-2016,K044,22001
2015-2016,K006,13469
2015-2016,J737,75140
2015-2016,K041,22286
2015-2016,J724,75760
2015-2016,K009,13256
