grade_level,program_type,number_of_students,number_of_classes,average_class_size
K-8 SC,SC 15:1,77,10,7.7
K-8 SC,SC 12:1:1,18754,2138,8.8
3,Gen Ed,32272,1480,21.8
7,Gen Ed,32027,1280,25.0
6,Gen Ed,31488,1313,24.0
1,Gen Ed,33922,1601,21.2
4,Gen Ed,32653,1489,21.9
5,ICT & G&T,221,9,24.6
K-8 SC,SC 12:1,7481,850,8.8
2,Gen Ed,32893,1544,21.3
1,G&T,1526,73,20.9
K,G&T,1711,82,20.9
7,ICT,24659,979,25.2
2,G&T,2000,83,24.1
4,G&T,2264,91,24.9
K-8 SC,SC 6:1:1,16,3,5.3
2,ICT & G&T,123,5,24.6
5,G&T,2334,96,24.3
3,ICT & G&T,205,8,25.6
3,G&T,2255,91,24.8
8,ICT,24471,969,25.3
5,ICT,20718,903,22.9
4,ICT & G&T,165,7,23.6
K-8 SC,SC 8:1:1,996,134,7.4
1,ICT,16857,799,21.1
8,Gen Ed,34230,1329,25.8
3,ICT,18620,843,22.1
1,ICT & G&T,148,6,24.7
K,Gen Ed,34960,1719,20.3
2,ICT,17811,829,21.5
4,ICT,19882,891,22.3
K-8 SC,SC 12:1:4,22,3,7.3
K,ICT & G&T,180,9,20.0
K,ICT,15862,808,19.6
6,ICT,23289,969,24.0
5,Gen Ed,32266,1454,22.2
