shield,command,rank,arrests_total,department_recognitions
4496.0,111 PRECINCT,POLICE OFFICER,17,0
21138.0,NARC BORO QUEENS SOUTH,POLICE OFFICER,226,3
3633.0,014 PCT-MIDTOWN SO. PCT,POLICE OFFICER,2,0
5276.0,113 PRECINCT,DETECTIVE SPECIALIST,108,4
7167.0,HEADQUARTERS SECURITY UNIT,DETECTIVE SPECIALIST,101,0
23758.0,PBSI SPECIALIZED UNITS,POLICE OFFICER,142,1
26113.0,061 PRECINCT,POLICE OFFICER,40,6
4270.0,CONTRACT ADMINISTRATION SECTION,SGT SPECIAL ASSIGN,259,0
1632.0,STRATEGIC RESP GRP 2 BRONX,SERGEANT,133,4
8813.0,RTS RECRUITS,POLICE OFFICER,0,0
19087.0,113 PRECINCT,POLICE OFFICER,13,0
17874.0,114 PRECINCT,POLICE OFFICER,7,0
,108 PRECINCT,LIEUTENANT,68,8
3931.0,073 PRECINCT,SERGEANT,233,52
6443.0,NARC BORO QUEENS NORTH,DETECTIVE 3RD GRADE,720,0
4610.0,STRATEGIC RESP GRP 4 QUEENS,POLICE OFFICER,170,6
1626.0,NARC BORO QUEENS NORTH MAJOR CASE UNIT,DETECTIVE 3RD GRADE,325,2
4097.0,TRANSIT DISTRICT 30,POLICE OFFICER,11,0
2998.0,IAB INVESTIGATIONS UNIT 33,SERGEANT,261,2
24991.0,HOUSING PSA 2,POLICE OFFICER,34,1
23975.0,068 PRECINCT,POLICE OFFICER,85,2
,CRIMINAL INTELLIGENCE SECTION,LIEUTENANT,176,1
7309.0,HOUSING PSA 7,POLICE OFFICER,113,16
30321.0,TRANSIT DISTRICT 2,POLICE OFFICER,439,10
3397.0,TB ANTI TERRORISM UNIT,SGT SPECIAL ASSIGN,101,2
1680.0,062 PRECINCT,POLICE OFFICER,141,5
3569.0,PBMN COMMUNITY AFFAIRS SECTION,POLICE OFFICER,54,5
11044.0,HOUSING PSA 9,POLICE OFFICER,17,0
3337.0,046 PRECINCT,POLICE OFFICER,8,0
16345.0,083 PRECINCT,POLICE OFFICER,56,1
25640.0,103 PCT FIELD TRAINING UNIT,POLICE OFFICER,7,0
8170.0,048 PRECINCT,POLICE OFFICER,1,0
810.0,052 PRECINCT,POLICE OFFICER,16,0
,113 PRECINCT,LIEUTENANT,183,2
2289.0,PATROL BORO STATEN ISLAND,SGT SPECIAL ASSIGN,84,0
8269.0,HOUSING PSA 7,POLICE OFFICER,382,9
9086.0,007 PRECINCT,POLICE OFFICER,34,4
,PATROL BORO BKLYN SOUTH,CAPTAIN,34,4
24644.0,PATROL BORO QUEENS SOUTH,POLICE OFFICER,61,3
9891.0,113TH DET SQUAD,POLICE OFFICER,58,7
306.0,QUEENS TRANSIT CRIMES SQUAD,DETECTIVE 3RD GRADE,204,8
2586.0,DRUG ENFORCEMENT TASK FORCE,SGT DET SQUAD,102,19
6912.0,TRANSIT DISTRICT 23,POLICE OFFICER,3,0
29055.0,077 PRECINCT,POLICE OFFICER,149,3
23712.0,TRANSIT DISTRICT 20,POLICE OFFICER,46,0
4569.0,EMERGENCY PREP & EXERCISE SECTION,DETECTIVE SPECIALIST,262,8
6084.0,PATROL BORO BKLYN SOUTH,DETECTIVE SPECIALIST,71,0
8597.0,006 PRECINCT,POLICE OFFICER,54,0
3540.0,ITB ADMINISTRATIVE DIVISION,SERGEANT,42,1
13663.0,107 PRECINCT,POLICE OFFICER,21,3
