total_days,days_present,days_absent,category
2545003,2319956,225047,All Students
1263017,1146718,116299,All Students
1993909,1752971,240938,All Students
24449777,22282961,2166816,All Students
15672475,14295008,1377467,All Students
3809345,3543586,265759,All Students
48250987,44162759,4088228,All Students
33681872,30232290,3449582,All Students
3676633,3455929,220704,All Students
1632486,1514763,117723,All Students
1552224,1443310,108914,All Students
1551777,1464626,87151,All Students
1565182,1475131,90051,All Students
45233549,40339906,4893643,All Students
3566615,3347506,219109,All Students
1461590,1259084,202506,All Students
1655123,1531757,123366,All Students
1489356,1406509,82847,All Students
2311959,2175126,136833,All Students
935526,872167,63359,All Students
3481661,3196372,285289,All Students
1505342,1421413,83929,All Students
2062740,1735140,327600,All Students
2046733,1702639,344094,All Students
946218,892750,53468,All Students
1507097,1422508,84589,All Students
2031101,1688514,342587,All Students
3580148,3119699,460449,All Students
3512458,3257621,254837,All Students
3721354,3455084,266270,All Students
3929631,3711928,217703,All Students
3470818,3259522,211296,All Students
2012960,1739496,273464,All Students
2669345,2426653,242692,All Students
3340916,2757116,583800,All Students
2293011,2146256,146755,All Students
1579048,1476808,102240,All Students
2289490,2146724,142766,All Students
2026322,1731925,294397,All Students
1301285,1208794,92491,All Students
2772411,2562671,209740,All Students
1681191,1556348,124843,All Students
2650296,2443655,206641,All Students
2456385,2194124,262261,All Students
1740713,1613768,126945,All Students
2533672,2337880,195792,All Students
1364315,1162180,202135,All Students
848881,750498,98383,All Students
2621525,2340540,280985,All Students
1684387,1549496,134891,All Students
2682859,2460013,222846,All Students
2413933,2180747,233186,All Students
34585105,30939690,3645415,All Students
24287226,22136830,2150396,All Students
2285917,2151593,134324,All Students
790830,705245,85585,All Students
3736921,3469485,267436,All Students
2619912,2408130,211782,All Students
2980208,2731587,248621,All Students
48305959,44340253,3965706,All Students
2828632,2608620,220012,All Students
3606048,3150598,455450,All Students
1992416,1712296,280120,All Students
1617495,1504169,113326,All Students
2435723,2076143,359580,All Students
975104,916871,58233,All Students
1508175,1418148,90027,All Students
907598,799050,108548,All Students
3919739,3667124,252615,All Students
842368,739538,102830,All Students
1488369,1405237,83132,All Students
2399129,2180210,218919,All Students
2388497,2251311,137186,All Students
689135,619020,70115,All Students
1465709,1343636,122073,All Students
2377622,2092660,284962,All Students
2420529,2204460,216069,All Students
1421998,1266966,155032,All Students
3632088,3177609,454479,All Students
1280356,1170752,109604,All Students
3403112,3090958,312154,All Students
2216386,1958918,257468,All Students
3512522,3194805,317717,All Students
1019006,907427,111579,All Students
2638743,2441171,197572,All Students
3834558,3610849,223709,All Students
3566921,3312548,254373,All Students
2868500,2649776,218724,All Students
3197685,2717369,480316,All Students
2634740,2400581,234159,All Students
2370971,2151512,219459,All Students
1328159,1236784,91375,All Students
3069603,2774748,294855,All Students
2889031,2675585,213446,All Students
3084217,2626452,457765,All Students
1542227,1444873,97354,All Students
2302004,1950502,351502,All Students
