days_absent,chronically_absent
2166816,39940
248621,5597
234159,4519
3561807,71864
87151,1566
279427,6675
239927,5366
220012,4787
457765,8305
134891,3895
58996,1640
217703,4009
197572,3957
113687,1987
155304,4459
2552942,69829
202135,5812
3618664,64295
67146,1610
122436,2603
216069,4209
211296,3857
83872,1553
273464,5155
294855,5717
84589,1492
222846,4505
225691,5141
294397,4605
453625,6564
58233,1616
108914,2225
429711,6701
220880,4128
190437,6213
3449582,70963
219459,4228
83929,1491
2136335,38847
233789,4535
377652,6669
82748,1450
261936,4914
67375,1997
2150396,39663
248354,4589
136833,3823
148533,5395
289547,5223
224128,4368
141578,4885
92488,2384
332735,5757
254837,4750
143511,3396
97354,1872
169917,4068
84312,1485
81695,1461
243899,4727
231979,5796
220704,4051
4088228,76335
265759,5400
263694,6127
339648,5843
143735,3004
251542,4981
137186,3744
1377467,37571
4039374,74967
321919,8112
54843,1587
220982,4163
227861,5013
122195,2592
146755,3963
351502,6214
4893643,80586
82847,1495
454479,7035
250000,4666
3965706,72359
244610,5710
211782,4264
79680,2573
205399,3667
77971,2987
327740,5680
97026,1886
242081,4330
109604,1964
389773,6028
92633,1826
223709,4125
599459,8257
317717,5668
117723,3563
130478,4267
460449,7747
98383,2138
239157,4380
159873,4531
92491,1637
219109,4073
195792,3817
267436,5440
98197,1876
213446,4454
3645415,75023
250000,5752
301744,6442
97068,1745
209740,4468
62482,2251
155032,3757
53468,1445
2046043,61991
292716,6222
83132,1524
227498,4275
649405,8813
252615,4885
262261,6369
312154,5555
51567,1363
124843,3737
223907,4968
123222,3807
389108,5752
455450,7435
70115,1687
266270,5483
113326,2266
142766,4033
411724,6785
284962,7013
344094,6642
90027,1686
249719,4481
102240,2022
448764,6933
91375,1617
240938,4887
233213,4559
451552,7405
245390,4809
233186,4294
116299,2138
126945,4000
359580,6061
103751,1812
342587,6555
241771,4756
276079,6683
482030,9025
163985,4931
206641,4292
202506,5441
258177,6136
280985,6919
104025,1934
242692,4744
137452,3756
257468,5033
236191,4354
218832,4048
275398,5164
93185,1656
406433,6633
134324,3602
218724,4634
122073,2620
327600,6477
285289,6160
2610087,41906
98151,1841
218919,4175
102830,2640
380220,6777
63359,1833
210013,5440
90051,1753
204776,3737
111579,4100
254373,4661
85585,2092
225047,4300
123366,3885
108548,2794
480316,8772
583800,8622
199721,4052
104245,2067
225943,4296
349714,5577
225290,4846
89049,1707
202583,4239
280120,5232
