days_present,chronically_absent_1,borough,grade,attendance
2251311,17.6,Brooklyn,5,94.3
619020,39.7,Manhattan,PK in K-12 Schools,89.8
3610849,18.6,Brooklyn,5,94.2
1428811,27.8,Manhattan,0K,92.1
3090958,28.1,Brooklyn,7,90.8
584209,39.7,Manhattan,PK in K-12 Schools,89.7
2151512,30.4,Bronx,3,90.7
1958918,38.3,Bronx,1,88.4
2662096,34.8,Bronx,1,91.0
2755412,44.6,Brooklyn,12,85.1
3194805,27.8,Brooklyn,8,91.0
1731925,38.7,Bronx,11,85.5
714263,47.2,Bronx,PK in K-12 Schools,88.5
2319956,28.9,Bronx,5,91.2
2441171,25.4,Bronx,6,92.5
1796185,29.4,Brooklyn,11,89.5
1947875,41.6,Bronx,9,83.3
3438395,21.1,Brooklyn,3,93.6
2929709,24.9,Brooklyn,2,92.1
583873,47.6,Bronx,PK in K-12 Schools,88.2
2562671,27.6,Bronx,5,92.4
14295008,26.3,Manhattan,All Grades,91.2
1418148,19.3,Manhattan,5,94.0
3469485,24.7,Brooklyn,1,92.8
1396015,16.9,Manhattan,7,94.5
3205000,29.7,Brooklyn,9,87.7
907427,42.9,Brooklyn,PK in K-12 Schools,89.1
2061048,24.7,Brooklyn,1,92.6
1421413,16.9,Manhattan,5,94.4
3397188,22.3,Brooklyn,2,93.4
2774748,30.9,Brooklyn,0K,90.4
