total_days,contributing_10_total_days,year
24449777,148206,2017-18
2980208,17761,2016-17
2634740,15536,2016-17
34766072,211453,2016-17
1551777,9032,2017-18
2462842,23003,2019-20
2908409,17123,2017-18
2828632,16622,2018-19
3084217,19476,2016-17
1684387,15053,2019-20
942762,8463,2019-20
3929631,23158,2016-17
2638743,15595,2016-17
1388008,8100,2020-21
2323622,20749,2019-20
30721564,277627,2019-20
1364315,12591,2019-20
30839365,182233,2020-21
651355,4057,2016-17
1551247,9375,2016-17
2420529,14230,2020-21
3470818,20323,2016-17
1495060,8703,2017-18
2012960,12781,2017-18
3069603,18496,2020-21
1507097,8748,2018-19
2682859,15696,2017-18
2650295,15663,2018-19
2026322,11912,2020-21
3288174,19164,2020-21
975104,8692,2019-20
1552224,9191,2017-18
3667899,23005,2018-19
3569179,20678,2017-18
2219601,20079,2019-20
33681872,202161,2018-19
2370971,13929,2020-21
1505342,8809,2016-17
24418481,149046,2016-17
3672184,21448,2018-19
2417297,15629,2016-17
1491443,8768,2016-17
1964561,12228,2018-19
920172,8315,2019-20
24287226,146124,2018-19
3350912,19667,2020-21
2311959,20618,2019-20
1500215,13811,2019-20
3383227,19775,2020-21
3812503,22208,2017-18
1584118,14359,2019-20
806751,5046,2016-17
3073063,19386,2016-17
3512458,20216,2017-18
1415265,8671,2016-17
1542227,9016,2018-19
1489318,9116,2018-19
1599180,9412,2016-17
1477710,8655,2016-17
2292361,13547,2020-21
1611005,15216,2019-20
3676633,21304,2018-19
48250987,288211,2017-18
3809345,22725,2016-17
2925790,17589,2016-17
3059254,18841,2018-19
1258590,7846,2020-21
3746662,21954,2017-18
2388497,21251,2019-20
15672475,143036,2019-20
47816179,284486,2018-19
2163920,19824,2019-20
964442,8626,2019-20
3719429,21547,2018-19
2872228,16865,2017-18
1526789,9125,2017-18
2293011,20322,2019-20
2302004,14584,2018-19
45233549,266170,2020-21
1489356,8638,2018-19
3632088,23034,2017-18
3179709,18721,2020-21
48305959,291484,2016-17
2626424,15654,2018-19
2619912,15335,2018-19
944498,8572,2019-20
3712878,21719,2016-17
661844,6273,2019-20
2987886,18669,2017-18
1484554,8731,2018-19
2515249,14623,2020-21
1280356,7619,2020-21
2339500,13858,2020-21
721878,4537,2020-21
3834558,22234,2017-18
3757082,22085,2020-21
3512522,20369,2020-21
1632486,14666,2019-20
1633364,14768,2019-20
3580148,22713,2017-18
848881,5347,2020-21
3373592,19670,2020-21
1276442,11872,2019-20
1301285,7698,2020-21
3566615,20613,2018-19
2533672,14990,2016-17
3736921,21995,2017-18
1593964,9333,2017-18
2889031,17091,2016-17
34585105,208557,2017-18
2866423,16992,2017-18
3730128,22129,2017-18
1273961,7535,2020-21
2772411,16186,2018-19
572280,5352,2019-20
1421998,8719,2017-18
946218,8455,2019-20
21258215,193884,2019-20
3707078,22310,2016-17
1488369,8653,2017-18
3848842,22754,2016-17
3799740,22299,2020-21
3919739,23237,2016-17
2456385,14790,2018-19
3403112,19788,2020-21
963155,8584,2019-20
1681191,15044,2019-20
2757198,16225,2018-19
1771422,15898,2019-20
2336983,13819,2020-21
3606048,22978,2016-17
689135,4250,2017-18
3721354,21929,2018-19
1617495,9694,2016-17
2289490,20466,2019-20
2510287,16301,2016-17
2377622,22111,2019-20
2046733,12909,2017-18
1508175,8739,2018-19
3514441,20507,2016-17
1579048,9338,2017-18
3653764,23361,2016-17
1328159,7806,2020-21
1993909,12126,2020-21
2606230,15181,2017-18
3568240,22290,2018-19
3865974,22628,2017-18
2413933,14077,2020-21
1263017,7652,2020-21
1740713,15682,2019-20
2435723,15489,2018-19
1386945,8071,2020-21
2031101,12934,2016-17
3638959,21348,2018-19
2691358,16347,2016-17
3237442,20257,2017-18
2225033,19972,2019-20
2650296,15549,2017-18
1461590,13764,2019-20
2757947,16438,2017-18
2621525,15802,2017-18
1610003,9557,2016-17
2669345,15559,2018-19
2354846,20896,2019-20
2216386,13143,2020-21
3327540,19491,2020-21
3583042,20777,2017-18
3187795,18908,2020-21
1363263,7970,2020-21
2494055,16036,2017-18
2285917,20346,2019-20
2868500,16776,2017-18
1465709,8744,2018-19
2062740,12833,2018-19
3481661,20662,2018-19
22879175,135329,2020-21
1584518,9387,2016-17
2399129,14030,2020-21
842368,5250,2017-18
2354572,15159,2017-18
935526,8393,2019-20
2006198,18495,2019-20
1565182,9126,2018-19
3560830,20879,2016-17
1019006,9549,2019-20
3566921,20581,2018-19
790830,4881,2018-19
2545003,14872,2020-21
1655123,14906,2019-20
907598,5627,2018-19
3197685,19749,2018-19
3340916,19868,2020-21
2628644,15366,2018-19
1495064,8841,2018-19
3790027,22053,2018-19
2119434,12701,2020-21
2899810,17258,2016-17
1573564,9194,2017-18
2814868,16629,2016-17
1992416,12747,2016-17
