contributing_10_total_days
148206
17761
15536
211453
9032
23003
17123
16622
19476
15053
8463
23158
15595
8100
20749
277627
12591
182233
4057
9375
14230
20323
8703
12781
18496
8748
15696
15663
11912
19164
8692
9191
23005
20678
20079
202161
13929
8809
149046
21448
15629
8768
12228
8315
146124
19667
20618
13811
19775
22208
14359
5046
19386
20216
8671
9016
9116
9412
8655
13547
15216
21304
288211
22725
17589
18841
7846
21954
21251
143036
284486
19824
8626
21547
16865
9125
20322
14584
266170
8638
23034
18721
291484
15654
15335
8572
21719
6273
18669
8731
14623
7619
13858
4537
22234
22085
20369
14666
14768
22713
5347
19670
11872
7698
20613
14990
21995
9333
17091
208557
16992
22129
7535
16186
5352
8719
8455
193884
22310
8653
22754
22299
23237
14790
19788
8584
15044
16225
15898
13819
22978
4250
21929
9694
20466
16301
22111
12909
8739
20507
9338
23361
7806
12126
15181
22290
22628
14077
7652
15682
15489
8071
12934
21348
16347
20257
19972
15549
13764
16438
15802
9557
15559
20896
13143
19491
20777
18908
7970
16036
20346
16776
8744
12833
20662
135329
9387
14030
5250
15159
8393
18495
9126
20879
9549
20581
4881
14872
14906
5627
19749
19868
15366
8841
22053
12701
17258
9194
16629
12747
