agency
13.0
134.0
17.0
801.0
3.0
781.0
69.0
30.0
56.0
32.0
12.0
127.0
781.0
8.0
127.0
15.0
57.0
71.0
136.0
102.0
801.0
25.0
313.0
103.0
69.0
68.0
30.0
10.0
2.0
103.0
40.0
156.0
801.0
57.0
226.0
226.0
132.0
13.0
132.0
68.0
25.0
71.0
125.0
14.0
40.0
313.0
63.0
101.0
54.0
40.0
136.0
32.0
40.0
226.0
30.0
313.0
21.0
11.0
56.0
72.0
8.0
101.0
781.0
10.0
57.0
56.0
136.0
133.0
32.0
42.0
312.0
134.0
3.0
499.0
127.0
63.0
11.0
312.0
101.0
312.0
4.0
21.0
57.0
25.0
131.0
4.0
72.0
42.0
126.0
68.0
57.0
134.0
71.0
11.0
260.0
8.0
156.0
260.0
101.0
15.0
103.0
71.0
313.0
156.0
12.0
8.0
13.0
312.0
72.0
40.0
54.0
131.0
30.0
42.0
126.0
54.0
40.0
131.0
73.0
68.0
40.0
63.0
54.0
56.0
56.0
125.0
72.0
42.0
17.0
226.0
57.0
42.0
12.0
2.0
131.0
57.0
125.0
125.0
25.0
57.0
17.0
499.0
10.0
134.0
69.0
42.0
42.0
133.0
103.0
156.0
127.0
133.0
132.0
4.0
801.0
10.0
17.0
499.0
72.0
56.0
13.0
72.0
21.0
21.0
126.0
63.0
126.0
73.0
14.0
15.0
32.0
260.0
14.0
102.0
56.0
56.0
72.0
102.0
12.0
42.0
3.0
2.0
133.0
781.0
73.0
69.0
2.0
136.0
132.0
40.0
72.0
499.0
102.0
260.0
15.0
4.0
73.0
14.0
3.0
11.0
