total
60
14
68
344
1079
1185
14388
390
17684
383
69
440
1185
46
440
802
10950
2212
81
591
346
1993
17
73
14452
7484
362
58
1331
73
25973
650
342
6660
157
157
39
60
39
7484
1993
2113
687
48
25697
17
47
57
236
25973
81
383
127567
157
362
17
62
71
17684
7060
46
57
1185
58
10943
36201
81
15
383
3753
26
14
1079
179
440
47
71
26
57
26
110
62
6430
1993
160
110
7060
3753
65
7484
6660
14
2113
71
515
46
650
515
57
802
73
2113
17
650
69
46
60
26
2029
25973
236
160
370
3753
65
236
127567
160
38
7484
124825
47
219
17468
36201
689
2029
6533
68
157
10950
6533
69
1325
160
10950
689
687
1993
6660
68
179
58
14
14452
3753
6533
15
73
650
440
15
39
110
342
58
68
179
1996
17684
60
7060
62
62
65
47
65
38
48
802
383
575
48
591
36201
36178
2029
591
69
6533
1079
1298
15
1185
38
14452
1298
81
39
127567
7219
179
868
515
802
151
38
48
1079
71
